date,review,rating,isEdited,userName,title,developerResponse
2021-07-15 08:28:15,"Please can you guys just help us out with the ID verification. Can’t we use passport for verification also, cause i don't have any ID card and its gonna take a very long time for me to get one, pls just try and make passport another means of verification, its also a good one 🙏🏻.",4,False,+dark sied+,Plea🙏🏻,
2022-10-05 16:48:46,"I was so impatient to carry out necessary research but I really wanted to jump on the crypto trading and investment buzz.
Unfortunately for me, I invested 90,700 USD
worth of bitcoin with a fraudulent company. I was happy to watch my account grow to 240,575 USD within a couple of weeks. But I didn't realize I was dealing with a scam company, until tried to make an attempt to withdraw. I made a withdrawal request, and noticed my account was suddenly blocked for no apparent reason. I tried contacting customer support, but all to no avail. I needed my money back at all cost, because I could not afford to let it go. So tried all possible means to make sure recovered my scammed bitcoin. I did a lot of online search for help, and tried to see if there were other people who had any similar experience. I stumbled upon a cryptocurrency forum were a couple of people mentioned that they had been through the same process but were able to recover their lost cryptocurrency, funds with the help of Ganesh
Theowletcryptotrade At gmailcom . So I file a report and he was able to help me get back all my lost funds within few hours I feel indebted to him. Apart from trying to express my gratitude to them once again using this medium, I will recommend anybody who wants to recover scammed bitcoin, stolen cryptocurrency, funds lost to binary options forex, investment and any other form of online scam, reach out to Theowletcryptotrade via gmail or telegram",5,False,lena van milk,Bitcoin investment,
2022-02-13 04:14:54,I tried sending about 58 dogecoin from coin base to my roqqu wallet. It’s been 8 days and I’m yet to find my doge on the receiving wallet but it’s been deducted from coinbase. I have even tried sending a lesser amount of doge after that to see if it was a network problem and I was able to receive it but never seen the first 58 doge. I have sent mails and nobody is providing any solutions. You’re telling me you’re not allowed to provide direct help to my region but your self help options do not address my issues so how am I supposed to get back my doge?,1,False,lizzayy1,Refund my coin!,
2023-03-10 09:16:15,What is wrong with Coinbase? Someone send me bitcoin for over an hour. But I have not received it in my wallet but they send me a message on email that I received bitcoin but when I check it show pending. I thought it was an update so I update the software but still it still show pending,5,False,Onlydenye,Complain,"{'id': 35331845, 'body': ""Hi Onlydenye, we understand that you´re experiencing this issue on Coinbase and appreciate you taking the time to share your thoughts. We'd like to work on this issue with you. Feel free to contact us on this link: https://help.coinbase.com/en/community-support\n"", 'modified': '2023-03-12T02:09:10Z'}"
2021-06-03 22:29:11,"I’m from Nigeria and I’ve been using coinbase for a while now to receive and transfer funds without any problems but i just updated the app now to be able to recieve Dogecoin and now with this update i can no longer transfer funds only recieve, it keeps saying trades not available in my country, how is this possible seeing as ive been receiving and sending funds from the same region till the update? Pls what do i do about this so I don’t have my funds trapped in my wallet.",1,False,Flamez01,Can no longer transfer funds,
2023-06-13 09:47:58,"Saves me time and money! Payork has simplified my life by offering the most affordable data plans and allowing me to conveniently top up my airtime, cable TV, and even pay my electricity bills all in one place. The app's speed is remarkable, and the user interface is intuitive.",5,False,Sanya Awe,Nice App,
2023-01-09 19:49:00,"I need my account back, why would you actually block my account for no reason. Why would you close my account with my money inside, pls open my account back so I can get my money back 🙏",5,False,derick2222@,My account blocked,"{'id': 34220165, 'body': 'Hi derick2222@, due to violations of our User Agreement, Coinbase may initiate closure of customer accounts. This can happen for a number of reasons including, but not limited to, engaging in prohibited activity as defined in our User Agreement. For more information, you can visit: https://help.coinbase.com/en/coinbase/other-topics/other/does-coinbase-freeze-accounts', 'modified': '2023-01-11T09:00:54Z'}"
2022-07-27 23:01:35,"Hello there, the add payment method is not loading through. I can’t see where to fill in my cars details.",4,False,Shorbzy,Add payment method,"{'id': 31161589, 'body': ""Hi Shorbzy, we're sorry to hear about your issue with adding a payment method. We suggest that you try doing the troubleshooting steps listed here: https://help.coinbase.com/en/coinbase/other-topics/troubleshooting-and-tips/app-troubleshooting If that doesn't fix the issue, please contact our support team through this link: https://help.coinbase.com/en/contact-us"", 'modified': '2022-07-29T08:58:36Z'}"
2021-09-13 09:35:17,"All of a sudden anytime I open my Coinbase it shows “we’re having connection issues “ so I updated and it’s still doing the same thing it’s really annoying I can’t even make use of my own wallet again 😒
If it’s not reviewed 1 star and I’m quitting the app",3,False,psususudkcod,Error message,
2021-03-15 17:02:26,I’ve been unable to send crypto to another wallet and I have some much money in there. It’s frustrating,5,False,yongwillion,Unable to send,
