timestamp,content,score
2019-01-14 01:07:58,GREAT APP,3
2020-05-09 17:41:39,soooo good,3
2023-12-05 17:48:26,wow so good,3
2022-03-04 10:54:19,omg fantastic,1
2018-09-20 04:07:09,omg fantastic,3
2019-08-13 08:00:37,perfect to buy and sell easily,4
2018-04-18 11:54:09,excellent,3
2020-03-09 12:44:02,uauh terrible,2
2018-09-04 19:51:16,omg fantastic,3
2017-04-16 16:07:27,very bad,4
2023-06-16 22:56:55,bad app,5
2017-02-28 04:54:49,2 out of 5dont even install,5
2023-07-03 16:01:00,soooo good,2
2023-12-12 07:11:15,bad app,3
2023-07-07 07:35:28,"cant be that bad, but its not perfectnever again using",5
2020-01-26 04:41:15,"cant be that bad, but its not perfectnever again using",3
2022-06-25 12:59:03,bad app,4
2022-12-28 17:08:48,"cant be that bad, but its not perfectnever again using",5
2019-06-12 01:50:20,"cant be that bad, but its not perfectnever again using",4
2021-06-12 21:45:47,3 out of 5 i guess,1
2023-05-08 04:12:56,bad app,5
2019-03-15 19:02:17,"terrible UI, deleted",3
2023-02-04 20:05:09,very good,4
2018-08-22 08:37:44,3 out of 5 i guess,2
2020-07-12 23:35:41,bad app,5
2021-06-20 19:08:11,recommend having good phone otherwise will be harddoes the job,4
2021-08-05 10:27:55,"cant be that bad, but its not perfectnever again using",5
2019-12-11 11:37:07,3 out of 5 i guess,5
2022-08-07 01:03:28,perfection,4
2023-12-18 04:41:54,perfect and easy to use,3
2021-01-04 15:45:04,"cant be that bad, but its not perfectnever again using",2
2021-03-13 22:23:45,perfection,4
2021-08-22 18:28:56,"terrible , so slowcant believe how bad it is",5
2019-09-25 21:46:57,amazing app i recommend,1
2017-12-22 22:28:45,"cant be that bad, but its not perfectnever again using",4
2020-12-27 13:18:05,perfection,1
2023-05-07 15:48:49,"terrible UI, deleted",4
2020-05-31 07:03:53,bad,1
2017-10-22 04:22:15,neutral,5
2017-02-08 02:17:12,wish it had a easier way to load with money,5
2017-09-17 06:36:05,trash app,1
2022-07-17 12:39:55,neutral,1
2023-10-26 18:45:40,excellent,3
2018-11-23 03:13:54,very good,5
2021-10-27 22:33:01,bad app,2
2020-03-23 17:14:05,good,1
2018-06-30 00:03:19,good,2
2017-11-13 07:29:03,wow so good,5
2021-07-31 01:42:52,bad app,3
2017-03-26 12:59:30,"terrible , so slowcant believe how bad it is",1
2018-04-09 02:51:39,perfect and easy to use,1
2020-06-29 15:15:54,very good,5
2022-08-31 22:52:53,uauh terrible,4
2022-02-18 08:02:24,perfect and easy to use,5
2019-07-22 07:17:22,mediocre,5
2022-02-11 11:08:09,very bad,5
2019-08-05 07:28:29,2 out of 5dont even install,5
2023-06-04 15:36:11,wish it had a easier way to load with money,1
2020-01-24 09:30:06,"cant be that bad, but its not perfectnever again using",3
2021-02-19 22:51:56,"i dont hate it, but i dont love it either..",1
2023-09-03 06:01:48,very good,2
2018-12-29 01:14:58,2 out of 5dont even install,2
2017-06-23 10:15:11,"cant be that bad, but its not perfectnever again using",3
2018-01-26 12:16:00,GREAT APP,3
2020-04-11 03:42:26,very good,3
2017-01-13 14:51:08,amazing app i recommend,4
2021-12-06 23:03:07,neutral,4
2019-11-07 13:48:56,"cant be that bad, but its not perfectnever again using",2
2019-02-12 15:09:08,"terrible UI, deleted",5
2017-09-12 20:17:43,trash app,5
2023-12-21 14:17:25,2 out of 5dont even install,5
2021-06-26 15:03:32,amazing app i recommend,3
2020-09-18 02:12:50,omg fantastic,1
2022-06-12 09:59:03,amazing app i recommend,5
2021-12-31 10:32:51,perfect and easy to use,3
2019-07-11 08:35:08,bad,5
2017-11-10 04:26:24,soooo good,1
2020-06-18 14:18:58,very good,3
2018-07-20 17:15:24,"terrible UI, deleted",1
2020-03-03 21:11:23,perfect to buy and sell easily,2
2023-08-03 16:00:56,amazing app i recommend,4
2017-10-18 13:54:02,3 out of 5 i guess,3
2021-06-29 03:57:08,"terrible , so slowcant believe how bad it is",4
2017-07-14 23:37:01,mediocre,1
2022-01-17 11:54:08,hard to tell sometimes good sometimes badnot good not bad.. does the job,2
2023-12-21 16:04:58,"cant be that bad, but its not perfectnever again using",4
2021-02-16 09:05:49,very good,3
2023-07-24 13:22:28,"terrible UI, deleted",4
2022-04-18 22:33:12,very good,1
2022-05-05 11:35:04,perfect to buy and sell easily,2
2017-07-29 08:45:05,amazing app i recommend,2
2019-05-30 01:44:00,wish it had a easier way to load with money,4
2023-08-03 06:55:28,recommend having good phone otherwise will be harddoes the job,3
2023-01-20 01:56:19,bad,4
2021-12-16 17:15:33,bad,3
2019-09-20 15:10:28,good,3
2018-07-12 01:44:55,bad,2
2020-07-14 17:24:43,bad,2
2018-09-17 15:32:59,trash app,5
2017-02-19 11:41:43,very bad,3
2020-11-04 17:20:10,GREAT APP,3
2020-09-13 07:09:22,uauh terrible,2
2018-04-17 01:49:31,2 out of 5dont even install,2
2020-10-05 14:28:29,"terrible UI, deleted",1
2023-02-15 09:45:36,3 out of 5 i guess,1
2022-12-16 12:24:30,perfection,2
2020-01-26 05:50:56,excellent,2
2022-12-14 21:24:08,soooo good,5
2019-04-07 19:02:47,"terrible , so slowcant believe how bad it is",4
2023-09-09 23:14:00,"terrible , so slowcant believe how bad it is",5
2019-10-08 20:26:34,bad app,2
2017-03-07 19:45:38,perfect and easy to use,3
2017-11-09 03:24:22,2 out of 5dont even install,1
2023-05-09 18:24:08,"terrible UI, deleted",1
2018-11-20 03:19:42,wow so good,4
2019-03-30 01:40:26,hard to tell sometimes good sometimes badnot good not bad.. does the job,1
2023-03-12 12:37:50,hard to tell sometimes good sometimes badnot good not bad.. does the job,4
2021-02-13 10:22:41,neutral,3
2019-10-28 23:23:46,bad,1
2020-09-23 17:58:03,soooo good,2
2020-11-06 14:28:41,very good,1
2021-01-20 08:09:24,excellent,1
2020-10-24 20:30:00,"terrible , so slowcant believe how bad it is",1
2020-09-03 00:42:14,very good,5
2019-01-20 12:03:40,uauh terrible,5
2017-09-14 07:20:18,perfect and easy to use,1
2020-11-22 02:24:31,recommend having good phone otherwise will be harddoes the job,1
2017-08-02 05:37:08,2 out of 5dont even install,5
2020-10-24 21:03:15,very bad,4
2020-12-21 05:33:22,recommend having good phone otherwise will be harddoes the job,3
2020-03-20 23:46:58,GREAT APP,2
2017-11-12 20:21:13,"terrible , so slowcant believe how bad it is",3
2020-02-22 08:00:34,omg fantastic,4
2018-04-05 17:57:44,wow so good,3
2020-09-11 14:53:46,good,3
2023-12-07 07:45:05,amazing app i recommend,3
2022-11-20 10:08:52,"terrible UI, deleted",1
2018-11-17 05:02:45,excellent,1
2018-12-25 01:28:07,trash app,5
2018-05-19 10:55:10,omg fantastic,4
2023-01-25 08:14:58,perfect and easy to use,3
2020-07-23 13:52:38,"terrible UI, deleted",4
2019-07-14 09:25:40,bad app,5
2021-09-02 22:39:15,neutral,2
2017-08-01 18:43:43,soooo good,2
2017-01-15 06:39:46,amazing app i recommend,1
2019-06-05 02:12:42,"cant be that bad, but its not perfectnever again using",5
2017-11-17 04:01:50,bad app,5
