timestamp,content,score
2020-12-19 08:13:41,hard to tell sometimes good sometimes badnot good not bad.. does the job,5
2019-05-19 06:34:10,"i dont hate it, but i dont love it either..",2
2020-12-06 16:16:15,3 out of 5 i guess,2
2023-09-30 11:11:32,trash app,4
2023-12-26 18:45:44,"terrible UI, deleted",3
2020-09-12 01:16:14,excellent,5
2019-01-21 03:46:04,bad app,2
2018-05-05 11:51:40,GREAT APP,4
2017-02-12 12:22:07,amazing app i recommend,4
2021-10-16 19:17:07,omg fantastic,5
2020-01-25 19:48:05,omg fantastic,3
2017-07-04 04:48:57,wish it had a easier way to load with money,4
2017-04-23 09:45:21,wish it had a easier way to load with money,3
2021-04-06 09:58:31,perfect and easy to use,5
2022-08-12 22:55:20,neutral,1
2017-07-19 17:36:50,hard to tell sometimes good sometimes badnot good not bad.. does the job,1
2021-01-06 12:08:44,3 out of 5 i guess,1
2017-10-19 07:08:25,good,4
2022-01-05 02:48:39,wow so good,3
2023-11-24 23:22:16,uauh terrible,1
2018-04-08 06:35:47,3 out of 5 i guess,3
2019-03-09 00:26:45,soooo good,3
2022-08-27 16:41:10,good,2
2020-08-10 18:13:57,wish it had a easier way to load with money,3
2019-12-18 02:03:48,trash app,4
2021-03-23 15:17:46,3 out of 5 i guess,5
2022-05-15 17:35:20,recommend having good phone otherwise will be harddoes the job,4
2020-02-04 21:28:29,hard to tell sometimes good sometimes badnot good not bad.. does the job,2
2021-05-16 00:19:42,2 out of 5dont even install,5
2020-09-22 20:51:50,neutral,1
2023-03-28 04:38:59,"terrible UI, deleted",2
2019-05-04 19:21:52,"terrible UI, deleted",5
2020-06-04 17:57:33,perfection,2
2017-12-30 21:58:10,amazing app i recommend,1
2023-03-17 01:05:57,very good,2
2019-01-17 17:57:56,3 out of 5 i guess,3
2022-01-12 21:11:42,excellent,5
2019-09-25 12:48:39,perfection,5
2021-03-20 12:25:40,hard to tell sometimes good sometimes badnot good not bad.. does the job,5
2018-12-23 12:29:49,bad app,1
2017-05-07 04:22:46,2 out of 5dont even install,5
2021-03-01 17:09:56,amazing app i recommend,4
2020-10-10 21:26:08,"cant be that bad, but its not perfectnever again using",2
2017-07-18 02:34:50,good,2
2017-08-03 22:11:48,omg fantastic,1
2023-02-08 10:56:35,neutral,1
2022-06-01 10:55:01,perfection,1
2023-11-17 00:02:10,"cant be that bad, but its not perfectnever again using",1
2017-02-11 15:45:57,GREAT APP,3
2022-06-23 14:14:19,trash app,1
2018-07-25 06:27:21,3 out of 5 i guess,4
2019-06-26 15:33:29,recommend having good phone otherwise will be harddoes the job,2
2020-08-27 21:43:03,perfect and easy to use,2
2017-06-09 01:01:57,good,3
2020-09-23 18:20:55,very good,4
2018-10-31 19:23:07,3 out of 5 i guess,3
2021-03-19 14:19:04,"terrible , so slowcant believe how bad it is",4
2019-06-24 10:26:33,"cant be that bad, but its not perfectnever again using",4
2022-10-10 01:19:13,trash app,4
2021-03-26 06:23:53,excellent,3
2022-10-17 15:44:57,soooo good,2
2020-03-10 07:37:16,amazing app i recommend,2
2021-12-17 03:59:06,amazing app i recommend,1
2020-09-11 05:15:47,perfection,5
2017-08-15 03:17:14,"i dont hate it, but i dont love it either..",5
2021-08-22 10:44:29,hard to tell sometimes good sometimes badnot good not bad.. does the job,3
2018-03-06 07:41:04,very bad,2
2019-10-05 09:13:00,mediocre,3
2020-10-10 02:07:13,amazing app i recommend,1
