App,Store,App ID,Review ID,Country,Version,Rating,Date,Author,Subject,Body,Translated Subject,Translated Body,Sentiment,Device,Language,OS Version,Reply URL,Topics,Custom Topics,Tags
"Binance: BTC, Crypto and NFTS",Google Play,com.binance.dev,cbab63fe-0bfa-46a3-8f45-02acc3240f67,English,,5,2023-03-02,Md.Shafin Ali,,Good app trading,,,positive,,English,,https://app.appbot.co/apps/1668407-binance-btc-crypto-and-nfts/reviews/3118797523/reply,"[""Satisfied users""]",[],[]
"Binance: BTC, Crypto and NFTS",Google Play,com.binance.dev,45aaa05f-f0e5-40d3-937a-f07dc3aa51d9,English,,1,2023-03-02,Akib Hossain,,Try to ake yourself working all the time😐😐,,,negative,,English,,https://app.appbot.co/apps/1668407-binance-btc-crypto-and-nfts/reviews/3118797524/reply,"[""Frequency""]",[],[]
"Binance: BTC, Crypto and NFTS",Google Play,com.binance.dev,36e99bf5-67ea-46df-a960-b49b5b964f72,English,,3,2023-03-02,Lukas Neubert,,Somehwat bloated with features and popups,,,negative,,English,,https://app.appbot.co/apps/1668407-binance-btc-crypto-and-nfts/reviews/3118797525/reply,[],[],[]
"Binance: BTC, Crypto and NFTS",Google Play,com.binance.dev,39475cc1-17ee-4fac-b58a-32934011fcfa,English,,5,2023-03-02,Mirza Ali,,Long live CZ🔶,,,positive,,Czech,,https://app.appbot.co/apps/1668407-binance-btc-crypto-and-nfts/reviews/3118797526/reply,[],[],[]
"Binance: BTC, Crypto and NFTS",Google Play,com.binance.dev,8d276136-ba25-4a4c-9c64-ebfd2d8f195f,English,,5,2023-03-02,Winners Okechukwu,,Good app so far,,,positive,,English,,https://app.appbot.co/apps/1668407-binance-btc-crypto-and-nfts/reviews/3118797527/reply,"[""Satisfied users""]",[],[]
"Binance: BTC, Crypto and NFTS",Google Play,com.binance.dev,be625581-4065-4816-a3b9-87887ca69d0e,English,,5,2023-03-02,MD. Akash,,Nice app,,,positive,,English,,https://app.appbot.co/apps/1668407-binance-btc-crypto-and-nfts/reviews/3118797528/reply,"[""Satisfied users""]",[],[]
"Binance: BTC, Crypto and NFTS",Google Play,com.binance.dev,dc9b121a-a8c2-41bd-96a0-616f1b9ff3c1,English,,5,2023-03-02,Zohaib Aftab,,Great application,,,positive,,English,,https://app.appbot.co/apps/1668407-binance-btc-crypto-and-nfts/reviews/3118797529/reply,"[""Satisfied users""]",[],[]
"Binance: BTC, Crypto and NFTS",Google Play,com.binance.dev,df8bb919-94cf-49a9-a7f3-d64b0cf1619e,English,,1,2023-03-02,Karleen Christopher,,"I can't even get to verify my account. It has failed dozen of times, for all different reasons.",,,negative,,English,,https://app.appbot.co/apps/1668407-binance-btc-crypto-and-nfts/reviews/3118797530/reply,"[""Bugs"", ""Security & Accounts""]",[],[]
"Binance: BTC, Crypto and NFTS",Google Play,com.binance.dev,9729d3d5-830a-48f3-a16c-7c0c61d0cdcd,English,,4,2023-03-02,Khurram Shahzad,,"I Don,t know",,,mixed,,English,,https://app.appbot.co/apps/1668407-binance-btc-crypto-and-nfts/reviews/3118797531/reply,[],[],[]
"Binance: BTC, Crypto and NFTS",Google Play,com.binance.dev,1fa06d5c-8cf2-4218-8985-5ac805d2e11f,English,,5,2023-03-02,Himanshu Shrivastav,,Experience better 🙂,,,positive,,English,,https://app.appbot.co/apps/1668407-binance-btc-crypto-and-nfts/reviews/3118797532/reply,[],[],[]
"Binance: BTC, Crypto and NFTS",Google Play,com.binance.dev,600268b0-7f59-42ff-8b0c-0fd71219e83a,English,,5,2023-03-02,C LP,,Good,,,positive,,English,,https://app.appbot.co/apps/1668407-binance-btc-crypto-and-nfts/reviews/3118797535/reply,[],[],[]
"Binance: BTC, Crypto and NFTS",Google Play,com.binance.dev,c8d369a9-5ffb-499a-a873-fe76fc46edec,English,,5,2023-03-02,Md rahi islam,,Nice app,,,positive,,English,,https://app.appbot.co/apps/1668407-binance-btc-crypto-and-nfts/reviews/3118797537/reply,"[""Satisfied users""]",[],[]
