App,Store,App ID,Review ID,Country,Version,Rating,Date,Author,Subject,Body,Translated Subject,Translated Body,Sentiment,Device,Language,OS Version,Reply URL,Topics,Custom Topics,Tags
Coinbase: Buy Bitcoin & Ether,Google Play,com.coinbase.android,c28337f5-77a2-4af8-b625-095403bec54d,English,,5,2023-03-02,Abuja Michael Jackson family (Garuba Bobby Prince),,Best app,,,positive,,English,,https://app.appbot.co/apps/676890-coinbase-buy-bitcoin-ether/reviews/3118862461/reply,"[""Satisfied users""]",[],[]
Coinbase: Buy Bitcoin & Ether,Google Play,com.coinbase.android,adf58b0f-07f5-454a-82f0-f44fc421518f,English,,5,2023-03-02,Md Nahid,,Gf app otp,,,mixed,,Hungarian,,https://app.appbot.co/apps/676890-coinbase-buy-bitcoin-ether/reviews/3118843141/reply,[],[],[]
Coinbase: Buy Bitcoin & Ether,Google Play,com.coinbase.android,1646cbee-d8f3-441f-a3bb-751d32a2b4a6,English,,5,2023-03-02,Emeka Micheal,,Nice,,,positive,,English,,https://app.appbot.co/apps/676890-coinbase-buy-bitcoin-ether/reviews/3118814894/reply,[],[],[]
Coinbase: Buy Bitcoin & Ether,Google Play,com.coinbase.android,968ea98c-f2ee-492e-995a-2ca26800fc39,English,,4,2023-03-02,EDDY STINVIL,,It's Really A Good And Easy Experience,,,positive,,English,,https://app.appbot.co/apps/676890-coinbase-buy-bitcoin-ether/reviews/3118791659/reply,"[""Complexity"", ""Satisfied users""]",[],[]
Coinbase: Buy Bitcoin & Ether,Google Play,com.coinbase.android,8530df0a-5f59-45c1-9c97-9e7c7d7e7137,English,,3,2023-03-02,alexander rosario,,fees to trade fees to convert and fees to cash out. gotta be a more efficient way to get my money without so much taxing just for moving digital funds.,,,neutral,,English,,https://app.appbot.co/apps/676890-coinbase-buy-bitcoin-ether/reviews/3118791662/reply,"[""Payment"", ""Pricing""]",[],[]
Coinbase: Buy Bitcoin & Ether,Google Play,com.coinbase.android,2557f18f-d4e4-478e-9877-cd602f0df2cb,English,,1,2023-03-02,Random Person,,Horrible. Charged $10 worth of bitcoin for sending $16. I asked if it was a fee or a percentage and they said a percentage whhaaattt!@!,,,negative,,English,,https://app.appbot.co/apps/676890-coinbase-buy-bitcoin-ether/reviews/3118769553/reply,"[""Design & UX"", ""Dissatisfied users"", ""Payment"", ""Pricing""]",[],[]
Coinbase: Buy Bitcoin & Ether,Google Play,com.coinbase.android,97b1292d-d9cf-460e-a0fe-b4404c0e36d0,English,,5,2023-03-02,KENNETH Mace,,easy and simple to use,,,positive,,English,,https://app.appbot.co/apps/676890-coinbase-buy-bitcoin-ether/reviews/3118769575/reply,"[""Complexity"", ""Design & UX"", ""Satisfied users""]",[],[]
Coinbase: Buy Bitcoin & Ether,Google Play,com.coinbase.android,a1d3582c-68b7-40ca-86f9-d7a7fc209eca,English,,1,2023-03-02,Machen SS 666 (MachenDeath666),,Lost my money.. can't get it back.Give me my money you theiving dogs.,,,negative,,English,,https://app.appbot.co/apps/676890-coinbase-buy-bitcoin-ether/reviews/3118769602/reply,"[""Bugs"", ""Payment""]",[],[]
Coinbase: Buy Bitcoin & Ether,Google Play,com.coinbase.android,5a64de70-7733-4c81-b9c3-0b3e52849c28,English,,2,2023-03-02,Noe C,,The phone App is so slow takes about 24 seconds to load. I'm using Galaxy s23 ultra with 12gb ram,,,negative,,English,,https://app.appbot.co/apps/676890-coinbase-buy-bitcoin-ether/reviews/3118760775/reply,"[""Performance"", ""Devices""]",[],[]
Coinbase: Buy Bitcoin & Ether,Google Play,com.coinbase.android,5e104a66-15e3-4896-8b8e-6486670a2c61,English,,1,2023-03-02,Allie Fanjoy,,"Tells me I need to update. No update available. Try to sign in on Chrome. Tells me it doesn't recognize my device. Sends email, click on link to confirm.. sends me to app that says I need an update. No update available. Seriously? After I put in the code from my phone on the account? Get it together! I want to go in and make changes.",,,negative,,English,,https://app.appbot.co/apps/676890-coinbase-buy-bitcoin-ether/reviews/3118760793/reply,"[""Dissatisfied users"", ""Notifications & Alerts"", ""Sign Up & Login""]",[],[]
