date,review,rating,isEdited,userName,title,developerResponse
2023-01-18 04:23:17,"I was so impatient to carry out necessary research but I really wanted to jump on the crypto trading and investment buzz. Unfortunately for me, I invested 90,700 USD worth of bitcoin with a fraudulent company. I was happy to watch my account grow to 240,575 USD within a couple of weeks. But I didn't realize I was dealing with a scam company, until I tried to make an attempt to withdraw. I made a withdrawal request, and noticed my account was suddenly blocked for no apparent reason. I tried contacting customer support, but all to no avail. I needed my money back at all cost, because I could not afford to let it go. So I tried all possible means to make sure I recovered my scammed bitcoin. I did a lot of online search for help, and tried to see if there were other people who had any similar experience. I stumbled upon a cryptocurrency forum were a couple of people mentioned that they had been through the same process but were able to recover their lost cryptocurrency, funds with the help of Matthew at RecoveryBureauc At gmailcom. So I file a report and he was able to help me get back all my lost funds within few hours, I feel indebted to him. Apart from trying to express my gratitude to them once again using this medium, I will recommend anybody who wants to recover scammed bitcoin, stolen cryptocurrency, funds lost to binary options forex, investment and any other form of online scam, reach out to Matthew on RecoveryBureauc via gmail and thank me later",5,False,Steadfastlove😍,Best Review,
2021-01-18 01:27:02,"I joined Coinbase a month ago and after submitting necessary proofs was able to make a couple of transactions to buy crypto I wanted. Next day I find my account is restricted to buying ridiculous amounts like £1 to £3 on some days and on other days random amounts up to £10. I contacted CB through support and after taking a week to get back to me was told that my restrictions cannot be lifted until a review after 30 days 🤷🏻‍♀️and cannot elaborate why. A week ago tried to buy and pop up said buying has been suspended- again no explanation. Many support tickets later during which I have been told an ‘expert’ is reviewing my account, I received email telling me my account restrictions can’t be reviewed until after 29 day and cannot elaborate. I have opened account with Crypto. Com and was planning on transfer of crypto to that account until I discovered the sinister goons at CB are preventing me from doing even that. They are basically HOLDING MY FUNDS HOSTAGE!! I don’t want to sell because if value goes up I will lose money.  Am looking for organisation to complain about CB. Avoid CB if you don’t want to end up in a kaffesque nightmare.",5,False,vvvvvvvvvvvvvvvvcv,Sinister and shambolic,
2020-12-20 19:08:14,"I have used this for a year now but it’s ironic that for no reason they have ‘locked’ me out of my account and told me after having to go through verification again I have to wait upto 72hrs.
Never had a problem with these guys and it’s great to use HOWEVER...should any issues arise that you need an answer to as soon as possible (after all, it’s YOUR MONEY, NOT THEIR MONEY), you want to call a human or carry out a live-chat to give you reassurance that your money and account is ok, or any specific unbeknownst issue. However, as thousands of had the same problem as me they to find it a joke to use their generic drop-down support page to then submit to them...answers YOU want them to answer specifically with a reason. Using a generic support page is a standing joke to a multi million pound company that has no live chat or call centre is not good and speaks volumes for their ruthless customer support. They are very happy to take your money faster than you can blink though with no questions asked!!!!
Right now I’m still locked out and have to wait another 18hrs before they have given an inaccurate generic reply which breaks many laws as it regarding money which is not theirs.
TikTok TikTok TikTok...the clock is ticking Mr. Coinbase 😡

Oh...I bet there will be no reply to answer or explain this OR countless other reviews posted here regarding the same issues. I’d bet my Bitcoin but I haven’t got any to trade as they have MY Bitcoin!",5,False,winspur,NO CUSTOMER SUPPORT,
2022-12-28 20:15:12,"Edit: changed from 1 star.
After speaking to customer service and them explaining , what was happening, regarding my account and situation. My problem was resolved within 24 hours. Once my account was finally opened withdrawing funds was easy. Yes it was a massive inconvenience for me, but ultimately kept my account and funds safe. Customer service was fantastic handling my problem. ID checks could be faster in my opinion. I still believe they are better exchanges available, with cheaper fees and more availability, but for the average person looking to build their portfolio, this makes buying bitcoin easy.

Absolute joke trying to get your money out of this app. Upgraded my phone lost my old number. Nothing but problems from then. Even when you follow the advice and resubmit photos of your ID and yourself your still locked out your funds. Can’t send to a new wallet can’t send back to my bank account but trust they is no problem taking it from it. Far better exchanges out there",4,True,D8NEK,Don’t change your number if you want same day access to your account,"{'id': 33976912, 'body': ""Hi D8NEK, we're sorry to hear that you're having trouble accessing your account. We know how important your money is and we'd like to work on this with you. Kindly contact our support team here: https://help.coinbase.com/en/community-support so we can look into this and avoid further delays. Thank you."", 'modified': '2022-12-28T20:15:12Z'}"
2017-11-29 23:16:27,Hi I've bn using Coinbase for about two months now so far so good only downside I have experienced is when the price of the bitcoin drops a chance to buy some and sell at the high rate becomes difficult as it'll occur a error 503 which says too much transactions happening in Coinbase shutting you out of your account till it calms down by then you've lost out abit to make a investment and profit from it or sell abit. Number 2 as I've read a few reviews about the sepa transfer I hear there is a charge to do this ? I got charged £10 for the sepa transfer from my bank account took 3days got email confirmation and received my €10 that I tested to see if it went thru. All up and running and I have had withdrawals in euros into my account no problem. Best bet is to look for a global money app to get no fees and open a Euro account if that helps well the global money app should do it. On the whole if your bothered to do all this your set for life and see your bitcoin grow in value and become rich. I know it's a lil long process but well worth on the long run. Thanks everyone I hope I helped anyone out.,4,False,Nutrrrr,When price drops,
2021-05-04 17:28:29,"So I’m going to be honest I was abit skeptical about the crypto-market at first but since getting coinbase I’ve learned only learned abit, that’s it lol. I started off well deposit £3 n managed to increase my portfolio but only because of the earning ability in this app, only $30 worth. This is app is too basic for you to fully learn about cryptocurrencies/tokens, buying & selling. Also there are too many hidden fees weather your buying or selling, even converting one crypto to another, it’ll slowly eat away at your profits. The only way I’ve managed to stop/prevent any further losses from occurring is by depositing all my cryptos to coinbasePro; which if I’m being honest is total B.S, the fact that another app is cheaper than the original one is massive red flag. Also connection is slow, the amount of times I get stuck on the troubleshooting page whilst trying to load into the app was worrying, kept thinking I was being hacked. 

Final thoughts - Okay app to start off your crypto journey; if you have the money for it. But not a long-term solution if you want to get fully into crypto investments & profit off it.",3,False,🚩🤦‍♂️🚩,Honest Review,
2021-04-10 09:04:09,I started using bitcoin about a week ago I put some money in using my debit card and that went fine but the problem started when I tried to add a bank account so I could get lower fees and I could transfer more money as for a debit card it would only let me do £300 per week. I have now had a response from Coinbase saying that I cannot add a bank account because of my location in this case in the UK so the only way I can sell the crypto currency is to do it through PayPal which I do not have. I just wish the app when trying to add a bank account with already knowing where you are in the world would just come up with a caption saying you cannot add a bank account with you being in the UK. I don’t understand why Coinbase won’t allow you to add a bank account as you have to verify your bank account by transferring some small funds into it I would think that a debit or credit card would be more of a dodgy transaction as they can be stolen and used very easily. Looks like I’ll have to go through the rigmarole of opening a PayPal account to get my money out.,2,False,knobber999,Easy app to use but does have some underlying difficulties if you are in the UK,
2021-10-20 09:03:01,"I am new to trading. I started with reading a few books and then did research on easy to use apps. I’m a single mum who had to cancel Netflix to have a little money each month to invest. I started with just the £10 I would of spent on Netflix and bought Bitcoin at -4.5. It’s now worth over £12 in less than two months. Ive also earned free stocks buy doing short easy lessons on the app. You can keep, cash out or exchange these stocks for those you’d prefer. I’m learning so much and actually looking forward to the anticipated crash! I’ll be the first in my family to do what the rich do and hand my children a portfolio of valuable stocks while we benefit from the profit while I'm still here. Coinbase also have a ‘coinbase wallet’ which I’m learning about now as it gives access to stocks not available on this app. I highly recommend you do some research and get onboard. 
M",5,False,Michelle Aneesa,Highly recommend,
2021-01-06 12:03:53,"I did everything to follow the process, answered questions, verified my mobile and email, and submitted a photo of my drivers licence. I then got an email saying I was good to go and start investing. I invested money in Bitcoin. Shortly after I get an email saying that my account is under review (not specifying why it’s under review). I am not unable to sell the Bitcoin that I invested in or buy more. What if Bitcoin crashes - and I’m unable to sell? I’ve tried to contact customer support and all I get is a robot not answering the question. I then raised a ticket, again not answering the questions on why I’m under review and is an automated response! I am getting no where and not liking the fact that you have technically frozen my ability to sell my investment or have control over my account. This is a joke! If you are going to put accounts under review you should at least explain why to allow the customer to put it right - also this should be before I am able to invest money, not after! You should also give the customer the option of speaking with a customer services rep to sort the problem out not just send robotic responses out!",1,False,davidj from milton keynes,Invested money in Bitcoin and then they put my account under review,
2021-01-11 00:52:32,"I downloaded the Coinbase app around a week ago without checking the reviews or knowing much about crypto coin investing/trading but wanted to get in on the hype. 

The app is very easy to use and the fee’s seem ok only because I haven’t used other exchanges/wallets to compare. I know some UK banks don’t allow crypto withdrawals but mine does and in less than a week I have traded making decent profit. 

The fee’s are taken when selling to your FIAT wallet and not on converting or withdrawing to your verified bank account which needs a £2 deposit to set up. I have stayed well away from using paypal at all costs but have deposited into coinbase from my credit card and bank account. 

All the problems seem to be around bitcoin which I bought to hold but all the rest of the alt coins have been fine when buying and selling especially during highs or lows. 

My mobile Coinbase app works great with Koinly which is a tax software to help keep track of wallet transactions that I need for the HMRC. I needed the software quickly when I realised I was trading much more than just an investment for the long term. Plus the tax on crypto profit isn’t that simple to track if you trade a lot. 

This app has been great so far but do your own due diligence. I hope this helps.",5,False,Wh1tedawg,UK user feedback,
