timestamp,reviews,rating,sentiment
2021-06-19 13:12:45,"Nevertheless, thanks for your hard work, but with the latest interface update the futures window has changed. I'm talking about pnl, percentage, tp and sl windows. At now, they are not userfriendly. 
And every time from last update when I running app, the message was showing:
“Binance: Inserted from... safari/translater/application/itunes” (any ctrl+c text from my clipboard) 
??? what you want to know ???
Please roll back futures window and stop to gather confidential user information you don’t need",5,3
2021-05-20 13:01:16,I tried to make a payment from bank card and received an error. But money was charged from my card and I did not received it in my wallet at binance. Support did not answered me. It is serious issue for me so I will go to bank and start charge back procedure.,5,1
2022-01-02 12:15:40,"Uploaded documents, stuck at verification by camera. Tried without glasses, tried with them, again without etc. Without any luck. What support did? From first request: ""You have to wait"", from second request (after 2 weeks): ""Please upload selfie without glasses"" and they mark the whole process with ""Failed - User request"". I didn't request that, useless supporter. Now I need to upload all documents, photos one more time and again WAIT 2 WEEKS. Perfect.",4,1
2022-04-18 05:42:30,"In the last update you’ve added animated balance update. It annoys cuz I have rather large amount , so animation takes too long to display my amount. Can you please remove this animation or add an option to disable it ?",5,2
2023-05-20 10:36:29,"After last update have a problem with payment method in P2P. You need to delete app and download it again, when you want to add new card when you making an order.",5,2
2021-05-10 06:47:02,It shows me risk account detected you can not meet internal policy of binance so now i am not able to buy or sell from few days  thats the problem anyway this app is very good.,5,4
2023-08-26 05:03:41,"Disrespectful, scam platform. The attitude to the users is disgusting. The support works like a robot a very cheap one, like: everything is gonna be fine and it’s almost never fine actually. They suddenly change the policy without any warning in two weeks or even better in two months. It’s always a disgusting surprise and a lottery you always lose. That platform is extremely disrespectful to his users. Never gonna use it again.",1,1
2022-06-16 12:05:15,"Today I updated the application, and now when you collapse the application constantly crashes back to the main page! And you have to go back to the menu you were in every time, Fix it faster",4,2
2021-08-23 11:55:22,"Since latest update (2.34.1) started to face frequent crashes each time network is changed (wifi->lte or any other way). IOS 14.7.1 iphone 12 pro. Very annoying. Also didn’t find a way to report a bug, chat support is giving pointless solutions like reinstall the app which doesn’t help - it’s clearly a bug when websocket connection is lost.

But otherwise, you guys are awesome, love your work. Please fix the bug.",1,2
2022-07-31 07:12:33,Trading information is no longer available in a fast and informative way. Please roll back his update,5,1
2023-06-18 21:30:36,"I'm used to using binance on my phone and it's really convenient, but lately the phone screen hasn't been enough and I decided to try an iPad and was annoyed that the application does not support it",4,2
2023-05-11 16:47:47,"I like Binance for first of all, very convenient interface. Was easy to figure out which buttons i should push))",5,5
2020-12-09 15:18:38,Please make an option to turn off vibro for bottom menu as well as option to disable the animations there. Its awful !!!,5,1
2022-09-05 11:30:17,"These guys spend my time, because I did not pass verification several times, although I attached original documents and took pictures on my new iPhone, then they approved it, and a week later again asked to pass verification! Seriously????
You have wasted my time and the support on the site was unprofessional, I do not recommend it to anyone",1,1
2022-04-07 04:22:04,"After a long time of use , and the receipt of money to the account .You need to pass identity verification.",5,4
2021-09-22 08:18:56,"Please add more indicators to the mobile app.  at least VWAP and AVL.  As well as the ability to watch charts for 15 minutes, 5 minutes, times of segments for the entire trading period",5,4
2021-03-14 21:37:53,"I writted to support, but nothing. They just have letter template, they can’t help me. This program got my money, and I didn’t get anything.",5,1
2021-07-20 08:25:10,"The last update is without VOLUMES which are very important!!!!
At the same time interface of features is terrible. Get back to previous version!",4,1
2021-11-08 12:39:37,"Hello! I am writing you to tell about some issue that I have detected with Face ID. When app is closed by swiping on the Global Nav menu, Face ID is called. It was tested on the IPhone 11 with iOS 15",5,5
2021-10-10 12:22:42,"Application is good, but verification center is total mess. It lags, it doesn’t work at all. I’ve been trying to pass verification for literally a week, every day, but I still encounter Ana problem, it just does not respond.",3,2
2021-04-28 20:43:45,please add so that you receive a notification on the phone that the order has been executed,5,3
2022-06-29 13:11:17,"I trust binance money more than my own mother.  The best application, How easy it is, simple.",5,5
2023-07-07 16:13:26,Warning!! this exchange became unsafe to use like some other exchanges they block your account for 400$ you receive from a friend and they give us the chat between you and the sender I gave all of that and still no response I can’t trust them anymore some people might get damaged by blocking their account how they will pay for goods,1,1
2021-05-02 23:07:43,"I wanted to buy crypto, registered, uploaded documents, did selfie.. shared all the personal data required. But couldn’t buy anything because face verification didn’t work. I followed all the instructions- no hat, lightening etc, it just doesn’t work. I tried million times, sent them a ticket, but they never replied",1,1
2022-06-15 14:19:02,"After one year of use, I received a message that my account was deactivated.

I did not violate any policies and the reason for blocking the account is not clear.

4 hours of correspondence with the support service did not change anything.  Constantly respond with template messages…",1,1
2021-03-03 09:42:47,"iOS 14.4, iPhone 11 Pro. If you open launchpad you can’t even scroll because page refreshes and moves you at the top of the page. I can’t even buy something because when I type card credentials it also refreshes the page!!Do something please.",2,1
2022-06-23 21:07:25,"And if there was a 0 stars i would put it !! 
Bunch of scammers! I withdrew my balance on February, now almost 5 months passed and nothing received! 
I contacted the customer service 10+ times and no solutions ! Money were lost ! 
Awful experience in this app that i would never recommend it to anyone .",1,1
2023-01-18 09:24:59,"Will recommend for everyone to use this platform, all is pretty easy and good",5,5
2021-07-01 20:48:17,"There are some app issues, precisely, I clicked to open XLM short and it opened BTC short. 
Reinstalling didn’t help, neither did contacting support. You should care a bit more about your customers.",3,3
2020-04-05 18:15:40,"Good app, but unfortunately there is no Ukrainian language. I’ll increase my rating after adding support for the Ukrainian language. 🇺🇦🇺🇦🇺🇦",5,3
2021-02-18 09:01:46,the most powerful platform,5,5
2021-04-22 10:46:26,"When you open the app for several second you can see that you’re not authorized, also app a little bit slow",3,3
2021-12-28 17:19:55,Enabled Touch ID also does not help,5,1
2021-11-21 02:23:45,"I bought some BNB and tried to transfer it to Binance wallet chain . I connected it through wallet direct . Wanted to receive BNB ,but shows just blank space . I can’t do any transfer. Customer support is useless , can’t even contact them. I wasted time and money .",1,1
2021-04-13 13:56:14,"Have the same problem as many other costumers, have deposited some money, app said there was an error, money were charged from my card but not deposited to the account.
No reply from cs since last week
Very disappointed!",1,1
2020-07-23 21:40:28,"The chart is not showing the candle sticks but just some lines, please check and update. Thank you!",5,3
2021-05-08 23:33:12,"Hey, can you guys make something with webview part of the app? It is constantly reloading",5,1
2022-06-02 09:12:23,Latest update brings a huge pain with the biometric authentication. When I try Face ID on iPhone 13 it askes to “tap to verify” and when I tap nothing happens. You just broke Face ID unlock!,3,1
2023-08-27 11:20:04,"Guys all good :)
Just realized that in Personal info page there is button “Link Twitter”, it’s not Twitter anymore , it’s X.",5,3
2021-04-21 19:08:21,Another bad update 🤯 please get back BTC value of assets in my wallet . And many other thing got worse and worse with every update. Can you please stop it. Everything was very good.,3,1
2022-05-18 17:29:14,"great app but on iPad i have a small screen (iPhone like) and huge black frames, can you fix it?",4,4
2022-12-18 16:30:54,"Think twice before using Binance. They blocked my account without any reason and answer from the support shocked. They just said “you should read our terms, we can block any account without any explanation”. That’s it!",1,1
2023-10-24 10:36:30,App crashes every time when I try to insert verification on my phone,4,1
2022-10-08 15:27:52,"1. Double or even triple opening of one screen (verification flow).
2. App doesnt want to verify my face. I have finished 3 steps with status “good” and then “facial recognition error” (i tried a lot of times).
3. After all of my tries I cant try anymore. I just see same error after i press “start verification” button. And no, i cant appeal, because no visible button for that. 
4. Sometimes navbar backbuttonitem doesnt appear and i cant pop to previous screen.

Device: iPhone 13
OS: iOS 16.0",1,1
2022-02-17 10:28:00,Doesn’t open in 15.3.1 IOS some crush,5,1
2022-04-21 21:53:46,After sending withdraw to Eth wallet service says they did everything good and further is not in their hands. I made withdraw more then 8 hours ago and still nothing come to my wallet and no txn hash were registered at the Eth network.,1,1
2020-10-04 19:27:39,"After the last update of your up, can not login in into the App, because google 2-step verification does not work.",3,1
2022-02-17 19:38:53,How to turn off the notifications? Those drive me crazy! So annoying! Turned off all the notification switchers in the Binance app notifications but I still get a lot of them almost every day.,1,1
2023-02-05 08:26:02,"The app is nice but please, optimise desctop app for ipad, i guess there is enough requests already",5,3
2021-05-08 22:13:34,"Could you please help me, where is it possible to buy FTM?🙏",5,3
2022-05-26 21:46:41,App doesn’t allow to log in from USA. Works in Ukraine ok.,5,3
2021-05-26 10:13:46,"It would be great to see app upgrade for IPad. Please, so much waiting.",5,3
2021-03-02 07:35:49,"Altogether the app is great, but on IPhone 7 I have a little problem - the widget does not work. Please correct this bug",4,3
2020-09-02 09:19:37,"Hi, thanks for fix a bug. Maybe you can return function, that calculate loss/profit when you set stop-loss or take-profit. 

And please do push notifications about order complete, because we need to use another app for this and it’s very uncomfortable.",1,1
2021-03-01 12:21:57,I can’t login to the app because it always have the same error ‘ internet connection error’ and every time when i trying to login same problem 😋😋,2,1
2023-06-26 12:38:07,"Great app using it since 2019, always improving and feels very inspiring.",5,5
2021-11-15 18:43:55,"Now you became a scammers exchange , you took my 946$ from account and can’t find solutions. It’s funny for you like I understand, but 1 month passed, soon will write to police about all this incident, if you can’t solve this.

Remember my email:
madex1",1,1
2022-09-27 17:46:05,"Please fix scrolling in favourites tab. I can not see the whole list of chosen coins.
Thanks",3,1
2020-06-30 07:59:20,"I want to remove him, but I can’t ((( please do something...",5,1
2022-08-26 12:45:17,"The mobile application is not adapted to small screens (iPhone SE/5s, 7) Every time I enter security passwords, I can't scroll down and get to the right line!",2,1
2022-06-30 13:20:09,Getting ads push notification despite the fact that I have enabled only operational and transaction risk push notifications,1,1
2023-01-27 16:50:39,but after recent update the widget doest not work. can you please fix it,3,2
2022-05-06 11:44:33,"the problem is in passing the verification, the system response is one that I am registered on another device, but I did not do it !!!  it is not possible to contact the support !!! Its scammers who collect your data!",1,1
2022-02-17 18:27:14,Make iPad version please,5,1
2023-10-07 22:16:16,I already have 2 step verification by phone number and email. But now they force me use one more verification (google authentication or pass key). That’s uncomfortable for me. 2 step verification was very comfortable.,1,3
