timestamp,reviews,score,sentiment
2018-06-10 11:45:42,hard to tell sometimes good sometimes badnot good not bad.. does the job,4,3
2019-08-25 04:57:25,perfection,5,5
2023-01-28 08:11:25,neutral,2,3
2022-07-02 06:27:24,uauh terrible,4,1
2017-04-21 17:37:40,trash app,3,1
2019-06-18 01:57:39,GREAT APP,2,5
2017-02-26 12:51:38,perfect to buy and sell easily,2,5
2021-05-01 16:43:32,perfection,3,5
2022-11-25 10:02:39,recommend having good phone otherwise will be harddoes the job,3,4
2021-10-14 10:29:56,excellent,5,5
2021-08-30 07:28:49,good,4,4
2023-03-26 13:50:16,2 out of 5dont even install,4,1
2017-09-11 01:28:06,perfect and easy to use,2,5
2017-08-06 18:15:37,"terrible , so slowcant believe how bad it is",3,1
2022-04-21 00:49:11,2 out of 5dont even install,5,1
2021-05-14 14:34:41,bad,3,1
2017-06-12 02:07:53,recommend having good phone otherwise will be harddoes the job,3,4
2021-08-22 02:04:17,bad,2,1
2017-11-09 10:42:02,neutral,3,3
2017-02-23 16:02:59,perfection,2,5
2022-03-19 05:55:06,mediocre,4,2
2017-05-16 04:35:07,omg fantastic,3,5
2017-02-18 16:42:53,perfection,4,5
2018-04-26 20:02:16,uauh terrible,5,1
2020-08-01 04:11:14,wish it had a easier way to load with money,4,3
2019-02-09 15:24:57,very good,4,5
2021-03-27 23:38:02,very good,5,5
2017-11-17 16:46:30,hard to tell sometimes good sometimes badnot good not bad.. does the job,3,3
2023-06-21 05:14:46,amazing app i recommend,4,5
2017-05-21 18:16:38,trash app,3,1
2021-03-05 06:00:31,recommend having good phone otherwise will be harddoes the job,5,4
2023-11-25 05:32:50,bad,4,1
2023-09-16 16:14:56,"terrible UI, deleted",2,1
2023-05-03 22:02:00,"terrible , so slowcant believe how bad it is",1,1
2018-05-03 04:15:09,wow so good,3,5
2022-05-07 08:21:31,recommend having good phone otherwise will be harddoes the job,2,4
2023-10-26 19:44:07,wish it had a easier way to load with money,2,3
2021-03-25 19:07:00,perfect and easy to use,4,5
2020-07-01 12:46:36,"i dont hate it, but i dont love it either..",3,3
2018-10-14 14:42:55,perfect to buy and sell easily,2,5
2020-05-21 04:01:44,wish it had a easier way to load with money,1,3
2023-07-21 16:54:50,excellent,5,5
