date,developerResponse,review,rating,isEdited,title,userName
2022-09-22 10:24:42,"{'id': 33902386, 'body': 'Thank you very much for your review, it is extremely important for us to know how we can improve and what we are getting right with our users. To share more details with us you can contact us via chat at: binance.com/en/chat We will be glad to hear everything you have to say 🙂💛🖤\nSincerely, LS', 'modified': '2022-12-23T14:57:00Z'}",Iphone 11. And its getting hang and stuck while operating. Its not smooth as it was earlier. I have to install and uninstall twice a day and within few hours its again started stuck while operating. I am using a 100mbps speed so no internet issue. Well tested this is with app only request you to fix this. Giving you 5 star as always my best app for trading but fix this because its now annoying and reducing the quality of my trading experience.,5,False,Hang problem,Pnkjj
2021-10-25 20:03:06,,"I love Binance no offense. But this last update has some serious bugs to be fixed ASAP. Can’t zoom into the commodity charts properly, false volume indicators on different time zones. Needs to be refreshed every time to be sure, can’t make full screen for charts in landscape mode. Freezes more often, slow loading a lot more be make the full list. Please fix this as soon as possible. Problems persists on iPhone, iPad, iMac(can’t reload 2 particular stock prices simultaneously; have to reload every single time to get the data). Last but not the least, still doesn’t support full screen mode on iPad. 

Those are seriously unacceptable and very inconvenient considering issues based on how many millions users uses this every day. Every single trading decision is made from this interface should be immaculate and spontaneous. Time is a absolute crucial parameter for trading and we hope that Binance developer and debugging team should look into this issues and solve them on a first priority basis. Cheers 🥂",4,False,Recent update needs a hell lot of bugging,Joe Denria
2021-12-06 02:49:15,,Blood Sweat Earnings Looted .   I was looking for some side income from trading crypto so I created a verified account on binance trading platform have trade for few time and increases my asset to sum extent suddenly one day anonymous p2p trader Appeal one of my transaction under Binance policy Suspended account for fraudulent activity and without understanding the situation Binance suspended my account freezing all my money and crypto asset. I am still not able to withdraw my money of crypto by anyway all my asset are looted by Binance exchange. Tried multiple times to withdraw / transfer/ convert / Purchase nothing work to withdraw amount. Its exchange monopoly they will not listen to you in anyway ever after 90 days of the transaction. Hence want to alert other user because its your savings and Blood Sweat Earnings..,1,False,Account Suspended Permanently by Binance Need Government regulation,Mr Rohit Sarraf
2023-05-04 08:50:29,"{'id': 36358589, 'body': 'Hi Asifiwe👋👋. Thanks for sharing your feedback with us. We love to hear from you! We are always looking forward to our community’s feedback to improve our app. Please note that you can always give us feedback or a suggestion via binance.com/en/my/user-support/feedback/entry. Also, if you need any support, please contact us at binance.com/en/chat. ET 💛', 'modified': '2023-05-06T02:09:12Z'}","I have been using binance for a while and i find it so exciting, What an exchange with a lot of features in it. My favorite feature is Binance Pay great idea. 

But i have one suggestion, whenever I use binance pay I need to screenshot the receipt in order to share to the person i have sent crypto to. So my suggestion is if possible you could be producing a shareable receipt so that we will not have to screenshot and stuff. 

Everything else 5 star 🤓",5,False,Shareable Receipt,asifiwe.t
2020-09-14 08:00:02,,"Binance is one of the best, if not the best exchange, to trade crypto. The app is just brilliant and easy to use whether you’re a pro or a beginner. However, there is one DANGEROUS flaw in Binance that can make you lose money big time. The exchange goes down very frequently whenever there is a big move in the markets. The server goes down and we are not able to trade or close orders if things are not going in our favour and we can face a huge loss. If you are a serious trader who trades futures then this can be a big problem. Otherwise the app is great for normal buy and selling of crypto with lot of coins.",4,False,Good app but one DANGEROUS flaw,UnbiasedAppReviewer
2023-10-15 18:20:55,"{'id': 39570251, 'body': ""Hi there, we'd like to assist you with your withdrawal issue as quickly as possible. Therefore, could you kindly share your case ID by editing your review if you previously contacted our chat support. | TS"", 'modified': '2023-10-17T15:28:12Z'}","I am writing this post here to know if anyone has had such an experience, now I am unable to trade or withdraw dollars in my bainance account, when I contacted finance's customer line, they said to mail Madhya Pradesh Police, I have been mailing Madhya Pradesh Police for about a month. I am mailing on the mail id given by bainance customer care and I am not getting any reply and my dollars are not being withdrawn and I am not able to trade in the account. Has anyone had this experience? Bainance customer care is not giving me any accurate information they say to contact escalation after sending a mail no reply for 5 or 6 days my trading is blocked or my dollar is blocked I had good quality dollar",1,False,My withdrawel issu,Ayyoob pp
2023-06-22 13:44:07,"{'id': 37313860, 'body': ""Hi Laotszu, we truly appreciate you for taking the time to review us. We wish to expand all our features available worldwide. Currently, you can use WazirX or Simplex fiat channels to buy crypto with INR. At the same time, you can also use Peer-to-Peer(P2P) to buy and sell crypto. If you need any support, let's contact us at binance.com/en/chat. ET💛"", 'modified': '2023-06-25T14:07:04Z'}",Hi! Binance is of the reliable platform in present world I can say that on the basis of my experience of being associated with Binance from past couple of years . Small request I would like to make being from INDIA I am still not able to make Fiat deposits . Being an active trader if you can help me with that toh it will be easy for me as Binance would be my one platform for all the transactions. Thanking you in advance .,5,False,INR DEPOSIT,laotszu
2021-06-18 19:42:54,,"It’s a nice platform with very low transaction fees. But there’s something else i want to suggest Binance that it will be really nice if there can be a proper P2P chat buttons. Since this will make users friendly for newbies. I also face problems for this too, when a move out from the P2P chat I don’t know how to enter into chat again until notifications come from the binance. This makes P2P transaction slow process. I hope You guys understand me. 
And for this I’m giving only 4star.",4,False,Nice platform,Who the hell got my name
2022-12-21 04:01:31,"{'id': 33873375, 'body': 'Hello! Thank you for contacting us here. We would like to take a closer look at that issue. Kindly contact us in our live chat support via this link https://www.binance.com/en/chat Don\'t forget to scroll down and click on ""Unsolved"" after bot\'s reply so that the agent can be assigned to you in the chat. Thank you. AL\n\n', 'modified': '2022-12-22T08:49:40Z'}","I want to share this incident with everybody 

A person lure me good money making scheme in bitcoin mining and told me to download this binance app. I downloaded and completed verification with my govt id etc. even this app tooks face scan also. 

Then the person told me to exit from the pro mode and tap on buy bitcoin. At the time of payment too option were coming. 

1 UPI
2. IMPS

When i click UPI, it was instructed to keep this app open and one UPI address was shown on which i have to do payment tbrough my payment app. 

Once done i have to click on transferred money. The strange thing is i though i will not do now then notification start coming that if u have not completed payment then u will be debarred etc etc..

I got suspicious and immediately contact my friend who referred this person via instagram

Thank god, the person informed that his account are hacked and he has noting to do with it. 

But i want to report this so that no one face the issue of losing their hard earned money",1,False,Hacker fraud,Abhijit123_4
2021-05-13 11:55:41,,"I installed this application 4 days ago and went through the verification process, a process which should normally take 2-3 minutes or maximum a day they are requesting me to wait for ten long days lol. 
Also what if after 10 days there is some discrepancy in the data then you would require another ten days to verify that too...you need to hire more workforce if the queue is large don’t give us such lame excuses...

And we can transact crypto using INR due to which our fiat money already gets reduced to a lower amount... India could be one of the biggest business for you and you are giving us such services.",1,False,Verification process and you can buy crypto in INR,am@n y@dav
