date,developerResponse,review,rating,isEdited,title,userName
2021-11-04 20:37:17,"{'id': 26716699, 'body': ""Hi Vish996, we're sorry to hear about your issue with Coinbase Earn. We'd like to help you further, please contact us here: https://help.coinbase.com/en/contact-us \n\nYou may also check out this article for more information: https://help.coinbase.com/en/coinbase/getting-started/getting-started-with-coinbase/coinbase-earn-faq-and-terms"", 'modified': '2021-12-08T14:50:23Z'}",The app is really nice but haven’t heard back from customer support at all have emailed you guys twice and still no response to why I’m on the waitlist to earn free coins through learning. Please get back asap,4,False,Still on waitlist for Coinbase earn over two months now,vish996
2021-03-27 08:46:56,,"This app is okay but they do not have any customer support.. any technical issue or account recovery is a big headache.. I have been trying to get their help from last 3 weeks and no one answers or responds.. even their tweeter account is slow in response...

I would recommend to use better application to invest your money... very risky app I would not recommend any one...

Also they usually keep your account disabled and you won’t be having access to your money. Many on Twitter follow up but most of them have not got any respond and they lost all their hard earned money.  Stay away from Coinbase",1,False,Worst customer support,JSBidar
2021-06-23 10:47:34,,"Coinbase allure users with an attractive referral program and even after meeting all the terms and condition they never credited my account with the referral amount, when raised a ticket their customer care dept said their referral program is fully automated and cannot confirm why the referral fee was not credited. Isn’t their own engineering team that created this automation, can’t they look at the event log and clarify the issue. It’s like they never bothered about customer experience, pathetic for a $100b company.",1,False,Their referral program is a scam,UR.20
2021-11-20 03:54:26,,I have been trying to set up an account with Coinbase India. The app seems to be completely glitchy and doesn’t allow me to set up a payment method. The screen just goes blank. Have tried reinstalling the app but to no avail. There is no avenue to raise a complaint or email customer support. Just a bot service that allows you to pick predetermined options which doesn’t include this problem. So very frustrating and an utter disappointment.,1,False,Non existent customer support. Avoid this app.,Saritablr
2021-05-13 10:23:53,,"App looks good and showing solid features but they aren’t useful if oke can’t get onboard. App’s process to verify photo ID is buggy, uploaded multiple photos from the app/desktop but not able to get approval, within a min they send mail and mention they are not able to verify. Support is dud, app should be removed from the countries where they can’t provide services.",2,False,Couldn’t verify ID,Shrejas
2021-08-22 13:24:05,,"In addition to the fees ranging from 1.5-10%, they charge you about 0.5-1% above the market price. I tried earning crypto but I’ve been waitlisted for weeks. Security and consumer-friendly design is the only reason to use Coinbase.",4,False,High fees and overcharging,Aryan 600
2021-05-22 17:20:29,,The rewards section kept on asking to reverify identity. Even after getting 3 emails your account is verified the problem remains the same,4,False,Repeated verification,Anurag singh Chaudhary
2022-04-13 13:02:22,"{'id': 29198256, 'body': ""Hi Kanavvvvv, we understand how frustrating having issues with buying on our app. We'd like to work on this with you. Please contact us via this link: https://help.coinbase.com/en/contact-us"", 'modified': '2022-04-15T19:01:47Z'}","I opened an account right now but am unable to buy anything. The bank account added is displayed on the settings page but isn't available when I'm trying to purchase an asset.

Need help.",3,False,Unable to buy crypto,kanavvvvv
2022-02-03 13:21:12,"{'id': 28315580, 'body': 'Hi Nith06, we know how frustrating this must be and this isn’t the experience we want you to have. Could you share your case number with us by updating your review so we can look into this for you?\n\nFor more information on Coinbase Referral Program, please visit our FAQ page: https://help.coinbase.com/en/coinbase/other-topics/other/the-coinbase-referral-program', 'modified': '2022-03-01T13:32:35Z'}","I used a person’s referral then traded $200+ till now yet didn’t receive any bonus and the people I referred also didn’t receive,customer support said its automated and cant help me ,why is this program there if even the management don’t have control over it ,i have proof of trading and the referral was used successfully yet didn’t receive it",1,False,Referral bonus,nith06
2022-11-17 14:46:57,"{'id': 33244735, 'body': ""Hi there, we're sorry to hear that you're having trouble logging into your account through the app. While troubleshooting this issue, we recommend that you first try to uninstall and reinstall the app.\n\nFor more troubleshooting tips and tricks, visit: https://help.coinbase.com/en/coinbase/other-topics/troubleshooting-and-tips/app-troubleshooting\n\nIf that doesn't fix the issue, kindly contact our support team, so we can look into this for you: https://help.coinbase.com/en/community-support "", 'modified': '2022-11-18T20:48:56Z'}","After successfully signed up and logged in once. But after 2-3 hours, I tried to sign in with same credentials and successfully logged in but I am not able to go into app. I am stuck at first screen.

Using iPhone SE(2nd Gen), ios 16.0.2",3,False,Sign in not working,manishp88
