date,review,rating,isEdited,userName,title
2023-09-28 09:42:40,"I’ve been using the KuCoin app for a while now, and I’m thoroughly impressed with its user-friendly interface and robust features. The app provides a seamless experience for trading cryptocurrencies, offering a wide range of coins and tokens to choose from. I appreciate the security measures in place, such as two-factor authentication, which gives me peace of mind when managing my assets. The KuCoin app’s real-time market data and customizable alerts are incredibly useful for staying on top of the crypto market. Overall, I highly recommend the KuCoin app to both beginners and experienced traders – it’s a powerful tool for anyone looking to dive into the world of cryptocurrencies.”

Feel free to use this review as you see fit!",5,False,IMLIP,Impressive Crypto Trading Experience with KuCoin App
2022-10-01 12:20:25,"Okay there is Binance and then there is KuCoin..two best platforms so far I’ve been well acquainted with and while Binance has a very easy to use trade chart KuCoin is also up there and the best of it is cheaper gas fees and awesome margins trade offers…I’ve made $500+ first time margin trading and I’m only getting started 🤑🤑. If KuCoin’s trading charts (lags a bit) can match Binance, user friendly rating would be insane…just saying 😎 either way I’m very happy with the app and excited to keep exploring all the features.",5,False,Smoothcocobango,By Far Best Crypto Trading App
2022-01-19 19:09:15,"Absolutely thoroughly disappointed with this app. I recently put £30 into my account with KuCoin in order to currency trade to find that it would let me take that original £30 back out of the app. I wanted to take it back out since I didn’t want to trade using KuCoin after reading the reviews and my mates telling me how terrible it is. This app also read your banking information and use it. I can’t even take the £30 out without putting more in so I put £30 more in and I still cannot take it out of the account. This needs to be resolved before I escalate the issue higher. Refund me please or help me resolve this issue. I’ve tried to withdraw it using the withdraw button and it doesn’t work at all because I haven’t traded anything but I don’t want to because I now use Coinbase.

Please please avoid this app at all costs, KuCoin you need to resolve my issue urgently as I’ve been reporting this for along period of time",1,False,rugby man 03,Terrible
2022-09-23 23:14:33,"Customer service is very bad and lies to me about rewards that I never received. 
Advertise promotion to new users for 100% fixed deposit after 7 days and I did not get anything and when reported, they said it is in my margin but when check again still nothing. 
System of customer service is very poor and once you leave the chat , you lose everything and have to restart again and explain the same thing over and over again and in the end, I can’t be bothered wasting time like this. 
I withdraw my money and the fee is very high compared to other wallets and crypto apps. Not recommend as there are better out there with better service and cheaper fees and reliable customer service.",1,False,AcbarG,Misleading and high fees
2022-09-29 11:25:21,I’ve used many exchanges and was apprehensive to try this but had absolutely no issues what so ever transferring to and from the exchange. Great incentives and giveaways too and also really great trading bots built into the app. Give it a try it will probably end up being my No1 exchange due to the huge variety of coins and best selection of new coins to going ICO.,5,False,xx6lagger,Don’t believe the 1 stars
2023-02-13 18:41:14,Amazing app.. not going to lie lost a lot of money leverage trading. There should be a block you can put on leverage as very addictive. Amazing app functions better and faster than all over apps.. apart from saitapro of course #saitama,5,False,hayxydgrjeieh,Amazing app
2021-11-18 07:58:13,"I am uninstalling this app having used it for pretty much a year now. I have always found the exchange to work well, but for almost the whole period Kucoin has been copying my clipboard every time I open the app. This morning it had some rather sensitive information on my clipboard, so I am having to reset security on a host of other accounts now. This is an issue that they have been aware of for almost a year and have chosen not to fix – contrary to one of the other prominent reviews, the update I installed today did NOT fix the issue. Closing my account now.",1,False,MLBarnes,Security concerns
2021-03-20 13:35:51,"Bunch of scammers, they withhold payment when it benefits them, delaying sending fees for as long as possible. no customer support, online chat doesn’t work, three times spent more than 2 hours waiting to be next in line, twice the chat just ended and once got put through to a guy who could give no details of when I’m likely to receive my crypto although they take payment straight away. Sending service ticket doesn’t work, never received a response. They pretend that it’s another company that’s responsible for the delay and they need to confirm the transaction has gone through",1,False,albiooooooooo,Don’t trust
2022-05-08 08:45:17,"Used Kucoin since 2018, never had issues with withdrawal even so clearly a user error with that review. Will say when on low tf chart view it seems to zoom on 2 bars enlarging them to cover the whole chart. Also it lags on display price to the book book price, stop adding to it and make it work correctly and quickly would improve usability.",3,False,Jrnc99,Few slight bugs to correct but no major problems.
2023-06-11 15:09:07,"The app was working fine for me for several days. I was able to deposit £ fiat. All of a sudden all of last week it just says “deposit failed”. It is being approved by my bank so the fault is with Kukoin. I spoke to their support team who were absolutely useless. They just told me to use a different deposit method, one that takes 1-3 days. Awful service! I asked them to raise it as a complaint and they also refused to do that. AVOID using them at all costs. Kraken offer a much better service.",1,False,Jay251717,AWFUL APP - AVOID if in the UK
2022-10-28 12:48:55,Mobile app seems to have lost the capacity to store favourite coin’s so every time I store my favourite the app seems to clear that list within minutes or less. Not sure if this is a bug or user error.,4,False,ibhomesoon,"Favourite list not saving, following updates"
2022-05-25 04:38:30,"After the update,  on the “trade” screen and crypto pair where you select the pair has moved (you now need to click right in the left corner to change the pair. This is really frustrating, please revert to the old behavior where clicking on the currency pair opens the selection.",3,False,Brumik,New update has broken spot trade iPhone 8 Plus
2022-09-09 16:48:31,Keeps locking me out my account and requesting for me to change my number. Then proceeds to make me do a face recognition procedure with the worst designed AI on the planet. Holds my money in sub accounts mid transaction then never returns it. Then flaunts how much they’ve stolen from me in my face. Use binance. All other reviews saying this app is good is a lie. Just check the account names and tell me im wrong.,1,False,AyazZaman,"Horrible design. Faux security, useless features designed to make using it a pain."
2022-10-25 09:58:11,"Great app for Crypto trading but you cannot pay back Fiat to your bank which is a shame, so you would need to send your coins to another crypto exchange then withdraw. If this was available this app would be a 5 star.

Sub accounts; you cannot check into your sub accounts with enough depth like you can on the laptop which isnt too helpful.",2,False,Cbay1414,No Fiat to Bank + sub accounts
2022-01-14 16:47:23,"Thought the new update was terrible, couldn’t find the order book but then accidentally stumbled on a button that took me back to the app i know and love.",4,False,cannonball2134,Spent half an hour lost in a new section of the app
2021-12-06 17:12:54,"I love using KuCoin and I was using it successfully on my iPad mini 5 on iOS 15.1.
However now after upgrading to an iPad Pro 11 on iOS 15.1 I am no longer able to open the bots section, I just get a loading icon.
Please can this be fixed once this is done I will gladly improve my rating of the app, many thanks",2,False,Hog100,"App was great, now bots not showing on iPad Pro 11 on iOS 15.1"
2021-11-05 16:40:11,"It’s a chinese run company so use that information to your own benefit. They are absolutely useless, no customer support and their “live chat” is just another bot with automated responses. There’s literally spelling errors in their chat system. They’ve been holding my money for 3 days now because I had to verify my identity with the credit card I’m using. 3 days? Are you serious. Im never using this trader again",1,False,iliketradingmomey123,Don’t download
2022-02-09 01:36:30,"Please do not use This app as
It’s not worth it. I have joined them was having a rewards promotion but never got one even after full filling all the criteria so please don’t fall to the prey as other apps the give u the rewards straight.
The worst part is no customer service team, the faq n online support is worthless no one gets back to you.
So please do not try using thier platform use others ur decision will worth it",1,False,Ressy@,Ress
2021-04-11 07:26:31,"Downloaded today (Sun 11th April), first impressions are very buggy/glitchy, often buttons tapped don’t seem to respond. More importantly are the numerous reports of difficulties with withdrawals. Somehow I get the feeling many of those reviews on Trustpilot and on here are genuine. I don’t trust this firm yet. Will wait for a while to see if customers are reasonably happy. I only wanted one coin not available elsewhere yet. I’ll happily forget it for now. App deleted.",1,False,NGrosvenor,Glad I read reviews here & elsewhere
2022-10-04 06:20:53,"SUPPORT THE LUNC COMMUNITY OR WE WILL NOT SUPPORT YOU,
The crash of lunc was a catastrophic disaster within the crypto space, many people lost their life savings, I personally read countless tweets from people who where suicidal over the doom they had just encountered, it ruined real lives of people who are not rich enough to simply bounce back, this community both needs and deserves the support of the big cex's STEP UP like Binance have and support this movement!! Stop ignoring us",1,False,Scarlet Marie,GREEDY EXCHANGE
2022-12-21 03:33:08,"Most of the bad reviews on here are from noobs who don’t understand crypto. 

First of all my advice to those noobs struggling to take money out of this exchange:
1. Convert into a crypto coin. 
2. Send to coinbase
3. Sell on coinbase using advanced trading. 

This exchange is absolutely amazing and very easy to use lots o features that make it similar to binance but the UI is so much nicer than the rest of the exchanges so would 100% recommend this exchange for beginners.",5,False,Carter0118,Amazing Exchange!
2021-12-06 10:26:09,"I tried to get my money out to another wallet because the service was so poor. They screwed up the transfer, lost the money and then tried to charge me $100 to retrieve it. 

I move crypto around a lot and know what I’m doing but couldn’t believe how they managed to lose all my money and then do nothing about it. 

Their customer service is all through email and it takes them weeks (no exaggeration) to reply to your messages. This means that if you have an issue it will take months to solve, if at all. 

I’m resigned to the fact that I’m not getting my money back after months of trying. 

Stay well away from this circus!",1,False,Mixxa1,Stay Well Away
