timestamp,reviews,rating,isEdited,title,userName,developerResponse
2021-06-19,"Nevertheless, thanks for your hard work, but with the latest interface update the futures window has changed. I'm talking about pnl, percentage, tp and sl windows. At now, they are not userfriendly. 
And every time from last update when I running app, the message was showing:
“Binance: Inserted from... safari/translater/application/itunes” (any ctrl+c text from my clipboard) 
??? what you want to know ???
Please roll back futures window and stop to gather confidential user information you don’t need",5,False,Futures interface and other,plen-chechentsev,
2023-02-10,"I curse the day I downloaded and started collaborating with them.  When the money was sent to my wallet, everything was fine, but a month later there was an embarrassment.  I went to my account and I received a notification that I was blocked.  I thought it was a mistake and decided to write to the support site.  they really couldn’t explain my problem to me and wrote some kind of scripts and didn’t really explain what was the matter a week later I wrote again and they said that I needed to wait for the end of the investigation (what?) Then they sent me a number and mail, I wrote to mail  they didn't answer.  I decided to call - a man who speaks Spanish answered!  and when I started to communicate in English, he simply did not understand me and hung up.  As a result, later they sent me a message to my mail that they were stopping cooperation with me, and I was delighted !but i cant  logged into my account and cant took my money!  they didn't let me log in!  where is the logic?  just scammers who stole my money and acted like idiots.  don't contact them

P.s: i have all the screenshots and  the case number and ""investigation""",1,False,scammers,zhaktamanovozhe,"{'id': 34819043, 'body': ""Hello there, your opinion is very important to us and we appreciate your review. Kindly note that Binance.com only provides support via our official chat at Binance.com/en/chat, having this way no other channel to be contacted. If you already contacted us, could you please share your case id? We'd love to review the matter further with you. RA"", 'modified': '2023-02-12T18:53:02Z'}"
2021-05-20,I tried to make a payment from bank card and received an error. But money was charged from my card and I did not received it in my wallet at binance. Support did not answered me. It is serious issue for me so I will go to bank and start charge back procedure.,5,False,Lost money during payment transaction,deymaz_hd,
2022-07-01,"As a terminal and exchange, binance is all good, so thanks to the team and their professional work! I hadn't any problems yet, except one - as Ukrainian refugee, I applied for special binance refugee card, all process passed in May and I received physical card long ago, but didn't have any help, that's about 75BUSD per month 3 times, not much, but of the essence when you are refugee. Also I didnt hear from any real Ukrainian refugee, that anyone got this announced help. None. I don't know who really controls this program but marketing of it is great.",4,False,"Profi exchange, but marketing",Mayulkaa,
2021-03-12,"The support system is awful. I was trying to buy some coins, but didn’t get them. The money was taken from my card, but I didn’t receive my purchased coins. Even more, there is no any track of my operation in Binance application, only receipt from my bank that money were gone.
I created support request but don’t see any track of it is being processed.
It is not a big money, luckily I ventured to spend the minimum allowed by Binance, but be aware.
It bothers me, because there is no any track of my activity in the application... so how should I prove my operation and track progress on it. And why they don’t support transactions during such operations. I believe if you work with money, you should do it... but that’s how this service work.",1,False,Awful support,vodmrchl,
2022-01-02,"Uploaded documents, stuck at verification by camera. Tried without glasses, tried with them, again without etc. Without any luck. What support did? From first request: ""You have to wait"", from second request (after 2 weeks): ""Please upload selfie without glasses"" and they mark the whole process with ""Failed - User request"". I didn't request that, useless supporter. Now I need to upload all documents, photos one more time and again WAIT 2 WEEKS. Perfect.",4,False,Stupid support + account verification process.,MikeSoftZP,
2023-05-23,"I have been working with this exchange since 2017 and today it just blocked my account. Citing that I got dirty 300 USDT, but I checked them they are clean! I've been trying to get my account open for two days now and I could withdraw 13k of my personal money! But Binance is holding it and not giving it to me! And says to wait 1-2 weeks! This is crazy, why? Why? I do not understand anything! This is pure scam! Read carefully, it happens to everyone! If you think that your account they do not block, you're wrong! Run away from there!",1,False,Binance blocks accounts,aleksandrdensot,"{'id': 36714860, 'body': 'HI, Aleksandrde! We‘d like to check this closely. Kindly reach out to us at our Live Chat Support and one of our specialists will investigate what happened and instruct you accordingly. Contact us via Binance.com/en/chat - FP', 'modified': '2023-05-24T20:20:37Z'}"
2022-04-18,"In the last update you’ve added animated balance update. It annoys cuz I have rather large amount , so animation takes too long to display my amount. Can you please remove this animation or add an option to disable it ?",5,False,"Good app, but one annoying thing",zahaton01,
2023-05-20,"After last update have a problem with payment method in P2P. You need to delete app and download it again, when you want to add new card when you making an order.",5,False,Payment method,Benjifran,"{'id': 36673229, 'body': ""Hi Benjifran, we are here to support you! If you encounter any app operational issues, kindly try to switch to a different network (Wifi/4G) and reboot your device and try again. Secondly, try to clear the APP cache (APP - Account - Clean Cache). If the situation persists, let's talk to us at binance.com/en/chat for more support. ET💛"", 'modified': '2023-05-23T05:01:44Z'}"
2021-05-10,It shows me risk account detected you can not meet internal policy of binance so now i am not able to buy or sell from few days  thats the problem anyway this app is very good.,5,False,I have problem in my account .,dugules,
2023-08-26,"Disrespectful, scam platform. The attitude to the users is disgusting. The support works like a robot a very cheap one, like: everything is gonna be fine and it’s almost never fine actually. They suddenly change the policy without any warning in two weeks or even better in two months. It’s always a disgusting surprise and a lottery you always lose. That platform is extremely disrespectful to his users. Never gonna use it again.",1,False,Attitude,Владислав 0123,"{'id': 38549942, 'body': 'Hi there. We are sorry to hear that. Would you give us more details about your inquiry and share your Case ID? So, we can check your case and see how we can help. Also, you can submit your feedback about this situation with us at https://www.binance.com/en/my/user-support/feedback/entry. We can improve ourselves in the light of your feedback. Thank you. ^WI', 'modified': '2023-08-27T14:48:42Z'}"
2022-06-16,"Today I updated the application, and now when you collapse the application constantly crashes back to the main page! And you have to go back to the menu you were in every time, Fix it faster",4,False,Mistake,gucfbbhkv,"{'id': 35270377, 'body': ""Hi! let us know if your concern has been solved! And if it did, don't hesitate to change your rating! Also, if you have further inquests, remember that we are always ready to help, and only a chat away: 👉 http://binance.com/en/chat *RL"", 'modified': '2023-03-08T10:24:00Z'}"
2021-08-23,"Since latest update (2.34.1) started to face frequent crashes each time network is changed (wifi->lte or any other way). IOS 14.7.1 iphone 12 pro. Very annoying. Also didn’t find a way to report a bug, chat support is giving pointless solutions like reinstall the app which doesn’t help - it’s clearly a bug when websocket connection is lost.

But otherwise, you guys are awesome, love your work. Please fix the bug.",1,False,App crashes,berg33333,
2022-07-31,Trading information is no longer available in a fast and informative way. Please roll back his update,5,False,Last UI update,mahabharahta,"{'id': 37234754, 'body': 'Binance is all ears to all user\'s opinions, we want you to have the best experience on our app. You can formalize your feedback on our ""Binance Feedback"" page using your browser. We are here to help 👍 You can always contact our support team by clicking the ""🎧"" icon in your app or share us your CASE ID. LS', 'modified': '2023-06-20T17:03:23Z'}"
2023-06-18,"I'm used to using binance on my phone and it's really convenient, but lately the phone screen hasn't been enough and I decided to try an iPad and was annoyed that the application does not support it",4,False,"Amazing app, but is here any chance that it will support iPad?",Klukvasss,"{'id': 37224870, 'body': ""Hi Klukvasss, we love hearing how we can improve our products. Currently, the iPad version hasn't been released yet. We recommend you use the web version: binance.com/en to log in via your browser while you're on your iPad for a better user experience. Also, we would appreciate it if you could also drop your feedback here: binance.com/en/my/user-support/feedback/entry. Creating a user-friendly environment is always our first priority in Binance and we are always looking forward to our community’s feedback. At the same time, you can always contact us at binance.com/en/chat if you need any support from us. ET 💛"", 'modified': '2023-06-20T09:05:04Z'}"
2023-05-11,"I like Binance for first of all, very convenient interface. Was easy to figure out which buttons i should push))",5,False,Convenient interface,taiko12323,
2020-12-09,Please make an option to turn off vibro for bottom menu as well as option to disable the animations there. Its awful !!!,5,False,Vibro is awful :(,Denys N,
2022-09-05,"These guys spend my time, because I did not pass verification several times, although I attached original documents and took pictures on my new iPhone, then they approved it, and a week later again asked to pass verification! Seriously????
You have wasted my time and the support on the site was unprofessional, I do not recommend it to anyone",1,False,crazy verification algorithm,Makasiku,"{'id': 33751624, 'body': ""Hello, thank you for your review. Your experience and opinion are very important to us, and we'd like to understand better what happened so we can solve it together. Please know that, for your account security, we may ask users to re-verify from time to time. Please contact our support team via chat here: binance.com/en/chat if you have any doubts. -RA"", 'modified': '2022-12-15T23:56:47Z'}"
2022-04-07,"After a long time of use , and the receipt of money to the account .You need to pass identity verification.",5,False,Identity verification after half a year of use !!!,Fomenko Oleksii,
2021-09-22,"Please add more indicators to the mobile app.  at least VWAP and AVL.  As well as the ability to watch charts for 15 minutes, 5 minutes, times of segments for the entire trading period",5,False,Indicator & timeframe,zaebali1989,
2021-03-14,"I writted to support, but nothing. They just have letter template, they can’t help me. This program got my money, and I didn’t get anything.",5,False,"Horrible support + they got my money, but i didn’t got crypto",viktorrrrtsbsnjsjsjs,
2021-07-20,"The last update is without VOLUMES which are very important!!!!
At the same time interface of features is terrible. Get back to previous version!",4,False,Last update,Cold user,
2021-11-08,"Hello! I am writing you to tell about some issue that I have detected with Face ID. When app is closed by swiping on the Global Nav menu, Face ID is called. It was tested on the IPhone 11 with iOS 15",5,False,Issue with Face ID,bohdanivchenko,
2021-10-10,"Application is good, but verification center is total mess. It lags, it doesn’t work at all. I’ve been trying to pass verification for literally a week, every day, but I still encounter Ana problem, it just does not respond.",3,False,UI not user friendly,yhrsrkn,"{'id': 38661122, 'body': 'Good day. If the issue is still relevant, please check whether a similar error occurs during verification from another device. Uninstall the mobile application, reinstall it, and then follow the instructions provided here: https://www.binance.com/en/support/faq/360027287111 We are always happy to assist you in our chat: http://binance.com/en/chat ^LK', 'modified': '2023-09-01T10:26:16Z'}"
2021-04-28,please add so that you receive a notification on the phone that the order has been executed,5,False,Please🙏🏻,Xipsster,
2022-06-29,"I trust binance money more than my own mother.  The best application, How easy it is, simple.",5,False,Completely change my life 🤝,жимбрю,
2023-07-07,Warning!! this exchange became unsafe to use like some other exchanges they block your account for 400$ you receive from a friend and they give us the chat between you and the sender I gave all of that and still no response I can’t trust them anymore some people might get damaged by blocking their account how they will pay for goods,1,False,No trust,mannie47u,"{'id': 37554692, 'body': 'Hi there!\nPlease share with us the case ID of the conversation with customer support. And we will contact the relevant team to provide the investigation update!\n-SA', 'modified': '2023-07-09T00:22:00Z'}"
2021-11-10,"As a new user I wanted to try out this app with a small purchase of some crypto. Once I purchased it with my credit card money withdrawn from my bank account but no crypto in binance wallet. Support said transaction was failed and money should be refunded in few days. 
Unfortunately it never happened so my money is lost. Bank account confirmed that transaction completed and money successfully sent to binance. 

At the same time UI/UX of the app itself is terrible. I couldn’t find the history of transaction, it available on web desktop app. 

Do not recommend this app!",1,False,Money not refunded,dGolotsvan,
2021-05-02,"I wanted to buy crypto, registered, uploaded documents, did selfie.. shared all the personal data required. But couldn’t buy anything because face verification didn’t work. I followed all the instructions- no hat, lightening etc, it just doesn’t work. I tried million times, sent them a ticket, but they never replied",1,False,Face verification doesn’t work,Nick Oseku,
2022-06-15,"After one year of use, I received a message that my account was deactivated.

I did not violate any policies and the reason for blocking the account is not clear.

4 hours of correspondence with the support service did not change anything.  Constantly respond with template messages…",1,False,Binance banned account without any reason,uarichs,"{'id': 35206601, 'body': ""Hey there! We'd love to take a look at your case to see how we can help. Please provide us your case ID so we can check on it. If you do not have a case ID, please connect with our support team via live chat www.binance.com/en/chat. To reach out our live chat agent, - Choose the closest topic\n- Select: “Unsolved” \n- Select “not relevant” at the bottom of prompt chat\n- Select “yes, transfer to customer service” \nIf you have done it already, please, share your CASE ID with us! Thanks -AT\n"", 'modified': '2023-03-05T08:45:45Z'}"
