timestamp,reviews,score
2018-05-17 18:32:29,bad,4
2020-01-26 23:09:12,uauh terrible,3
2023-08-24 08:53:05,"terrible UI, deleted",1
2020-01-23 12:31:11,neutral,3
2019-11-14 10:08:21,perfect to buy and sell easily,4
2021-05-13 18:54:55,GREAT APP,5
2021-04-24 06:55:23,wish it had a easier way to load with money,2
2017-06-29 15:23:19,perfection,4
2018-09-17 21:09:46,3 out of 5 i guess,4
2022-10-17 13:33:05,hard to tell sometimes good sometimes badnot good not bad.. does the job,1
2020-11-09 05:53:17,bad app,5
2023-01-15 21:26:24,wish it had a easier way to load with money,4
2019-08-06 14:31:47,hard to tell sometimes good sometimes badnot good not bad.. does the job,4
2023-11-14 13:58:11,neutral,2
2021-03-26 01:44:18,good,4
2018-12-09 11:55:32,3 out of 5 i guess,4
2018-12-09 23:24:26,very good,2
2021-01-15 17:26:45,"i dont hate it, but i dont love it either..",2
2018-10-25 03:48:33,"terrible UI, deleted",4
2019-11-26 08:09:00,2 out of 5dont even install,4
2017-09-17 11:18:21,3 out of 5 i guess,5
2017-06-24 15:13:17,GREAT APP,4
2023-10-13 21:40:35,GREAT APP,5
2022-03-26 23:13:49,mediocre,4
2017-11-20 06:41:56,good,3
2021-01-02 16:58:07,very bad,3
2017-05-04 12:05:38,omg fantastic,2
2019-09-27 19:12:50,soooo good,2
2019-12-05 05:51:11,GREAT APP,2
2017-08-28 12:36:21,"terrible , so slowcant believe how bad it is",2
2022-07-21 23:11:51,neutral,5
2020-12-20 19:50:26,"cant be that bad, but its not perfectnever again using",1
2022-05-15 04:10:48,2 out of 5dont even install,4
2021-05-02 01:59:29,excellent,5
2017-01-10 16:17:52,omg fantastic,5
2022-08-19 17:48:04,"cant be that bad, but its not perfectnever again using",3
2023-11-17 00:28:40,"terrible , so slowcant believe how bad it is",5
2019-10-27 07:29:13,"i dont hate it, but i dont love it either..",3
2019-02-15 21:30:43,"cant be that bad, but its not perfectnever again using",1
2018-02-20 08:03:18,excellent,5
2023-09-16 20:40:08,2 out of 5dont even install,2
2019-12-25 19:46:59,good,2
2021-06-27 11:48:37,"cant be that bad, but its not perfectnever again using",1
2020-06-29 23:06:10,wow so good,4
2021-12-25 03:03:04,uauh terrible,2
2022-02-19 01:53:18,wish it had a easier way to load with money,3
2021-03-10 18:48:53,good,1
2018-08-02 01:28:03,3 out of 5 i guess,3
2021-02-16 08:06:40,good,4
2017-04-25 22:24:00,bad app,4
2018-04-22 15:21:08,trash app,4
2018-12-20 12:32:48,bad,4
2018-03-10 14:19:03,bad app,4
2017-03-29 12:24:01,uauh terrible,4
2023-01-21 18:49:08,uauh terrible,5
2023-12-26 03:59:12,bad app,5
2017-01-02 11:17:08,mediocre,3
2020-10-03 19:48:45,perfection,2
2019-06-12 11:54:46,excellent,2
2018-06-09 12:03:12,good,1
2018-01-19 06:15:10,GREAT APP,2
2022-09-21 17:13:38,trash app,4
2020-03-25 19:29:20,mediocre,1
2018-08-05 00:59:24,wow so good,2
2018-01-26 08:39:12,"cant be that bad, but its not perfectnever again using",2
2023-04-09 14:33:25,"i dont hate it, but i dont love it either..",5
2017-04-08 09:47:36,omg fantastic,2
2019-06-25 08:04:42,bad app,5
2020-12-28 21:52:25,very bad,2
2021-06-28 17:35:49,wow so good,3
2022-07-29 03:20:35,wow so good,5
2021-05-25 17:34:38,very bad,3
2020-04-24 09:29:26,3 out of 5 i guess,3
2019-03-31 13:02:23,"terrible , so slowcant believe how bad it is",4
2020-04-12 06:41:38,3 out of 5 i guess,4
2021-03-08 00:15:45,very good,5
2020-08-07 04:08:44,wish it had a easier way to load with money,3
2019-06-14 20:31:00,good,4
2019-04-24 15:45:05,trash app,5
2022-07-31 05:38:18,trash app,2
2017-08-31 00:43:38,bad app,1
2020-01-18 09:29:53,very good,3
2023-06-23 20:17:00,amazing app i recommend,3
