date,review,rating,isEdited,userName,title,developerResponse
2023-02-19 12:35:56,"Hello, 
Actually i have a query related to street number and thats what stopping me to deposit crypto. I am from India please help.",5,False,smitsanghvi,What is street number,
2023-01-07 15:50:24,"Not able to click on margin buy days.i.e, i am unable select margin borrow days from my iphone 12 mini mobile.  Kindly fix it",4,False,pradeep2135,Not able to click on margin buy days,
2021-05-03 02:54:18,"Though it mentioned app does not collect private data, it’s not true . When ever we are moving from one app to KuCoin app we get a message “KuCoin pasted from someapp”. That means this app is using clipboard option given in iPhone . Without choosing paste option , it’s collecting data from clipboard which it should not . 

Deleting the app right away .",1,False,Yoganjan,App tracks private data,
2021-05-21 05:39:48,"Lost my funds, i can’t access my account now. I have tried to contact customer support many times through phone app and email. Got only one response and asked to do my verification and then I didn’t got a support. I tried to contact many times through email but no reply. Please don’t waste your hard earned money here",1,False,jeswinjose,Not secure app,
2024-01-09 05:31:55,"Binance p2p is worest to find good deals and most  
Of the p2p clients are fake and complicated.
When compared to futures trading KuCoin coin fesilate lots option and feature",5,False,teja127,Best companies to Binance,
2021-10-19 10:56:27,"Buy and sell  report  
Some time not see  
Before update",5,False,Foodie world,Buy and sell,
2021-12-31 17:48:56,Great user interface. Can be better at staking,5,False,peru0007,Above app,
2021-05-08 19:00:42,"After update the latest version , the application open too slow",2,False,Yogesh Agghi,Too slow,
2021-04-17 19:08:42,Please fix alert notifications,3,False,Kavneet Singh,Fix Alert Notifications,
2021-10-29 10:51:35,"Application is not refreshed properly, sometimes candle chart not showing properly, app lagging during world premier",3,False,bkrishb,Too much bugs,
2022-01-30 16:33:51,App need more improvement for ipad,3,False,stalkereyeeee,Not smooth enough,
2023-09-16 10:17:43,Kucoin apps is waste....$ 100 dollars lose... deposit token not received... customer service is bad... return to my wallet transfer fees $ 80 dollars ask customer support......I use bep-20 network....why ask 80 dollars....This is my working salary money.....😭😭😭,1,False,Ananthmak,Kucoin apps is waste...,
2023-08-11 14:25:59,"i’ve withdrawl my fund in a deleted account by mistake, they don’t even show me that this account is deleted. So when i contact online support they tell we can’t trace deleted account’s funds.",1,False,Zaidu Qureshi,Worst Online Support,
2022-01-26 14:20:16,There is a screen lock on my margin trading tab i cannnot do anything on app it shows the tour option of margin trading and there is no clickable button for tour please check iphone 12 mini,1,False,madharchodh,Problem in margin trading screen,
2022-04-26 09:06:38,My rewards are pending since last months and support team is not answering correctly and forwarding same script bot messages again and again,1,False,Anarchy143,bad support team,
2021-11-14 13:32:23,The app is not working at all.. charts not loading. Coins not loading prive not loading. Lot of stability issues.. everytime its asking login.. Pls fix it asap.. its really frustrating..,1,False,n_iy_az,Stability issue,
2023-11-23 15:03:15,Welcome Reward of 20usdt is a total scam. You will get 19usdt from doing all the 4 steps and then they will ask you to accumulate more 60k usdt in volume to complete the 5th step.,2,False,Shoaib2409,Scam reward system,
2023-08-22 14:12:27,Very low level ui previous version far better also pls enable option for release if order in appeal because your cs so pathetic,1,False,AravRaw,Change in new versiob,
2021-11-11 17:11:42,"all are right but still my verification are pending. never expected by kucoin .
even other app verified me in fast way. conidcx binance wazirx gate io huobi are superfast then you in term of verification.",2,False,Jitendra Nickname,"Ghanta App , too long pending verification",
