timestamp,reviews,rating,sentiment
2020-11-25,"Hi Binance, i’ve been trading on the platform for a while now. Please, i want you guys to help me rectify my wrong deposit issue. 

I made a deposit on XRP coin to my other account but i miss a tag number while i was filling it and the transfer went successfully but i’m yet to be credited due to that wrong transfer issue. I’ve also submitted the necessary documents for that transaction to binance support team but i’m still yet to hear from them.

Please, help me rectify it.",5,1
2019-11-27,"Hi nice work guys, lovely app.. it’s been an amazing experience so far.
When my phone goes on to night mode, the widget shows real time market prices yeah?
These markets prices fonts are black and the background (due to night mode) is black as well.
I suggest the price fonts on the widget should be able to change to white according to night mode. It’s hard to see as black fonts on dark mode black ground. I hope the developers get to see my review though and work on it. Cheers",5,4
2022-01-03,"App automatically logs out or keeps me from accessing my account for days and hours, and gives an error message when it does this which is too frequent for comfort, and one can’t even reach or talk to their helpdesk or team to rectify it because I’m locked out of my own account without consent and the only people who can rectify it are inaccessible. It’s really bad same thing happened yesterday now im even scared to log in because it may do same thing again",4,1
2021-04-14,"Hi binance, I’m a newbie trying to get into crypto fully. I’ve been trying to do the necessary registration but my account haven’t been verified yet of which I uploaded the right ID card which was given to me,, it was rejected because it’s in a photocopy form, but it was actually what was issued to me by my country. I also uploaded a passport it was rejected. Please, I need  my account to be verified so as for me to start trading",5,1
2021-08-22,"This application has been difficult for most of Nigerian users cause our National ID is on Slip and not front/back card… please look in into it, to help verify with National ID slip which is the document Nigerian use for verification. Thank you as rectify this issue to enable more people use the App from Nigerian to trade on cryptocurrency. I’m also a victim of this as I don’t have driver’s license or passport but National ID Slip",5,1
2021-10-24,"The app had been working fine but recently started to have issues with it, brings an error message that says “sorry, you have no access to this service” and it really frustrates me. I’ve deleted and downloaded a newer version but it’s the same issue after some time. This needs to be fixed.",5,1
2023-08-22,"Binance and twitter are scammers they conspire with alphagpt and swindled million dollars of innocent living around the world, so I advise you people don't trust them (binance and twitter). They're a big scammer's No one should ever trust them, they are a scammer's and they're partnership with Alphagpt and some other stealing platforms like EDK, CATLY, ALPHAGPT, AND SO MANY MORE. So my there brothers and sisters please I advice you to stop trading with binance and stop working with twitter.…",5,1
2021-11-02,"Been using the app peacefully for almost a year now, but recently (last month) I had difficulties accessing the app the response I get is “sorry you have no permission to access this service” it goes on and on for some hours and now it’s worse it goes on for DAYSS! Until I uninstall the app and install and after a while it continues.",4,2
2021-10-21,"For the past 5 days now I have been trying to log in to my account and the app has been telling “ you have no permission to access this service”. Please kindly attend this issue, This isn’t really making things easy for me, I have some ongoing trades to look into. Thank you",5,2
2021-12-06,Kindly work on the app so that completed orders can be filtered by date. Also when you click on a completed trade details and u exit. It takes you back to the top you need to scroll all the way down to get to where you stopped. For easy recording of trades for users kindly work on it,5,3
2022-11-18,"First of all I am grateful that binance takes the issue of security Paramount above all else kudos for that.
But I wish the b-team takes it up a notch and create a mechanism that would track its users crypto which is scammed by some unscrupulous individuals so that one can at least recover some of the funds lost through scam.
Just saying.",5,1
2022-02-11,I’m tired of this message every two minutes. The app is frozen way too much for something holding real time money. It is such an inconvenience & sometimes It keeps me away from the app sometimes when I rather be trading. Please I’m begging! Fix this!,5,1
2023-03-13,"The BINANCE EXCHANGE platform is more of a “ TRUST” APP than even the conceived trading practice- where banks within our region can no longer be TRUSTED, reliable and convenient especially with what is happening today, BINANCE stands out, BINANCE is reliable, convenient and TRUSTED, even those of us coming up technology wise are carried along as our confidence and security is built on one United , TRUSTED PLATFORM, BINANCE!",5,5
2022-06-03,"You guys need to work on your appeal time and how you follow up trades, lots of people are just there to waste other people’s time. They hold on to your coin for way too long and it takes forever to get your coin when you appeal even after costumer service reads the conversation.",5,2
