timestamp,reviews,sentiment,rating
2023-06-07,Відкриває програму після чого кудись переходить і зависає. Не відкриває дію для верифікації,1,
2023-06-13,Не можу пройти верифікацію!,1,
2023-06-06,"Зрозуміла робота, чудова програма",5,
2023-05-30,Після оновлення дуже зависає!,2,
2023-06-02,Не можу верифікуватись через дію,1,
2023-05-31,Було б добре якщо додасте віджети як на iOS,3,
2023-06-01,Постійно видає помилку... Мережа працює не нормально....,2,
2023-06-09,Дно пробито,2,
2023-06-09,"Ціна на крипту росте до того моменту поки я її не куплю.як тільки купив,в ту ж секунду падає на дно. Втрачаєш купу долларів за пару хвилин.та щей комісія велика.",1,
2023-06-01,"Користувалась біржею 3 роки.За останній рік ця біржа з топів скотилася ниже плінтусу.Застарілий дизайн.Дуже довго грузить(навіть wifi)lite,pro-anyway у всіх ваших конкурентів проги літають.Погані промо,зовсім нецікаві активності за які платять 1 цент.Убога біржа.НЕ рекомендую ні новачкам ні профі трейдерам.",1,
2023-05-18,"Надзвичайно часто видає помилку: Мережа працює ненормально, спробуйте пізніше.",2,
2023-05-24,"Заблокували акаунт з грошима без пояснення причин, підтримка ніяка, вже 2 тижні мовчать😡",1,
2023-05-17,Після остатнього оновлення не можу зайти в програму.,2,
2023-05-27,We need notifications about price with FILTERS. I'm constantly monitoring offers for Revolut. I wish I could create notification when price is affordable with specific payment method.,3,
2023-05-16,"Частенькі проблеми з додатком То в гаманець зайти не може, то в інвестування, то сповіщення. В той час як все інше працює, а те що потрібне - чорний екран",2,
2023-05-19,Тепер все працює,5,
2023-05-21,Игра не очень реалистическая так сто я можу сказать денги сюда надо настоящий а не игровый проспал 19 долларов хоть имел 478 и мне жалко стоко денег целых 18 долларов,2,
2023-06-01,Отлічнвая програма,5,
2023-06-10,Bests,5,
2023-06-03,"просто заради цікавості скачала цей додаток) і спершого разу вже є не самі приємні враження, наприклад: додаток довго завантажувався,і він якийсь незрозумілий.Додатково: я б непорадила,майже не вигідна і небезпечна штука,в чому уловка?да в тому що гроші можуть щезнути за мить,їх можуть заблокувати чи просто вкрасти,в додатку цього не було, але це лише того що ще не перевіряла, недовіряйте подібним... якщо є ризик втрати грошей!",1,
2023-05-20,"Блокують кошти без пояснення причини, місяцями чекаєш відповідь на пошту. Інші гаманці відразу пишуть що і як і не блокують гаманець, якщо надати інформацію. Тут - приклад як позбутись клієнта 20.05 Upd. За більше, ніж місяць так і не отримав відповідь. Коли звертаюсь в сапорт - беруть час ознайомитись з тікетом і далі блокують можливість писати їм (хоча правила спілкування не порушував). Однозначнл шахрайська контора, яка втратила мою довіру",1,
2023-05-11,Оновлення по ~80МБ кожного дня! Інтерфейс такий самий не зрозумілий і перегружений. Так само повільно працює і глючить... Що ви там оновлюєте???,5,
2023-05-12,🤔🤔🤔🤔🤔🤔 free virtual card for every Ukrainian ???????? безкоштовна віртуальна картка для кожного українця ????????,1,
2023-05-01,"Я не можу веріфікуватися в програмі, поваші рокоминдацій перевстановив програму до новой версій нічого не змінилося",1,
2023-05-03,"Постійні глюки з верифікацією, зробіть вже щось з цим! А так все добре.",5,
2023-04-28,службі підтримки глибоко в одному місці проблеми користувачів...,1,
2023-05-08,На жаль забрали можливість поповнювати з карт visa mastercard. Коли поправлять невідомо,3,
2023-04-24,"Открытая поддержка страны терориста, отрицание санкций, что нарушает международные законы.",4,
2023-05-04,👌 Единственная Биржа которая не заскамиться через 10 лет 🤝,1,
2023-05-08,"Просто пиздець. Закинути гроші легко, а перевести на інший гаманець чи вивести- нереально",1,
2023-04-22,Верніть депозити через карту а не це давбанн Р2Р,1,
2023-05-14,"android 9 unsaportable update, please solve the issue. Features are pretty powerful, UX good",4,
2023-04-24,Клуб любителів грошей авторитарних та тоталітарних режимів. Йдіть в рашку.,5,
2023-05-17,After new version i cant login in my acc,5,
