timestamp,reviews,rating,sentiment
2017-01-26,good,2.0,4
2017-12-21,recommend having good phone otherwise will be harddoes the job,3.0,4
2022-09-18,"terrible , so slowcant believe how bad it is",4.0,1
2021-05-08,"terrible , so slowcant believe how bad it is",1.0,1
2018-01-06,"i dont hate it, but i dont love it either..",3.0,3
2019-04-21,mediocre,2.0,2
2017-01-26,3 out of 5 i guess,3.0,3
2020-11-05,trash app,5.0,1
2022-03-31,perfection,2.0,5
2019-08-02,very good,4.0,5
2017-01-30,perfect and easy to use,5.0,5
2017-11-02,trash app,2.0,1
2017-01-01,perfect to buy and sell easily,2.0,5
2017-02-28,2 out of 5dont even install,1.0,1
2023-05-07,trash app,1.0,1
2020-04-14,soooo good,4.0,4
2017-07-13,"i dont hate it, but i dont love it either..",1.0,3
2023-10-16,mediocre,2.0,2
2022-09-08,3 out of 5 i guess,2.0,3
2021-01-10,perfect and easy to use,2.0,5
2023-09-27,very good,4.0,5
2020-12-27,"terrible , so slowcant believe how bad it is",5.0,1
2020-04-26,neutral,4.0,3
2020-03-24,"terrible , so slowcant believe how bad it is",2.0,1
2023-12-08,bad app,5.0,1
2020-03-18,neutral,1.0,3
2019-03-26,"terrible UI, deleted",1.0,1
2022-10-11,perfect and easy to use,2.0,5
2018-01-05,excellent,3.0,5
2018-11-03,very bad,3.0,1
2020-08-18,"cant be that bad, but its not perfectnever again using",4.0,3
2018-03-03,3 out of 5 i guess,3.0,3
2021-10-16,bad app,2.0,1
2023-06-17,uauh terrible,5.0,1
2019-07-21,very good,1.0,5
2022-04-13,"i dont hate it, but i dont love it either..",5.0,3
2021-01-24,"cant be that bad, but its not perfectnever again using",4.0,3
2019-09-25,neutral,5.0,3
2019-09-22,3 out of 5 i guess,3.0,3
2023-10-17,wow so good,2.0,5
2019-05-10,very bad,2.0,1
2017-01-19,soooo good,3.0,4
2023-12-09,very bad,5.0,1
2018-05-02,soooo good,3.0,4
2018-10-06,amazing app i recommend,3.0,5
2022-09-26,perfect and easy to use,3.0,5
2021-02-14,bad,1.0,1
2019-06-23,perfect and easy to use,1.0,5
2020-04-18,bad,1.0,1
2019-11-16,3 out of 5 i guess,4.0,3
2022-12-08,"i dont hate it, but i dont love it either..",1.0,3
2020-12-09,good,5.0,4
2022-01-01,mediocre,3.0,2
2022-04-29,2 out of 5dont even install,3.0,1
2021-02-02,2 out of 5dont even install,1.0,1
2019-05-22,2 out of 5dont even install,3.0,1
2017-07-21,neutral,5.0,3
2023-10-22,very good,2.0,5
2020-01-03,3 out of 5 i guess,5.0,3
2018-05-13,omg fantastic,2.0,5
2021-04-26,neutral,3.0,3
2018-12-10,uauh terrible,2.0,1
2022-03-08,perfect and easy to use,3.0,5
2023-03-15,GREAT APP,2.0,5
2017-10-02,recommend having good phone otherwise will be harddoes the job,3.0,4
2020-05-30,recommend having good phone otherwise will be harddoes the job,1.0,4
2019-02-10,very bad,1.0,1
2021-05-07,uauh terrible,2.0,1
2023-04-02,"terrible , so slowcant believe how bad it is",2.0,1
2018-01-29,recommend having good phone otherwise will be harddoes the job,1.0,4
2018-05-05,excellent,5.0,5
2018-07-07,bad,2.0,1
2018-07-17,very bad,3.0,1
2023-11-21,hard to tell sometimes good sometimes badnot good not bad.. does the job,3.0,3
2021-01-13,hard to tell sometimes good sometimes badnot good not bad.. does the job,3.0,3
2018-03-09,GREAT APP,2.0,5
2017-12-13,"i dont hate it, but i dont love it either..",2.0,3
2020-11-25,wow so good,5.0,5
2018-11-27,trash app,3.0,1
2023-07-21,"i dont hate it, but i dont love it either..",1.0,3
2018-04-23,wish it had a easier way to load with money,1.0,3
2021-10-23,soooo good,5.0,4
2020-06-12,trash app,1.0,1
2020-05-06,bad app,2.0,1
2022-08-05,3 out of 5 i guess,4.0,3
2020-02-08,wow so good,5.0,5
2017-01-28,"terrible , so slowcant believe how bad it is",1.0,1
2018-11-06,wish it had a easier way to load with money,3.0,3
2023-05-24,trash app,5.0,1
2018-03-26,perfect and easy to use,3.0,5
2023-02-17,"cant be that bad, but its not perfectnever again using",3.0,3
2020-06-21,perfect and easy to use,4.0,5
2021-05-24,"i dont hate it, but i dont love it either..",1.0,3
2023-08-25,"i dont hate it, but i dont love it either..",2.0,3
2018-06-16,perfect and easy to use,5.0,5
2018-10-19,3 out of 5 i guess,1.0,3
2021-08-22,hard to tell sometimes good sometimes badnot good not bad.. does the job,3.0,3
2022-10-11,very good,3.0,5
2022-12-13,bad app,5.0,1
2020-08-25,mediocre,2.0,2
2019-06-08,wow so good,3.0,5
2017-12-04,hard to tell sometimes good sometimes badnot good not bad.. does the job,1.0,3
2023-06-07,uauh terrible,2.0,1
2023-11-24,"terrible UI, deleted",2.0,1
2019-06-24,bad,2.0,1
2021-06-01,trash app,1.0,1
