timestamp,reviews,rating,sentiment
2021-06-19,"Nevertheless, thanks for your hard work, but with the latest interface update the futures window has changed. I'm talking about pnl, percentage, tp and sl windows. At now, they are not userfriendly. 
And every time from last update when I running app, the message was showing:
“Binance: Inserted from... safari/translater/application/itunes” (any ctrl+c text from my clipboard) 
??? what you want to know ???
Please roll back futures window and stop to gather confidential user information you don’t need",5.0,3
2021-05-20,I tried to make a payment from bank card and received an error. But money was charged from my card and I did not received it in my wallet at binance. Support did not answered me. It is serious issue for me so I will go to bank and start charge back procedure.,5.0,1
2022-01-02,"Uploaded documents, stuck at verification by camera. Tried without glasses, tried with them, again without etc. Without any luck. What support did? From first request: ""You have to wait"", from second request (after 2 weeks): ""Please upload selfie without glasses"" and they mark the whole process with ""Failed - User request"". I didn't request that, useless supporter. Now I need to upload all documents, photos one more time and again WAIT 2 WEEKS. Perfect.",4.0,1
2022-04-18,"In the last update you’ve added animated balance update. It annoys cuz I have rather large amount , so animation takes too long to display my amount. Can you please remove this animation or add an option to disable it ?",5.0,2
2023-05-20,"After last update have a problem with payment method in P2P. You need to delete app and download it again, when you want to add new card when you making an order.",5.0,2
2021-05-10,It shows me risk account detected you can not meet internal policy of binance so now i am not able to buy or sell from few days  thats the problem anyway this app is very good.,5.0,4
2023-08-26,"Disrespectful, scam platform. The attitude to the users is disgusting. The support works like a robot a very cheap one, like: everything is gonna be fine and it’s almost never fine actually. They suddenly change the policy without any warning in two weeks or even better in two months. It’s always a disgusting surprise and a lottery you always lose. That platform is extremely disrespectful to his users. Never gonna use it again.",1.0,1
2022-06-16,"Today I updated the application, and now when you collapse the application constantly crashes back to the main page! And you have to go back to the menu you were in every time, Fix it faster",4.0,2
2021-08-23,"Since latest update (2.34.1) started to face frequent crashes each time network is changed (wifi->lte or any other way). IOS 14.7.1 iphone 12 pro. Very annoying. Also didn’t find a way to report a bug, chat support is giving pointless solutions like reinstall the app which doesn’t help - it’s clearly a bug when websocket connection is lost.

But otherwise, you guys are awesome, love your work. Please fix the bug.",1.0,2
2022-07-31,Trading information is no longer available in a fast and informative way. Please roll back his update,5.0,1
