timestamp,reviews,rating,sentiment
2021-07-15 08:28:15,"Please can you guys just help us out with the ID verification. Can’t we use passport for verification also, cause i don't have any ID card and its gonna take a very long time for me to get one, pls just try and make passport another means of verification, its also a good one 🙏🏻.",4,3
2022-10-05 16:48:46,"I was so impatient to carry out necessary research but I really wanted to jump on the crypto trading and investment buzz.
Unfortunately for me, I invested 90,700 USD
worth of bitcoin with a fraudulent company. I was happy to watch my account grow to 240,575 USD within a couple of weeks. But I didn't realize I was dealing with a scam company, until tried to make an attempt to withdraw. I made a withdrawal request, and noticed my account was suddenly blocked for no apparent reason. I tried contacting customer support, but all to no avail. I needed my money back at all cost, because I could not afford to let it go. So tried all possible means to make sure recovered my scammed bitcoin. I did a lot of online search for help, and tried to see if there were other people who had any similar experience. I stumbled upon a cryptocurrency forum were a couple of people mentioned that they had been through the same process but were able to recover their lost cryptocurrency, funds with the help of Ganesh
Theowletcryptotrade At gmailcom . So I file a report and he was able to help me get back all my lost funds within few hours I feel indebted to him. Apart from trying to express my gratitude to them once again using this medium, I will recommend anybody who wants to recover scammed bitcoin, stolen cryptocurrency, funds lost to binary options forex, investment and any other form of online scam, reach out to Theowletcryptotrade via gmail or telegram",5,1
2022-02-13 04:14:54,I tried sending about 58 dogecoin from coin base to my roqqu wallet. It’s been 8 days and I’m yet to find my doge on the receiving wallet but it’s been deducted from coinbase. I have even tried sending a lesser amount of doge after that to see if it was a network problem and I was able to receive it but never seen the first 58 doge. I have sent mails and nobody is providing any solutions. You’re telling me you’re not allowed to provide direct help to my region but your self help options do not address my issues so how am I supposed to get back my doge?,1,1
2023-03-10 09:16:15,What is wrong with Coinbase? Someone send me bitcoin for over an hour. But I have not received it in my wallet but they send me a message on email that I received bitcoin but when I check it show pending. I thought it was an update so I update the software but still it still show pending,5,1
2021-06-03 22:29:11,"I’m from Nigeria and I’ve been using coinbase for a while now to receive and transfer funds without any problems but i just updated the app now to be able to recieve Dogecoin and now with this update i can no longer transfer funds only recieve, it keeps saying trades not available in my country, how is this possible seeing as ive been receiving and sending funds from the same region till the update? Pls what do i do about this so I don’t have my funds trapped in my wallet.",1,1
2023-06-13 09:47:58,"Saves me time and money! Payork has simplified my life by offering the most affordable data plans and allowing me to conveniently top up my airtime, cable TV, and even pay my electricity bills all in one place. The app's speed is remarkable, and the user interface is intuitive.",5,5
2023-01-09 19:49:00,"I need my account back, why would you actually block my account for no reason. Why would you close my account with my money inside, pls open my account back so I can get my money back 🙏",5,1
2022-07-27 23:01:35,"Hello there, the add payment method is not loading through. I can’t see where to fill in my cars details.",4,1
2021-09-13 09:35:17,"All of a sudden anytime I open my Coinbase it shows “we’re having connection issues “ so I updated and it’s still doing the same thing it’s really annoying I can’t even make use of my own wallet again 😒
If it’s not reviewed 1 star and I’m quitting the app",3,1
2021-03-15 17:02:26,I’ve been unable to send crypto to another wallet and I have some much money in there. It’s frustrating,5,2
2022-08-03 08:39:50,I’m still not able to purchase bitcoin after I have done my id verification and selfie verification please what happening,5,1
2021-10-12 07:37:20,"I have alot money in my Coinbase, i am from Nigeria 
I cant even login with my national id card or driver’s license 
What sort of app is this 
Am tired ohhh
You people should help us please",5,1
2023-01-11 14:32:07,Hello I bought 6 pieces of solona coin with my Nigeria debit card. The money has left my Nigeria bank account but I haven’t seen my coin in my Coinbase account please what’s really going on. I have been debited but my coin aren’t been credited in my coin base account.,3,1
2022-07-08 15:12:10,"It’s been 2 months since I accidentally locked my account, and I have been trying to open and verify it with my ID but it’s not working, and I have money on it I can’t access.",3,1
2023-05-12 09:58:37,"My phone is not compatible with the current update of the app.. I tried using the web to login, is saying I should confirm the dive already tried that didn’t work, It always stops loading the page.. I thought this app suppose to be the best",1,1
2021-06-25 14:15:53,"Very good app, right now the app won’t open land I need to access my coins is anybody else experiencing this",4,4
2022-04-13 06:41:55,On my coinbase wallet I have ETH for $500 and I kept trying to send $300 but it appears that I can’t send any of it. It says that I  Couldn’t complete this transaction because  My available balance of $(0.00) when it’s not.. please how can this issue be resolved now,1,1
2022-02-06 09:06:30,"I’m from Nigeria I just downloaded Coinbase, I registered the my account and I have done my registration perfectly but to add my credit card to my account it couldn’t allow me. Please I need your help.",2,1
2021-09-14 01:03:03,What happens if I do a wire transfer to another Coinbase account that’s not in my name,5,1
2022-01-29 09:40:34,"Am having problem logging into my Coinbase app, If I click on the app it bounce back and don’t open. Please what should I do?",3,1
2020-06-25 23:30:16,"Do you guys have coinbase wallet, the one am seeing on the apple store here the developer is different? How do i get to download your coinbase wallet if you do have? Treat as urgent",4,1
2022-10-21 02:53:16,I download this app on my phone to create wallet and they still can’t verify my National identity card you guy should do something about it and I will  need to create it today,2,1
2022-04-03 11:52:34,Pls my account has being restricted for a long time now and I really need the money that I kept in their. Coinbase pls help me to open my account pls,3,5
