timestamp,reviews,sentiment,rating
2021-04-22,我是看它上市了，充了175块美元进去感受一下的。现在说说我的感受，各方面都太差！界面太low，只能现价买卖，不能填限价单。最最重要的是费用太黑买收钱，卖收钱，提款也特么收钱！难怪一上市自己就变现！这样的垃圾准备做空它！！,1,
2021-10-05,發生啥事呢？也差不多一个月了，總説發生鏈接問題，試過關機，重啟，退出再登錄都是説發生鏈接問題，怎么回事呢？怎么了？？？,1,
2021-05-02,很好用。界面非常简单，存取方便。最重要的是公司上市了，合法合规，不会像一些交易软件，卷钱就跑。币安和火币在马耳他还要什么上注册的，火币作为某国的那啥，懂得都懂，不必多说。。。,5,
2021-05-10,不知道为什么今天一下子就登陆不了了 而且一直卡在身份照片这里，完蛋了，钱都在里面，这下估计要泡汤了。。。还好只是虚惊一场，已经顺利登录！,1,
2021-12-07,都实名认证了身份证😕，怎么不能舔加支付呢？？？显示地区不能用？怎么这coinbase APP不是国际化版咩？都破1千万人数了，只接收比特币吧了。要是能接收个种币币类就完美🌍。版本不太行😕😕😕,1,
2021-11-22,为什么要我验证身份上传了身份证也没有接受验证 点击添加支付方式 只出现空白页 要怎么验证支付方式 刚开始储存了一些coin 真是垃圾 要人家验证 也没有准备好自己的软件有没有问题 乱叫人验证 现在要接收一点Coin 结果这个软件要人验证 接收不了付款 被拒绝了,1,
2023-04-19,为什么新加坡用户无法添加银行账号呢,1,
2023-02-28,一直在接受条款那循环，这是什么垃圾APP,1,
2023-06-08,登录就被封，什么意思啊，举报你,1,
2021-02-04,就在不停的确认二次密码 跟本就登不进去，更新有毛用!!!垃圾 收费贵 服务烂!,1,
2021-02-06,简单，功能全。如果再能有些金融知识的多语种版本就更好了👍,4,
2021-09-05,钱包绝对是好的，也能接收币，就是发送币的时候还要跳转交易市场认证…不适合大陆帅哥美女使用,1,
2020-04-17,"需要把虚拟货币 变现 可以用 火币，在Google市场下载就有！ 4y4a5是邀请码, 一定要写邀请码不要空着, 不写没有手续费返还。火币一上线就使用从来没变过,不得不给一个5分,不仅是中国的顶级优秀应用，也是世界交易所的优秀应用。服务器在国外很安全,建议大家购买主流货币 BTC HT ETH。请大家注意。我是高级会员，填写我的邀请码手续费会减少很多！",1,
2021-10-24,一直没法注册，就出现连接问题 ，大家可以放弃下载了，客服只会叫去网站 help ，不会做系统 就别做 。。,1,
2018-12-08,中国大陆这么好的市场，居然注册邮箱验证和手机验证不能通过……还玩个毛线。,4,
2021-07-26,不太好，现金存进去了要二十几天才能提现，其他的软件一个星期就可以提现的,2,
2022-08-17,无法添加中国借记卡，添加卡号的位数不够，卡号剩下三位数无法输入进去！,1,
2021-09-17,为啥我的交易页面+全部显示连接问题？已经连续5天了。 垃圾app,1,
2021-05-14,太烂了，现在更新了连账户都进不去嗨我里面的全部泡汤了。。买卖也不可以用，等了半天还是买卖不到，只有进去没有出款。干！！,1,
2021-05-06,一分都不想给，光收黑钱冲750 收28手续费剩下722，涨了7%卖掉收10块剩715，提现收手续费10块，剩705，合着涨幅在40%一下就等于再给平台做慈善。我曰你仙人,1,
2021-10-27,垃圾，注册账户都注册不到，一直糟糕出现问题。,1,
2023-01-24,为什么一直不能 login ?,1,
2021-12-12,新用户输入邀请码51QUUO，可以享受每笔100美元交易返利10美元，这不香吗？等于不要手续费了，手续费老贵了。coinbase 非常适合美国境内买卖货币，其它软件安全性没这个高，欢迎大家一起买卖韭菜!!!!!,1,
2022-06-15,"注册3天了都注册不到一直显示出错怎么回事Still not working, keep showing error",1,
2020-09-29,经常出现关联账户丢失，无法交易。,1,
2021-09-26,中国用户怎么完成最后一步身份认证啊？输入什么地址都提示不对！,1,
2021-09-21,我的app 也是出现了链接问题5天多了这是什么情况啊?而且我现在在美国这是什么情况?,1,
2021-10-01,为什么连续一个月了一直显示遇到连接问题？,1,
2023-02-20,他根本是诈骗的行为千万不要下载或者是进钱 用过的人都知道,1,
2021-09-23,"无法交易已经五天了，每次都说连接有问题 I have try relaunched many time,but same problme",1,
2022-01-11,加个注册码：96HZKU 将会获赠高福利奖励 20%-30% 非常方便用的应用 (投资入金1000美元 赚取高福利收益越丰盛) 最好的收益在这里 别错过时机!,5,
2021-12-08,您好，哈萨克斯坦手机无法收到验证码。无法转账,5,
2023-01-25,我下载的coinbase 为何只要买入没有卖出呢,1,
2023-03-12,如果你的软件不能在马来西亚购买，是否应该先通知下载用户？下载好注册完却不能购买比特币你不是在浪费客户时间吗？我的个人资料完全泄露了给您们，请问你们安的是什么心？如果我的个人资料受到泄露还是被盗用，我会保留证据使用法律途径像你们控诉。,1,
2022-02-03,怎么我一直登入不到呢，网页可以登入，但app我就登入不到，请尽快回复我，谢谢,1,
2021-06-26,为什么不能登入了，在网站能登入，app就不能,1,
2019-06-10,非常好！出入资金快捷便利,5,
2021-05-20,垃圾还是没有支持中国区，骗子，都一年了，还是没能登上去，钱都没有了,1,
2022-03-26,垃圾东西，注册个账号都不给，一直出错,1,
2021-12-06,一个月了，一直是连接故障，让我用网络浏览器登录或今天稍后重试。这是官方把我的账户黑了吗？,1,
2019-08-21,请问马来西亚可以用吗？我也是有这应用！是峦好用的！但是大马还不能用吧？,3,
2021-10-18,很久都不能连接了，不知道什么意思？,2,
2021-12-11,无法注册！！！！到了填写地址哪里就不行了,1,
2021-03-20,为什么现在登陆不了，一直显示出错？,1,
2022-03-24,"简单好用, 少数伩用卡可付款",4,
2021-11-05,一直说无法验证我的信息，我美国🇺🇸公民都注册不了，垃圾软件！,1,
2020-09-28,很好～不错呢～我很喜欢在这里赚钱～也希望可以在这里每天赚钱～我们继续加油努力,5,
2020-12-20,出金系統 常常壞了.. 扣一星. 總於收到 挖礦第一筆收入 25.13美金,1,
2021-09-15,垃圾中的垃圾！手续费太高了，很离谱！,1,
2020-08-03,全部都是骗人的，说免费货币下载了人民币都没有咯，说借。。。放屁。。。借毛就有。。都是要先存款了才让你借数字不是借钱。一直登入要不然就是下载。。。干你老母。。浪费时间。。老千。。。烂。。。,1,
2022-03-28,身份证验证还是无法登陆，真垃圾,1,
2021-02-08,3%手续费是不是有点太低了，起码30%才行。,2,
2020-12-17,最不好的一点就是从新加坡账户可以往里汇钱，不能从里边拿钱送到新加坡的账户。,1,
2020-06-15,chrome没法验证邮箱，但必应可以......,3,
2021-03-18,怎么注册都不行。花了一个小时无论什么方法都是秘密不能用,1,
2021-11-01,挺方便的。很简洁,5,
2022-02-05,看到很多差评，我觉的他们说的对，为什么半颗星差评。用过一段时间，各种问题卡得我不能动两天多，输掉了账户里的一万多美金。不知道找谁要没有人给出说法！,1,
2021-03-11,注册时密码无论怎么填写都无法注册,1,
2021-04-30,垃圾，不注册信息不给用了,1,
2021-10-23,一直显示链接错误,1,
2018-10-23,大陆用户只能用钱包，不能交易买卖，还是别下载了,1,
2021-08-22,"不懂如何提现paypal,甚至银行账户",1,
2021-05-11,"Google authorize 还不够，看到我没放电话号码死命要我用电话号码来verification,垃圾base",1,
2020-08-17,根本注册不了好伐，一点就是乱码,2,
2022-02-21,为什么中国用户无法实名认证呢？要怎么解决,1,
2021-09-17,我想了解我的号码都是显示网络问题 不能买卖 我朋友的都可以 请问是什么原因,1,
2021-09-15,一直登录不上,1,
2021-09-30,为何都是显示无法链接呢？,1,
2020-10-10,限额一千，买了不能马上交易，效率真的很低,1,
2021-08-22,还没有回我哦，马来西亚不能用充值币了怎么样拿出来？为什么开发给马来西亚人用？谁来负责？,1,
2023-04-10,连注册都注册不到,1,
2021-12-27,垃圾，连注册也不能！,1,
2021-05-01,我最近半个月不能登录。怎么办。验证好几次了 。sos,1,
2021-10-31,一直显示 链接问题 怎么解决,1,
2023-03-06,大陆用不了，格局小了,2,
2021-10-27,为什么更新了不能进去哦真的是,1,
2021-09-12,请问多少钱才可以提款？可以提到paypal吗？,1,
2021-11-10,新版不能用，天天报错,1,
2020-05-17,我点击任何按钮都没有反应!,1,
2021-01-30,一整天都卡在验证身份页面 好糟糕,1,
2021-11-17,"haiz,send 一个不存在的号码钱应该还回来，不能跟luno合作吗",1,
2019-12-31,我确定这是信息收集软件，ssn是什么鬼，只能给美国人用吗,1,
2021-01-29,每天看到你又有更新。你烦不烦,5,
2019-06-27,无法提取资金，搞不懂,1,
2022-09-24,很好用，加LINE:liyunxi86 可以日領取0.7%的收益,5,
2021-04-15,无法完成注册,1,
2022-01-01,为什么使用美国电话号码注册需要强制提供社交保障？,1,
2020-03-13,没有SSN美国撇会安全号码的不要下载使用,1,
2020-12-26,点授权就退到桌面，真垃圾,1,
2021-10-28,一直不能連，那之前的錢怎樣拉出來,1,
2021-12-16,为什么我直接打不开呢？,1,
2021-08-22,能把比特币提现paypal或者把paypal换成比特币就完美,4,
2019-09-23,我所在国家还无法使用该功能？,1,
2022-05-05,为啥我下载了注册都注册不了啥情况,1,
2020-06-16,马来西亚 不能应用 钱币不能提现,1,
2021-10-11,我已经三天连接不了买卖不了气死人了,1,
