timestamp,reviews,sentiment,rating
2019-12-26,uauh terrible,1,
2023-09-15,perfection,5,
2022-10-12,"i dont hate it, but i dont love it either..",3,
2018-04-08,excellent,5,
2019-08-08,good,4,
2017-07-29,dont even install,1,
2017-11-19,not good not bad.. does the job,3,
2019-08-28,not good not bad.. does the job,3,
2021-09-21,bad,1,
2019-05-14,does the job,4,
2020-06-05,neutral,3,
2019-04-12,very bad,1,
2017-02-13,wish it had a easier way to load with money,3,
2020-09-08,wow so good,5,
2023-03-23,excellent,5,
2018-12-22,not good not bad.. does the job,3,
2019-07-19,"i dont hate it, but i dont love it either..",3,
2023-07-27,does the job,4,
2018-08-25,"i dont hate it, but i dont love it either..",3,
2017-11-16,perfection,5,
2017-02-12,very good,5,
2020-09-23,omg fantastic,5,
2018-08-09,neutral,3,
2018-03-25,cant believe how bad it is,1,
2017-04-05,"i dont hate it, but i dont love it either..",3,
2019-01-21,neutral,3,
2017-02-04,3 out of 5 i guess,3,
2023-05-07,never again using,1,
2018-01-19,does the job,4,
2022-04-27,not good not bad.. does the job,3,
2021-02-03,bad app,1,
2021-11-13,never again using,1,
2020-12-17,good,4,
2017-09-18,bad,1,
2018-06-08,omg fantastic,5,
2020-12-29,perfect to buy and sell easily,5,
2021-10-12,never again using,1,
2023-09-05,"terrible UI, deleted",1,
2020-06-13,does the job,4,
2018-01-07,not good not bad.. does the job,3,
2017-11-12,"i dont hate it, but i dont love it either..",3,
2019-11-01,perfect to buy and sell easily,5,
2023-01-21,omg fantastic,5,
2023-06-13,not good not bad.. does the job,3,
2021-02-01,very bad,1,
2020-09-10,omg fantastic,5,
2022-05-13,GREAT APP,5,
2023-08-24,never again using,1,
2019-10-16,wish it had a easier way to load with money,3,
2021-09-29,wish it had a easier way to load with money,3,
2022-09-17,cant believe how bad it is,1,
2018-01-27,uauh terrible,1,
2023-02-07,bad app,1,
2022-01-21,very good,5,
2021-01-31,wish it had a easier way to load with money,3,
2017-11-01,dont even install,1,
2017-02-14,uauh terrible,1,
2023-07-12,excellent,5,
2019-08-04,"i dont hate it, but i dont love it either..",3,
2023-09-19,GREAT APP,5,
2022-08-11,excellent,5,
2017-11-05,omg fantastic,5,
2018-06-06,good,4,
2019-08-27,neutral,3,
2021-01-12,3 out of 5 i guess,3,
2019-02-04,omg fantastic,5,
2020-07-22,perfection,5,
2023-01-04,amazing app i recommend,5,
2018-12-04,"i dont hate it, but i dont love it either..",3,
2017-12-27,very good,5,
2021-09-12,very good,5,
2018-05-03,cant believe how bad it is,1,
2018-05-09,wow so good,5,
2023-06-01,perfect to buy and sell easily,5,
2021-06-28,good,4,
2018-03-07,excellent,5,
2018-10-23,not good not bad.. does the job,3,
2023-04-30,perfection,5,
2019-12-02,"i dont hate it, but i dont love it either..",3,
2017-02-19,excellent,5,
2021-11-02,"terrible UI, deleted",1,
2017-12-05,"terrible UI, deleted",1,
2017-04-19,never again using,1,
2021-04-02,omg fantastic,5,
2017-07-13,amazing app i recommend,5,
2019-04-26,wow so good,5,
2017-11-04,perfection,5,
2020-12-13,omg fantastic,5,
2023-09-13,amazing app i recommend,5,
2023-12-03,3 out of 5 i guess,3,
2021-11-07,bad app,1,
2023-04-15,not good not bad.. does the job,3,
2020-06-01,3 out of 5 i guess,3,
2022-09-16,perfect to buy and sell easily,5,
2023-04-09,cant believe how bad it is,1,
2021-01-15,dont even install,1,
2019-08-01,GREAT APP,5,
2020-11-30,wow so good,5,
2021-11-17,neutral,3,
2023-09-26,excellent,5,
2021-02-18,neutral,3,
2020-12-14,not good not bad.. does the job,3,
2022-07-04,good,4,
2021-04-05,cant believe how bad it is,1,
2020-12-20,cant believe how bad it is,1,
2018-07-31,"i dont hate it, but i dont love it either..",3,
2020-07-31,bad app,1,
2022-02-10,bad,1,
2020-08-25,dont even install,1,
2022-07-04,excellent,5,
2023-11-28,excellent,5,
2023-05-05,wish it had a easier way to load with money,3,
2020-09-29,omg fantastic,5,
2018-07-24,omg fantastic,5,
2017-01-27,3 out of 5 i guess,3,
2017-06-12,"i dont hate it, but i dont love it either..",3,
2018-02-20,not good not bad.. does the job,3,
2023-09-08,perfect to buy and sell easily,5,
2020-07-26,good,4,
2019-10-31,very bad,1,
2020-12-24,neutral,3,
2017-01-17,bad,1,
2019-11-10,perfect to buy and sell easily,5,
2019-04-19,3 out of 5 i guess,3,
2019-04-01,"i dont hate it, but i dont love it either..",3,
2020-06-19,bad,1,
2020-02-18,neutral,3,
2019-10-14,dont even install,1,
2018-06-25,GREAT APP,5,
2020-07-02,3 out of 5 i guess,3,
2021-11-01,omg fantastic,5,
2019-12-07,GREAT APP,5,
2020-05-21,dont even install,1,
2017-09-18,perfection,5,
2022-01-29,omg fantastic,5,
2021-03-01,perfection,5,
2018-11-03,good,4,
2022-08-07,"i dont hate it, but i dont love it either..",3,
2021-07-13,uauh terrible,1,
2023-05-01,GREAT APP,5,
2018-01-26,never again using,1,
2019-07-09,wow so good,5,
2017-02-06,very bad,1,
2017-01-29,perfection,5,
2018-02-10,good,4,
2023-07-04,GREAT APP,5,
2023-11-17,omg fantastic,5,
2021-06-20,dont even install,1,
2021-05-16,wow so good,5,
2023-10-18,perfect to buy and sell easily,5,
2017-09-12,GREAT APP,5,
2023-05-13,bad app,1,
2018-07-11,cant believe how bad it is,1,
2019-04-30,"i dont hate it, but i dont love it either..",3,
2018-04-01,cant believe how bad it is,1,
2018-08-11,"i dont hate it, but i dont love it either..",3,
2021-03-05,amazing app i recommend,5,
2017-12-09,dont even install,1,
2018-10-08,perfection,5,
2021-03-16,bad app,1,
2017-12-10,cant believe how bad it is,1,
2020-02-17,uauh terrible,1,
2019-06-26,perfect to buy and sell easily,5,
2021-06-10,uauh terrible,1,
2022-09-16,uauh terrible,1,
2017-11-27,wish it had a easier way to load with money,3,
2019-06-26,good,4,
2021-12-30,excellent,5,
2019-02-27,amazing app i recommend,5,
2021-02-13,very bad,1,
2022-01-14,GREAT APP,5,
2021-07-19,uauh terrible,1,
2021-07-25,good,4,
2019-06-14,never again using,1,
2020-04-07,GREAT APP,5,
2018-07-24,wish it had a easier way to load with money,3,
2019-02-20,bad,1,
2021-05-16,bad,1,
2018-01-23,amazing app i recommend,5,
2022-07-28,excellent,5,
2018-12-08,uauh terrible,1,
2018-01-07,good,4,
2018-02-06,not good not bad.. does the job,3,
2020-12-10,perfection,5,
2019-01-06,perfect to buy and sell easily,5,
2020-01-27,omg fantastic,5,
2023-09-30,3 out of 5 i guess,3,
2019-06-06,bad,1,
2017-04-07,GREAT APP,5,
2018-01-22,GREAT APP,5,
2019-06-23,perfection,5,
2022-06-20,"i dont hate it, but i dont love it either..",3,
2022-11-05,wow so good,5,
2022-10-10,perfection,5,
2019-05-16,excellent,5,
2021-05-17,good,4,
2017-04-11,dont even install,1,
2021-07-11,"terrible UI, deleted",1,
2022-07-01,bad app,1,
2022-06-29,perfection,5,
2019-01-22,very bad,1,
2017-01-10,dont even install,1,
2017-02-20,bad,1,
2021-10-18,very bad,1,
2023-07-07,amazing app i recommend,5,
2019-12-27,dont even install,1,
2022-01-22,never again using,1,
2020-02-25,cant believe how bad it is,1,
2023-07-10,uauh terrible,1,
2017-08-17,perfection,5,
2018-12-05,bad,1,
2022-01-03,very good,5,
2019-07-28,bad app,1,
2020-01-15,cant believe how bad it is,1,
2018-05-16,"terrible UI, deleted",1,
2023-01-19,3 out of 5 i guess,3,
2018-03-07,never again using,1,
2021-10-31,"terrible UI, deleted",1,
2019-04-18,dont even install,1,
2018-08-19,wow so good,5,
2020-12-17,does the job,4,
2022-03-26,wow so good,5,
2018-08-04,uauh terrible,1,
2017-06-02,"i dont hate it, but i dont love it either..",3,
2023-01-16,never again using,1,
2017-09-19,not good not bad.. does the job,3,
2021-12-27,GREAT APP,5,
2021-07-23,not good not bad.. does the job,3,
2022-11-08,"terrible UI, deleted",1,
2019-02-04,excellent,5,
2023-02-26,never again using,1,
2022-08-06,amazing app i recommend,5,
2023-08-20,perfection,5,
2021-04-26,bad,1,
2020-04-21,perfect to buy and sell easily,5,
2018-10-17,not good not bad.. does the job,3,
2020-02-23,bad,1,
2019-10-03,cant believe how bad it is,1,
2020-01-10,never again using,1,
2017-09-21,GREAT APP,5,
2022-02-02,good,4,
2018-12-30,wish it had a easier way to load with money,3,
2021-08-06,uauh terrible,1,
2017-06-25,dont even install,1,
2020-03-07,very good,5,
2018-06-25,good,4,
2019-01-11,neutral,3,
2018-07-07,does the job,4,
2017-04-14,3 out of 5 i guess,3,
2017-09-03,not good not bad.. does the job,3,
2018-09-28,wish it had a easier way to load with money,3,
2023-05-23,wish it had a easier way to load with money,3,
2023-08-12,uauh terrible,1,
2021-10-04,perfection,5,
2023-04-21,perfection,5,
2018-12-27,dont even install,1,
2020-10-18,"terrible UI, deleted",1,
2017-03-01,amazing app i recommend,5,
2019-04-07,not good not bad.. does the job,3,
2018-06-23,perfection,5,
2018-02-17,does the job,4,
2020-03-16,very bad,1,
2018-07-18,wow so good,5,
2018-11-04,dont even install,1,
2023-11-24,"terrible UI, deleted",1,
2017-10-08,dont even install,1,
2019-04-26,omg fantastic,5,
2020-06-30,dont even install,1,
2018-04-08,wow so good,5,
2021-05-12,3 out of 5 i guess,3,
2018-10-27,bad app,1,
2019-10-02,dont even install,1,
2022-11-19,wish it had a easier way to load with money,3,
2023-01-22,never again using,1,
2018-06-15,bad app,1,
2021-02-27,"terrible UI, deleted",1,
2020-10-07,omg fantastic,5,
2018-03-13,perfect to buy and sell easily,5,
2020-10-19,good,4,
2017-10-22,very bad,1,
2021-01-04,not good not bad.. does the job,3,
2023-03-24,perfection,5,
2021-12-06,wish it had a easier way to load with money,3,
2020-05-30,perfect to buy and sell easily,5,
2019-10-06,not good not bad.. does the job,3,
2021-04-02,amazing app i recommend,5,
2023-11-05,cant believe how bad it is,1,
2021-06-28,GREAT APP,5,
2019-09-02,wish it had a easier way to load with money,3,
2022-07-09,very good,5,
2020-04-12,neutral,3,
2019-11-22,good,4,
2023-01-02,wow so good,5,
2022-11-20,does the job,4,
2019-07-14,very bad,1,
2022-06-26,omg fantastic,5,
2020-04-23,cant believe how bad it is,1,
2022-09-27,bad app,1,
2022-11-14,very bad,1,
2020-08-17,excellent,5,
2017-01-10,dont even install,1,
2021-04-03,good,4,
2020-01-22,"terrible UI, deleted",1,
2022-06-01,never again using,1,
2023-04-19,good,4,
2021-09-06,does the job,4,
2020-06-22,very good,5,
2018-02-17,wow so good,5,
2020-10-02,cant believe how bad it is,1,
2021-04-22,neutral,3,
2018-11-30,never again using,1,
2023-02-05,very bad,1,
2023-02-11,dont even install,1,
2018-07-03,uauh terrible,1,
2023-07-12,does the job,4,
2019-07-04,very good,5,
2020-07-07,wish it had a easier way to load with money,3,
2017-01-08,cant believe how bad it is,1,
2022-11-19,not good not bad.. does the job,3,
2017-03-12,amazing app i recommend,5,
2023-12-25,good,4,
2021-03-31,perfect to buy and sell easily,5,
2020-11-21,dont even install,1,
2021-11-16,never again using,1,
2023-09-12,perfection,5,
2021-07-03,neutral,3,
2020-06-23,omg fantastic,5,
2017-07-17,"terrible UI, deleted",1,
2017-04-10,very bad,1,
2023-10-17,bad app,1,
2017-12-22,perfect to buy and sell easily,5,
2023-12-05,never again using,1,
2021-10-23,very bad,1,
2023-03-10,very good,5,
2023-10-26,dont even install,1,
2022-07-10,perfection,5,
2023-06-20,amazing app i recommend,5,
2020-09-30,perfect to buy and sell easily,5,
2019-11-23,bad app,1,
2022-03-19,very bad,1,
2020-11-20,perfection,5,
2018-08-06,does the job,4,
2021-11-18,neutral,3,
2023-04-07,wow so good,5,
2022-06-01,bad,1,
2018-06-01,perfect to buy and sell easily,5,
2020-08-23,perfection,5,
2017-03-28,"i dont hate it, but i dont love it either..",3,
2018-08-01,amazing app i recommend,5,
2017-06-05,neutral,3,
2017-04-10,wish it had a easier way to load with money,3,
2018-01-28,uauh terrible,1,
2019-12-21,perfection,5,
2019-04-24,uauh terrible,1,
2017-07-30,amazing app i recommend,5,
2021-08-02,very good,5,
2021-05-16,excellent,5,
2018-09-11,cant believe how bad it is,1,
2018-02-25,very good,5,
2018-08-09,neutral,3,
2022-01-13,"terrible UI, deleted",1,
2022-06-15,not good not bad.. does the job,3,
2023-12-13,perfect to buy and sell easily,5,
2018-10-11,perfection,5,
