timestamp,reviews,rating,sentiment
2020-12-19,hard to tell sometimes good sometimes badnot good not bad.. does the job,5.0,3
2019-05-19,"i dont hate it, but i dont love it either..",2.0,3
2020-12-06,3 out of 5 i guess,2.0,3
2023-09-30,trash app,4.0,1
2023-12-26,"terrible UI, deleted",3.0,1
2020-09-12,excellent,5.0,5
2019-01-21,bad app,2.0,1
2018-05-05,GREAT APP,4.0,5
2017-02-12,amazing app i recommend,4.0,5
2021-10-16,omg fantastic,5.0,5
2020-01-25,omg fantastic,3.0,5
2017-07-04,wish it had a easier way to load with money,4.0,3
2017-04-23,wish it had a easier way to load with money,3.0,3
2021-04-06,perfect and easy to use,5.0,5
2022-08-12,neutral,1.0,3
2017-07-19,hard to tell sometimes good sometimes badnot good not bad.. does the job,1.0,3
2021-01-06,3 out of 5 i guess,1.0,3
2017-10-19,good,4.0,4
2022-01-05,wow so good,3.0,5
2023-11-24,uauh terrible,1.0,1
2018-04-08,3 out of 5 i guess,3.0,3
2019-03-09,soooo good,3.0,4
2022-08-27,good,2.0,4
2020-08-10,wish it had a easier way to load with money,3.0,3
2019-12-18,trash app,4.0,1
2021-03-23,3 out of 5 i guess,5.0,3
2022-05-15,recommend having good phone otherwise will be harddoes the job,4.0,4
2020-02-04,hard to tell sometimes good sometimes badnot good not bad.. does the job,2.0,3
2021-05-16,2 out of 5dont even install,5.0,1
2020-09-22,neutral,1.0,3
2023-03-28,"terrible UI, deleted",2.0,1
2019-05-04,"terrible UI, deleted",5.0,1
2020-06-04,perfection,2.0,5
2017-12-30,amazing app i recommend,1.0,5
2023-03-17,very good,2.0,5
2019-01-17,3 out of 5 i guess,3.0,3
2022-01-12,excellent,5.0,5
2019-09-25,perfection,5.0,5
2021-03-20,hard to tell sometimes good sometimes badnot good not bad.. does the job,5.0,3
2018-12-23,bad app,1.0,1
2017-05-07,2 out of 5dont even install,5.0,1
2021-03-01,amazing app i recommend,4.0,5
2020-10-10,"cant be that bad, but its not perfectnever again using",2.0,3
2017-07-18,good,2.0,4
2017-08-03,omg fantastic,1.0,5
2023-02-08,neutral,1.0,3
2022-06-01,perfection,1.0,5
2023-11-17,"cant be that bad, but its not perfectnever again using",1.0,3
2017-02-11,GREAT APP,3.0,5
2022-06-23,trash app,1.0,1
