timestamp,reviews,rating,sentiment
2018-06-10,hard to tell sometimes good sometimes badnot good not bad.. does the job,4.0,3
2019-08-25,perfection,5.0,5
2023-01-28,neutral,2.0,3
2022-07-02,uauh terrible,4.0,1
2017-04-21,trash app,3.0,1
2019-06-18,GREAT APP,2.0,5
2017-02-26,perfect to buy and sell easily,2.0,5
2021-05-01,perfection,3.0,5
2022-11-25,recommend having good phone otherwise will be harddoes the job,3.0,4
2021-10-14,excellent,5.0,5
2021-08-30,good,4.0,4
2023-03-26,2 out of 5dont even install,4.0,1
2017-09-11,perfect and easy to use,2.0,5
2017-08-06,"terrible , so slowcant believe how bad it is",3.0,1
2022-04-21,2 out of 5dont even install,5.0,1
2021-05-14,bad,3.0,1
2017-06-12,recommend having good phone otherwise will be harddoes the job,3.0,4
2021-08-22,bad,2.0,1
2017-11-09,neutral,3.0,3
2017-02-23,perfection,2.0,5
2022-03-19,mediocre,4.0,2
2017-05-16,omg fantastic,3.0,5
2017-02-18,perfection,4.0,5
2018-04-26,uauh terrible,5.0,1
2020-08-01,wish it had a easier way to load with money,4.0,3
2019-02-09,very good,4.0,5
2021-03-27,very good,5.0,5
2017-11-17,hard to tell sometimes good sometimes badnot good not bad.. does the job,3.0,3
2023-06-21,amazing app i recommend,4.0,5
2017-05-21,trash app,3.0,1
2021-03-05,recommend having good phone otherwise will be harddoes the job,5.0,4
2023-11-25,bad,4.0,1
2023-09-16,"terrible UI, deleted",2.0,1
2023-05-03,"terrible , so slowcant believe how bad it is",1.0,1
2018-05-03,wow so good,3.0,5
2022-05-07,recommend having good phone otherwise will be harddoes the job,2.0,4
2023-10-26,wish it had a easier way to load with money,2.0,3
2021-03-25,perfect and easy to use,4.0,5
2020-07-01,"i dont hate it, but i dont love it either..",3.0,3
2018-10-14,perfect to buy and sell easily,2.0,5
2020-05-21,wish it had a easier way to load with money,1.0,3
2023-07-21,excellent,5.0,5
2021-12-24,"i dont hate it, but i dont love it either..",2.0,3
2023-01-23,perfection,5.0,5
2019-06-25,neutral,4.0,3
2019-01-01,3 out of 5 i guess,2.0,3
2021-09-01,bad,3.0,1
2020-11-06,soooo good,4.0,4
2019-07-29,soooo good,4.0,4
2021-02-12,soooo good,3.0,4
2022-01-14,good,1.0,4
2023-11-15,excellent,3.0,5
2023-08-03,uauh terrible,3.0,1
2022-03-19,"terrible , so slowcant believe how bad it is",5.0,1
2021-03-27,soooo good,1.0,4
2023-12-30,wow so good,5.0,5
2020-04-01,3 out of 5 i guess,4.0,3
2018-08-02,neutral,1.0,3
2018-02-08,very good,4.0,5
2021-07-13,hard to tell sometimes good sometimes badnot good not bad.. does the job,3.0,3
2017-08-18,"cant be that bad, but its not perfectnever again using",3.0,3
2020-04-13,very good,2.0,5
2022-06-06,GREAT APP,3.0,5
2021-12-08,neutral,4.0,3
2019-05-12,perfect and easy to use,5.0,5
2018-02-26,very good,2.0,5
2018-03-03,hard to tell sometimes good sometimes badnot good not bad.. does the job,4.0,3
2019-12-02,soooo good,5.0,4
2020-08-15,wow so good,5.0,5
2023-01-07,wish it had a easier way to load with money,3.0,3
2021-05-18,wow so good,4.0,5
2017-08-29,perfect to buy and sell easily,4.0,5
2019-01-02,very bad,5.0,1
2023-10-29,wish it had a easier way to load with money,3.0,3
2017-09-24,bad,1.0,1
2018-06-03,2 out of 5dont even install,4.0,1
2019-05-13,omg fantastic,4.0,5
2017-07-06,very good,5.0,5
2017-01-09,amazing app i recommend,4.0,5
2023-01-22,good,4.0,4
2022-08-20,GREAT APP,5.0,5
2017-06-08,perfect to buy and sell easily,5.0,5
2022-05-09,uauh terrible,5.0,1
2017-11-12,"i dont hate it, but i dont love it either..",4.0,3
2019-04-05,3 out of 5 i guess,5.0,3
2022-05-20,wish it had a easier way to load with money,5.0,3
2019-10-05,wish it had a easier way to load with money,2.0,3
2023-08-09,bad,2.0,1
2018-07-14,hard to tell sometimes good sometimes badnot good not bad.. does the job,1.0,3
2022-05-03,excellent,4.0,5
2019-03-28,perfection,1.0,5
2023-02-05,perfect and easy to use,1.0,5
2019-06-28,"cant be that bad, but its not perfectnever again using",2.0,3
2021-10-09,"terrible , so slowcant believe how bad it is",3.0,1
2022-10-14,"cant be that bad, but its not perfectnever again using",4.0,3
2020-12-25,neutral,1.0,3
2019-01-27,mediocre,3.0,2
2018-01-16,recommend having good phone otherwise will be harddoes the job,1.0,4
2017-09-03,wish it had a easier way to load with money,4.0,3
