timestamp,reviews,rating,sentiment
2022-04-23,The app isn’t functioning I placed a trade and now I can’t access the app to adjust my trades. Please do something about it. I’ve lost trades cause of this glitch up to three times.. please don’t make this a fourth..,5,1
2021-07-30,Please work on the app. There have been challenges coming out of a trade. E.g. You set a price and the mark price is far below the below the price you set in Short trade yet the market will not be executed and this is causing me to lose money. Please don’t destroy your good reputation by this kind of bug. Fix it.,5,1
2022-10-02,"If I’m permitted to change the name of this exchange, I will change it to CoolCoin. Their platform is to cool and not complicated, it is easy to use and user friendly. If not for KuCoin existence I would stop dealing crypto. But now I’m fully back to crypto trading. Thanks to KuCoin.",5,5
2021-05-21,"Doesn’t seem tot know what he or she is doing. Apparently feedback isn’t allowed in the group. Asked why we have to pit in trading pin every time, got a vague answer that made no sense, and then got bashed for even asking in the first place.

Binance literally asks for feedback so they know how to get better for users, but apparently not the same for kucoin.

Left the group, most people joined for free stuff anyways and there’s barely anything educational in the group.",2,2
2022-12-26,Kucoin is an excellent platform to trade with and I’m satisfied with their customer service support. Am expecting Kucoin to perform better in 2023 and become the number trading platform in the world. Kindly help us bring back prediction!!!,5,5
2022-01-01,"My Experience with Kucoin was great all the way, I’m grateful for the honour I got from you at Kucoin family, Please Do more, thanks for all the give always you’ve been doing, even though, I’ve not received any.",5,5
2021-12-17,I rated you high because your interface is user friendly,5,5
2022-11-12,"KuCoin Wallet is a very lovely application.
Unfortunately, there's no way I can give a 10 Star Rating.

The User Interface is top-notch. Shoutout to the UI/UX designers for coming up with this anesthetic design.",5,3
2021-12-31,KuCoin is the most user friendly platform for my Crypto Journey and it’s very reliable and has the most effective security to store and trade your Digital Currency.,5,5
2022-05-07,Alhamdulillah thank you for the 5 Usdt before I don’t even have capital but thanks to kucoin for new users free 5 usdt capital now i have capital Alhamdulillah and one day i will repay u kucoin insha Allah,5,1
2021-12-14,I love the app but my issue is that I can’t upload my national ID card please you guys should help me out of it,5,3
2022-03-22,I’ve been trying for the 30th time to bind my card but it keeps failing. Please try to assist me as soon as possible. I’ve done my advance KYC procedure but cannot bind my card. What seem to be the issue?,3,2
2022-08-13,Please has anyone ever verify their KuCoin account in Nigeria cus I have been trying to verify mine it not working,5,1
2021-12-12,"Honestly to state after series of discernment, KuCoin is really a cryptocurrency exchange platform to go with. Don’t just try it, just be there and get along. You will appreciate me later.",4,4
2019-05-13,"This has got to be one of the poorest mobile apps for an exchange I've used. Very slow to respond. Also doesn't update frequently and freezes. I HAVE LOST MONEY because of it's inconsistencies. 
Until the developers are able to sort the many issues with the app, I do not recommend just stick with web. Smh",1,1
2021-12-24,"Still trying to understand this app. 
Looks easy though",4,3
