timestamp,reviews,sentiment,rating
2023-04-22,我们提供专业、安全和用户友好并且低费用的服务加入我们，赚取更多一路顺风路路发👉👉👉 邀请码推荐码🍹👉QBSAP3ZJ👈🍹 KuCoin 是三大加密货币交易所之一，在全球拥有超过 2000 万注册用户。在这里开始交易 700 多种加密货币，如比特币 （BTC）、以太坊（ETH）、新的加密货币甚至是 MEME 币，我们提供专业、安全和用户友好并且低费用的服务,5,
2023-06-03,为什么马来西亚的不能充值的？,2,
2021-12-23,可以加邀请码r3CPSJP，大家同享多一点福利喔😍😍😍。不错的App，暂时还没问题。只是赠金部分如何领取的说明不清楚。所以玩了这样久合约都没拿到。,1,
2021-07-07,"1：没有持仓列表 2：没有委托订单列表 3：订单无法改价格 数量 合约没法改倍数 止损 止盈价格 4：世界排名已经掉出前5,吃老本，混吃等死",1,
2019-08-15,新上线的红包功能很有创意，很好玩。,5,
2022-01-01,合约亏75%就强平到一毛都不剩，设置止损直接给我止损价成交。没有成交也有几千的挂单来回跳动。合约是在跟平台做对手盘？,1,
2019-08-15,非常不错的一家良心交易所，使用也非常方便,5,
2021-12-26,20倍合约3个点就爆仓亏完了，显示几千的挂单几张成交就拉几个点位。账号莫名其妙的登陆不上，这就是你们的解决方案？,1,
2023-01-23,kucoin资不抵债有可能无法大量提币，用户注意资金安全，删评论我就重发一次,1,
2022-01-09,这个交易所很好用，快来吧，兄弟们，币圈大佬带，实现财富自由，+微信 :WW0988901,5,
2020-08-01,短信验证码收不到。,1,
2020-11-11,流畅度不错，行情起飞,2,
2021-09-26,无法收到手机验证码,1,
2019-06-16,不刷单.是个好的交易所,5,
2023-03-17,我的邀请码:rM6DSZU，欢迎注册酷币，cnhc铆定交易所。,5,
2021-08-29,返佣20%邀请码：r3VB75C KuCoin是全球知名的数字货币交易所，支持多种数字资产交易。KuCoin成立于2017年9月，目前已成长为最受欢迎的数字货币交易所之一，为全球207个国家和地区的800万用户提供数字货币交易一站式服务。输入邀请码一起返佣,1,
2023-02-08,垃圾騙子平臺，隨意凍結賬戶黑用戶的數字資產,1,
2021-10-09,显示错误的市值，1亿竟显示只有250万。,1,
2021-07-20,邀请码:rJQ743K KuCoin是全球知名的数字货币交易所，支持多种数字资产交易。KuCoin成立于2017年9月，目前已成长为最受欢迎的数字货币交易所之一，为全球207个国家和地区的800万用户提供数字货币交易一站式服务。 输入邀请码一起返佣,1,
2022-04-24,产品好用，但脑子不好使，正所谓上有政策，下有对策，真不知道这老板是不是中国人,2,
2021-10-09,价格比其他交易所贵，会当机导致不能交易，还没有赔偿…现在机器人进不了，大家小心这家交易所,1,
2021-07-06,使用推荐码: rJT73HV 返佣一起拿。 实实在在，不忽悠人。,3,
2022-01-08,看美国。股票。价格多少？美国兑换中国人民币和泰国支票。,1,
2022-02-13,👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻非常好的交易平台~,5,
2018-12-20,刷新出图太慢了！！！,5,
2021-10-05,不知道为啥登录不上了,1,
2019-10-17,app清晰，合约挺喜欢,5,
2022-03-12,rBQ3T4G 请填写这个邀请码。各种优惠好礼赠送。,5,
2021-12-10,生币款式不够多。,3,
2021-08-27,挺好用的,5,
2019-04-18,挺好用的,5,
2021-08-31,新加入kukoin的朋友们可以在注册时填写以下邀请码rJ2TU1P以便在交易时享有手续费回扣,5,
2021-11-22,填写kucoin最新的合伙人邀请码 r3WCHA9 可以获取最高45%的交易返佣。,5,
2022-05-13,非常好 爱了爱了,5,
2021-08-27,使用邀请码享受交易费折扣：rJ8PVYJ,5,
2019-03-01,比v1流畅许多,3,
2022-11-23,怎样出售ustd 去新币？,1,
2022-02-23,rBNYUV2 请填写我的邀请码 领取手续费折扣 双赢！,5,
2022-05-14,邀請碼rP4J5JE，佣金可返現30%,1,
2022-06-19,睡个觉起来 挖到辛苦的币 既然被hack 🤔🤔🤔🤔,1,
2021-08-14,填写邀请码: rJXW3KX,4,
2022-01-18,新加坡可以吗？,1,
2022-01-01,邀请码rBB1KB3,5,
2022-03-25,rPJ6VAK 来来来,5,
2023-03-28,Good 👍,4,
2023-02-09,very good,5,
2022-08-23,非常好用,4,
2022-05-03,Good,4,
2022-07-06,BTC,5,
2022-02-25,Good,4,
2022-02-16,垃圾,1,
2022-01-16,good,4,
2021-12-18,good job,4,
2021-12-26,Note,4,
2021-12-20,good,4,
2021-11-23,骗人的,1,
2021-11-13,疯子平台,5,
2021-11-12,Always out services??!!! Hello!!,1,
2021-10-27,why your system always jam,1,
2021-09-09,快捷，方便,5,
2021-08-28,OK good,3,
2021-08-28,Ok,3,
2021-02-14,etn,4,
2019-06-21,very good,5,
2019-08-15,"Thanks to kucoin I traded digital currency here and bought a lot of kcs, I became very rich, bought a new car and a bigger house.",5,
2019-03-02,nice,4,
2019-02-19,Nice features.,4,
2018-07-06,太垃圾,1,
2018-05-23,除了刷新比较慢以外其它都很好,4,
2018-05-21,cool,5,
2018-05-15,挺好的的一款应用,5,
2018-05-15,相当好用！期待已久！,5,
2019-08-15,The new app is smoother and more professional. It is worth mentioning that the red envelope function is very grounded. Thanks to KuCoin.,4,
2021-07-30,很不好用,2,
2022-08-31,呵呵,2,
2021-11-28,垃圾,1,
