timestamp,reviews,sentiment,rating
2021-04-01,perfection,5,
2022-11-07,good,4,
2023-08-21,uauh terrible,1,
2023-04-02,never again using,1,
2019-07-09,GREAT APP,5,
2023-05-10,not good not bad.. does the job,3,
2021-08-03,omg fantastic,5,
2022-01-08,"i dont hate it, but i dont love it either..",3,
2021-08-05,"i dont hate it, but i dont love it either..",3,
2019-05-28,dont even install,1,
2018-01-03,dont even install,1,
2017-08-01,amazing app i recommend,5,
2023-10-08,"i dont hate it, but i dont love it either..",3,
2017-06-30,not good not bad.. does the job,3,
2019-05-08,"terrible UI, deleted",1,
2018-03-03,does the job,4,
2018-09-09,GREAT APP,5,
2018-03-03,omg fantastic,5,
2019-02-07,bad app,1,
2018-12-02,uauh terrible,1,
2022-08-05,not good not bad.. does the job,3,
2019-07-20,GREAT APP,5,
2022-05-05,wish it had a easier way to load with money,3,
2021-12-22,very bad,1,
2019-10-14,wish it had a easier way to load with money,3,
2021-01-30,"i dont hate it, but i dont love it either..",3,
2019-07-04,3 out of 5 i guess,3,
2020-06-17,excellent,5,
2020-01-07,never again using,1,
2020-12-26,excellent,5,
2018-03-31,neutral,3,
2018-06-26,very bad,1,
2023-11-24,excellent,5,
2022-02-12,very good,5,
2022-11-15,neutral,3,
2019-10-06,3 out of 5 i guess,3,
2017-08-15,amazing app i recommend,5,
2020-01-29,wish it had a easier way to load with money,3,
2017-12-08,perfect to buy and sell easily,5,
2022-03-30,perfection,5,
2017-12-23,good,4,
2023-06-19,very good,5,
2022-01-08,wish it had a easier way to load with money,3,
2018-07-19,never again using,1,
2017-11-29,3 out of 5 i guess,3,
2017-07-22,"i dont hate it, but i dont love it either..",3,
2021-11-17,3 out of 5 i guess,3,
2021-07-11,excellent,5,
2021-04-24,good,4,
2021-12-10,never again using,1,
2018-05-16,amazing app i recommend,5,
2018-01-16,perfection,5,
2019-11-07,not good not bad.. does the job,3,
2017-10-07,never again using,1,
2021-06-23,very good,5,
2017-09-30,uauh terrible,1,
2022-12-30,wow so good,5,
2020-12-29,"terrible UI, deleted",1,
2017-11-09,very bad,1,
2020-05-26,GREAT APP,5,
2017-02-26,neutral,3,
2019-07-27,dont even install,1,
2019-10-22,wish it had a easier way to load with money,3,
2022-04-28,"i dont hate it, but i dont love it either..",3,
2023-10-28,excellent,5,
2020-01-23,dont even install,1,
2022-03-01,good,4,
2020-06-06,excellent,5,
2023-10-14,good,4,
2023-02-18,cant believe how bad it is,1,
2017-01-19,amazing app i recommend,5,
2022-11-24,"i dont hate it, but i dont love it either..",3,
2022-09-20,GREAT APP,5,
2022-12-27,wow so good,5,
2018-11-16,does the job,4,
2022-04-05,wish it had a easier way to load with money,3,
2017-05-05,very bad,1,
2017-03-09,good,4,
2019-04-02,"terrible UI, deleted",1,
2023-10-17,perfection,5,
2021-10-20,never again using,1,
2021-07-20,amazing app i recommend,5,
2018-01-12,"i dont hate it, but i dont love it either..",3,
2019-12-14,good,4,
2017-10-18,good,4,
2020-07-17,never again using,1,
2020-08-10,never again using,1,
2023-03-27,not good not bad.. does the job,3,
2018-12-13,perfect to buy and sell easily,5,
2023-08-07,cant believe how bad it is,1,
2018-06-23,bad app,1,
2021-06-29,uauh terrible,1,
2017-11-17,does the job,4,
2018-04-10,very bad,1,
2018-05-14,neutral,3,
2020-03-30,neutral,3,
2019-04-08,uauh terrible,1,
2017-11-22,dont even install,1,
2022-09-08,very good,5,
2017-08-29,very bad,1,
2023-03-02,GREAT APP,5,
2020-06-09,never again using,1,
2023-09-18,uauh terrible,1,
2020-08-08,omg fantastic,5,
2023-06-13,never again using,1,
2022-05-16,cant believe how bad it is,1,
