timestamp,reviews,rating,sentiment
2022-01-27,Usem meu código: rBZ3PW6,5.0,5
2022-04-11,Usem meu código para ganhar prêmios rP88J62,5.0,5
2023-04-26,Código exclusivo:  rMYN6NY,5.0,1
2023-06-07,"Fiquei até com medo de usar, baixei e já vou deletar, tem tantos comentários negativos, galera que perdeu dinheiro no Pix e tal, que eu desistir de usar o app, hoje em dia n da pra confiar nessas corretoras n, uma pior que a outra! Elas sempre ganhando e a gente sempre se lascando, TO FORA!",1.0,1
2023-05-23,Nuca consigo fazer pix sempre dar falha de transações agr nem sei oq fazer mais muito ruim mesmo,2.0,3
2023-05-08,Ladroes,1.0,5
2023-05-01,"Não tem PNL, não é possível editar o gráfico ferramenta extremamente importante, tem que trocar de corretora pra visualizar o gráfico, aí acabo ficando na outra corretora msm! Kkkk. Tem que melhorar isso.",3.0,1
2023-04-29,"Fiz um depósito via pix R$500,00. E nunca recebi meu dinheiro. Entro em contato com a KuCoin é nada de retorno! 😔perdi meu dinheiro.",1.0,1
2023-02-25,It's super easy to use it.,5.0,5
2023-04-11,"Pior corretora disparada, são praticamente bandidos fiz um pix de 1000 reais, total descaso comigo, me mandaram um suporte em inglês tive que usar o tradutor, e ainda por cima sumiram. Não recomendo nem pro meu pior inimigo não baixem.",1.0,1
2023-03-27,Fiz Pix para minha conta KuCoin e nunca caiu já falei com suporte on-line até agora não resolveram,1.0,5
2022-08-19,"Fácil de usar, oferece mais proteção que as outras, pix disponível, grande número de moedas e taxas baixíssimas. Os bots são ótimos!",5.0,5
2023-02-23,"Já estou a mais de 2 meses  tentando válida minha identidade para consegui usa a conta mais não aceita meus documentos . E quando não aceita , o app aceita e manda espera 48h e depois diz que dá erro . Já tentei fala com o suporte lá pela plataforma mais tá cada vez difícil te defender kucoin",1.0,1
2023-02-06,Lag no brasil,4.0,1
2022-10-18,"Aplicativo ladrão! Na hora de validar para sacar, nunca da certo! Nunca consegui fazer a validação!",1.0,1
2022-09-14,Indisponível essa opção,1.0,5
2022-06-28,"Coloquem esse código e já começa ganhando tropinha. 

rPFQFH3",5.0,1
2022-08-07,Faz 1 mes que depositei 230 reias e ate hoje nao caiu e eles falam que estao em manutenção,3.0,1
2022-08-02,Não consigo fazer depósito na carteira Fiat sempre indisponível para pix ou cartão de crédito e não tem mais nenhuma opção.,1.0,1
2022-07-19,"Todas outras corretoras que fiz kyc foi em menos de 2 minutos, na kucoin pedem 1 semana",1.0,1
2022-01-29,Gostei.. basta seguir as informações que da tudo certo,5.0,5
2022-06-20,"Gente, pensa em um app complicado, agora dobra haha.. mto complicado, fora que não tem atendimento on-line, é um robô",1.0,1
2022-05-16,"It’s already been 1 month that I cannot login into my account because of sms error, I already contacted the support and they did nothing to help me and keep saying the same solution but it don’t work",1.0,1
2022-04-18,"Lots of annoying bugs, abusive ADs, and it Asks for a passphrase almost everytime you put an order, which disturbs a lot!",1.0,1
2022-03-17,"Não baixem este app é fraude!
Depositei dinheiro em R$ e não há como comprar nenhuma cripto e muito menos sacar.",1.0,1
2022-02-05,"Be careful if you are going to buy the minimum in a spot currency, they deduct the fee from the value and then you can't convert anything in the app. they do it to force us to recharge again",1.0,1
2022-01-22,Fácil e pratico  ​  ,5.0,4
2022-01-22,"cọm certeza a melhor corretora que já utilizei. 
Utilize o código KTAJLNT7 para ganhar um 
Bônus inicial no seu primeiro depósito. ‌    ",5.0,5
2022-01-21,Melhor corretora de Criptomoedas. Ganhe desconto na taxa de administração usando o ID de Identificação: MJIMUSRU.  ​  ‍ ,5.0,5
2022-01-19,kucoin é a melhor e maior do mundo cọm as menores taxas. Para ganhar bônus no primeiro deposito e nos trades use o código: N3KNVQ2S  ‌  ,5.0,5
2022-01-19,Banco incrível ​‌‍ ‌ ​  ,5.0,1
2022-01-17,"use the reward code. Utilize o código de recọmpensa. LIMIT_RL23S853

Ou use esse :    ‌   ",5.0,5
2022-01-17,"Gostando muito do app ate o momento
Espero não me arrepender! ‍ ​​    ",5.0,5
2022-01-15,App de fácil acesso a movimentações financeiras..:  ‌    ,5.0,4
2022-01-13,Preenchi todos os meu dados corretos cọmo da identidade e diz que a inconsistência entre o cpf e o nome queria que melhorarem isso preciso da kucoin ‌ ‍  ‌,5.0,1
2022-01-13,This horrible update doesn’t allow me to make any trades because your incredibly silly fox doesn’t fit the screen and I can’t click on whatever button you’ve got,1.0,1
2021-12-26,Usem meu código para ganhar recompensas  rBB2W5L,5.0,5
2021-12-10,A transparent secure brokerage with the best currencies launches promotions for my best brokerage in the world Uma corretora segura transparente com as melhores moedas lançamentos promoções pra minha melhor corretora do mundo,5.0,5
2021-06-16,Love the app... but could you please stop pasting my clipboard every time I open it?,4.0,3
2021-07-08,"A plataforma é legal, mas perde a eficiência pq não tem como comprar em BRL, sendo assim tenho que comprar USDT na Binance e mandar pra minha carteira pra depois poder comprar",2.0,2
2019-08-09,Best exchange of the world,5.0,5
2021-04-24,"What an awful platform! Apple pay is not working. Most of my payment cards are rejected.
The ux is a disaster, and do not try to leave the app for a second or you’ll have this annoying banner that will force you to redo all your nav.",1.0,1
2021-04-09,"Toda hora desconecta e precisa fazer novamente o login e o bot não carrega, preciso toda hora limpar o cache!",3.0,1
