timestamp,reviews,rating,sentiment
2018-11-09,trash app,2.0,1
2020-04-12,3 out of 5 i guess,3.0,3
2023-01-08,trash app,4.0,1
2021-09-13,soooo good,2.0,4
2020-12-11,wish it had a easier way to load with money,3.0,3
2021-04-01,wow so good,3.0,5
2021-03-17,mediocre,4.0,2
2020-08-20,bad app,4.0,1
2022-04-09,perfect to buy and sell easily,2.0,5
2017-09-01,wish it had a easier way to load with money,5.0,3
2018-08-06,good,1.0,4
2021-03-06,omg fantastic,5.0,5
2023-12-26,"cant be that bad, but its not perfectnever again using",3.0,3
2022-08-30,soooo good,4.0,4
2022-05-02,perfection,2.0,5
2020-05-06,wow so good,3.0,5
2023-02-24,perfect and easy to use,5.0,5
2021-06-20,2 out of 5dont even install,4.0,1
2019-05-05,wow so good,2.0,5
2017-03-11,wish it had a easier way to load with money,1.0,3
2017-01-16,hard to tell sometimes good sometimes badnot good not bad.. does the job,4.0,3
2022-10-06,uauh terrible,4.0,1
2018-10-17,bad app,5.0,1
2022-04-20,perfection,2.0,5
2020-10-10,"cant be that bad, but its not perfectnever again using",2.0,3
2018-04-22,2 out of 5dont even install,1.0,1
2022-08-23,perfect to buy and sell easily,2.0,5
2019-04-12,hard to tell sometimes good sometimes badnot good not bad.. does the job,3.0,3
2020-11-16,bad,5.0,1
2018-04-16,recommend having good phone otherwise will be harddoes the job,4.0,4
2017-05-06,uauh terrible,4.0,1
2019-02-05,very good,5.0,5
2019-05-19,"cant be that bad, but its not perfectnever again using",1.0,3
2017-08-05,2 out of 5dont even install,3.0,1
2021-10-23,"cant be that bad, but its not perfectnever again using",3.0,3
2019-09-13,wow so good,4.0,5
2022-09-30,omg fantastic,1.0,5
2022-05-09,wish it had a easier way to load with money,4.0,3
2020-02-17,3 out of 5 i guess,1.0,3
2023-01-12,bad app,4.0,1
2017-07-17,neutral,3.0,3
2019-07-28,perfect and easy to use,3.0,5
2022-07-14,"i dont hate it, but i dont love it either..",2.0,3
2022-05-12,omg fantastic,3.0,5
2017-06-18,trash app,2.0,1
2017-08-05,good,5.0,4
2017-12-14,wow so good,3.0,5
2018-12-28,very good,1.0,5
2018-07-22,bad app,3.0,1
2023-06-08,very good,5.0,5
2022-12-31,2 out of 5dont even install,2.0,1
2020-01-20,perfection,2.0,5
2021-01-16,recommend having good phone otherwise will be harddoes the job,2.0,4
2018-09-27,recommend having good phone otherwise will be harddoes the job,3.0,4
2020-03-13,soooo good,2.0,4
2023-11-12,"terrible UI, deleted",2.0,1
2017-12-18,neutral,5.0,3
2019-12-19,2 out of 5dont even install,1.0,1
2022-12-19,soooo good,1.0,4
2020-09-13,recommend having good phone otherwise will be harddoes the job,4.0,4
2023-04-03,wow so good,4.0,5
2019-03-28,excellent,5.0,5
2022-12-30,wish it had a easier way to load with money,4.0,3
2017-10-20,perfect and easy to use,4.0,5
2022-09-21,"cant be that bad, but its not perfectnever again using",1.0,3
2023-02-03,recommend having good phone otherwise will be harddoes the job,2.0,4
2023-08-08,very bad,4.0,1
2021-10-10,wow so good,4.0,5
2021-02-11,recommend having good phone otherwise will be harddoes the job,5.0,4
2018-11-29,amazing app i recommend,5.0,5
2017-06-13,uauh terrible,3.0,1
2018-12-15,hard to tell sometimes good sometimes badnot good not bad.. does the job,5.0,3
2019-08-16,omg fantastic,2.0,5
2023-10-08,recommend having good phone otherwise will be harddoes the job,2.0,4
2022-03-16,good,5.0,4
2021-02-06,bad app,3.0,1
2020-11-18,very bad,3.0,1
2023-04-03,excellent,2.0,5
2018-11-22,"terrible UI, deleted",2.0,1
