timestamp,reviews,sentiment
2022-06-24 00:10:09,"A Binance é a maior exchange do mundo, onde há uma diversificação de produtos que é fantástica. Mas infelizmente, sua parte de TI e suporte deixam muito a desejar. Tanto o app, quanto o desktop e o app para Windows, apresentam muita instabilidade, travando a todo momento, principalmente as partes de exchange e trade. Isso vem ocorrendo a pelo menos uns 4 dias. Já alterei a rede, limpei cache, alterei a conexão, desinstalei e instalei o app, etc, mas nada resolve. Espero que possam resolver isto.",2
2022-01-24 12:55:54,"Está praticamente impossível fazer a verificação de identidade com vocês. Eu já insisti diversas vezes com o anexo do documento e sempre retorna para a tela inicial. É necessário uma atualização ou correção desse bug de maneira urgente! Trata-se de um problema que praticamente afetou a todos. Esperava mais acessibilidade de vcs por tantas boas indicações, mas vejo que devo buscar outras opções de corretoras no mercado se perpetuarem assim.",1
2023-05-23 17:40:06,"É impressionante como o app está lento e bugado, há vários dias assim e nada. Os gráficos demoram a atualizar, fica falando de falha na rede, mas só no app da Binance isso. Vergonha para a maior corretora do mundo.",1
2023-04-16 16:41:50,"Bug na parte dos desenhos. É muito ruim fazer traçados neste app. Os limites ficam muito nas bordas do gráfico e muitas vezes não consigo selecionar um item específico para editar ou excluir me obrigando a excluir todos os desenhos. As vezes queremos traçar algo que passa dos limites da tela, não tem como traçar pois a tela não rola nem para cima nem para baixo.",2
2023-03-30 16:34:56,Essa última atualização está muito ruim. Travando em uma tela branca no ajuste de stop e posição. Perdi dinheiro por isso. Se não corrigir brevemente a Bybit ganhará um novo cliente. Limpei o cache e reinstalei e com ordem aberta sem stop porque o botão de fechar a operação está fora do campo da tela. Aguardando resolução.,1
2023-05-01 20:21:45,"Horrível. Poderia ser mais simples, pois perdi o acesso a minha conta porque formatei o celular e quando baixei novamente eu não consegui entrar mais. Não reconheceu meu dispositivo. Segurança da binance é quase perfeita mas impossível de fazer a verificação, sempre recusando os documentos e além de que para recuperar pede muita coisa.",1
2023-04-28 04:53:56,"Só estou dando uma estrela pois não posso dar zero, aplicativo HORRÍVEL. Suporte TERRÍVEL. Não funciona. Não atende ao usuário, não tem pontualidade com palavra quando diz que uma questão será corrigida, não tem funcionalidade, simplesmente ineficiente. Muitas outras carteiras são muito melhores e garanto que não causarão tanta frustração quanto essa causa. Simplesmente descaso com o usuário, não dá a mínima para o mesmo. Horrível. Broxante. Inútil. Não serve. Quebrado.",1
2023-04-24 00:14:26,"Minha experiência com a Binance foi decepcionante. Funcionalidades confusas, promoções mal explicadas e falta de suporte ao cliente (isso é imperdoável). Ontem decidi encerrar a conta e ainda tinha uma merreca lá. Absurdo não darem opção de transferir o saldo pra conta. Ainda bem que só tinha 7 reais. Nem um mísero email mandaram pra confirmar o encerramento, automático que fosse. Repito: MINHA experiência foi nota zero do início ao fim. Não pretendo usá-la novamente. Muita gente pode gostar.",1
2023-06-12 16:36:42,"Passando para mudar minha avaliação considerando que as alterações feitas na plataforma deixaram o aplicativo mais confuso e cheio de ""propagandinhas"". O pior de tudo é não conseguir sacar moeda fiduciária, no caso reais via PIX. Antes funcionava tão bem. Estou muito decepcionada.",2
2023-06-10 00:22:22,"Para ser a melhor,tem de ser melhor em tudo!App bugado, já tive três stops violado, tá difícil confiar!Melhorem isso e lance o modo oco em mercados futuros,precisamos de segurança nas nossas transações,afinal é o nosso capital que está em jogo!Se melhorar,no futuro darei 5 estrelas com o novo feedback!🧐",5
2023-04-18 16:30:23,"Aplicativo horrível, pra colocar dinheiro é fácil agora pra tirar é uma ladainha do caramba, estou tentando tirar meu dinheiro e não consigo. Tenho problemas que não chega a verificação no meu email e não dá pra mudar pra outro email, na verdade não sei pra que tudo isso de verificação. Super desnecessário, que tivesse uma ou outra verificação, mas não, tem que ter no celular e no email. Horrível se não conseguir retirar meu dinheiro vou entrar no Procon! Absurdo, aplicativo horroroso, não baixe",1
2023-04-19 19:37:05,"É o seguinte,entrei por indicação dos irmãos gêmeos,disseram que era o melhor app para investir em criptomoedas e tal,porém quando coloco a minha identidade e tirar a foto dela,para confirmar a minha identidade,a foto está embaçada,pensava eu que era a câmera do meu celular,mas não é,o problema é do app que não deixa a imagem nítida para tirar a foto do documento,aí fica difícil binance,sempre serei rejeitado, então não dá continuar com essa conta,que mal abri e já vou cancelar!",1
