timestamp,reviews
2023-05-31 17:47:14,Доброго дня. Неможливо зайти в кабінет перекидає на гаманець.
2023-05-23 14:27:39,"Account temporary blocked, support cant help"
2023-05-24 09:40:54,Немож зарейструвати онлайн усі операторо переключают зразу ошуки
2023-05-06 23:46:01,Explain why my account was blocked ?? I can't log into my account and your idiot bot can't help me because he doesn't know how !!
2023-05-11 00:06:42,Сукі шоб вам на одну зарплату жити !!!!! Уебани!!!!
2023-04-29 09:39:04,"Useless app, none of the functions are available"
2023-05-05 23:49:30,Коинбасс ворует наши деньги немогу вивести хотел перевести на бинанс кошелек оказалось сумма на балансе превишает комисию платежа не рекомендую скам.без причин заблокировали акаунт с поддержкой не возможно связаться в акаунт не войти
2023-04-20 11:55:01,"Неможливо пройти верефікацію , вивести"
2023-04-03 07:02:06,"Чого зняття чи купівля в мої країні обмежена, ви що там курете, що за дискримінація😠😠"
2023-03-09 08:29:28,Thank You. 🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦
2023-03-04 14:26:31,Is it possible to undergo verification with a Ukrainian passport?
2023-02-25 03:18:01,"Just started, but so far liking the app."
2023-02-28 03:17:15,Very easy to use!
2023-02-19 05:52:12,My LTC alert prayers have been answered. Finally!
2023-02-20 05:05:09,"Love it. Easy and safe, wish they had more coins."
2023-02-17 09:22:28,"New to this, But so far, pretty easy to work with"
2023-02-19 09:22:44,High on the subjective appeal scale.
2023-02-20 03:20:36,Very classy well made app.
2023-02-16 03:17:21,App works well haven't had any bugs
2023-02-19 06:47:48,App interface seems better than the website.
2023-02-19 07:36:48,Intuitive and easy to use!
2023-02-20 15:51:27,Відсутня українська мова.оплата віртуальної валюти через картку українського банку не працює...добавте українську мову або хоча б російську мову. .
2023-02-18 05:02:06,Always works good!
2023-02-16 11:10:13,Decentralized Location Encrypt
2023-02-18 06:50:16,Fees are insanely high
2023-02-21 15:56:11,Super!
2023-02-21 02:12:06,Simple interface
2023-02-01 05:02:51,Just started using Coinbase. It’s user-friendly.
2023-02-01 02:17:53,Extremely easy to use!
2023-02-01 05:02:05,"Great, easy way to buy and sell!"
2023-01-31 09:42:27,Been using Coinbase for years and I love it.
2023-01-23 23:32:08,Чому такі великі відсотки(більше 20%) на вивід?
2023-01-21 17:30:23,"Перевели кошти,вони прийшли я їх бачу,а от вивести,або переказати не можу,бо пише дії обмежені,йде перевірка моїх даних,яка займає 1-2дні.Так вже другий тиждень перевіряють,звернувся до тех.підтримки,нічим не допомогли!"
2023-01-09 20:25:39,"Чому трансакція показана, а на загальному рахунку по 000?"
2022-12-18 18:58:13,"Мошенники. Сначало все было ок. Положил на свой аккаунт 200$. И сразу же был заблокирован. Потребовали документы подтверждающие мою личность и законность происхождения моих денег. На данный момент прошло 10 месяцев, мой счёт все так же заблокирован, а у них полно моих документов, платежных ведомостей и т.д. НЕ РЕКОМЕНДУЮ ЭТУ БИРЖУ."
2022-12-03 21:24:34,Чому не змінюється мова? Куди зникли налаштування мови?
2023-03-13 22:06:13,Де вибір мов?!?що за хуйня неможливо ввійти навіть ввівши код із смс кидає на йобану сторінку авторизації і створення нового гаманця???
2022-09-16 16:00:29,Does not verify the person. Does not accept a photo from an old-style passport
2022-09-03 11:35:49,"Не знаю як на картку, а на інший гаманець перекидає нормально. Рекомендую."
2022-07-23 11:22:08,Marche pas. Je de argent sûr la compté !!!
2022-08-14 19:40:54,Ок
2022-07-10 13:33:23,Как перевести на русский язык или украинский
