timestamp,reviews
2023-06-06 14:39:02,Рефералка спеціально для вас: QBSYJPS2
2023-05-09 18:32:26,Реф комк треба QBSACBPU
2023-02-28 20:44:30,хороша платформа 🥰
2023-02-02 22:07:03,"Немає української мови,незручно"
2022-11-22 09:07:48,Almost entirely KYC-less exchange. Low fees and minimum withdrawal. Don't have any better.
2022-10-05 10:18:25,топ
2022-09-27 22:02:19,"Неможливо зарегатись((, постійно видає помилка мережі чи ще якась х...ня!!!,як після цього про щось з вам говорити??? Дебілізм!!!"
2022-10-07 19:36:02,Дуже великі комісії
2022-09-13 21:14:43,Немає української мови!
2022-09-17 08:10:49,"На сторінці додатку в маркеті побачив один із способів поповнення PayPal, що для мене дуже зручно, тому встановив. Насправді PayPal відсутній, як для поповнення, так і для виводу коштів. Плюс відсутня українська мова... Жодних переваг в порівнянні з Бінансом"
2022-09-08 19:24:45,Неможливо зайти в додаток з нового пристрою. По лінку з мейлу відкриває і браузері а не в додатку. Тупіше зробити вже неможливо.
2022-08-16 18:13:49,мені норм
2022-07-24 07:53:47,"Сам додаток наче і непоганий з точки зору розробки, але служба підтримки практично відсутня. Вже четвертий день не можу розморозити депозит мерчанта. Відповідь оператора доводиться чекати добу або більше. І всі ці відповіді схожі на навмисне затягування часу. То перепитують чи я дійсно хочу відмовитись від статуса мерчанта і вивести кошти, то повідомляють, що моє звернення передане відповідним спеціалістам. В будь-якому разі, рекомендую шукати альтернативу. Request number 2035716"
2022-07-22 09:35:41,Як це працюе?
2022-07-26 13:06:19,гуд
2022-06-25 20:56:23,Додайте українську мову
2022-06-03 02:06:48,"Рекомендую, давно шукала подібну програму ☺"
2022-06-07 18:28:52,"навіть не знаю що написати ,крута прога ,я всім рекомендую"
2022-06-04 12:04:47,"додаток дуже зручний, приємний інтерфейс і функціонал, рекомендую"
2022-06-03 12:56:45,"Додаток супер, дуже зручно слідкувати за ринком"
2022-06-01 11:47:58,"Програма те що треба, чудово можна слідкувати за ринком крипти"
2022-06-03 11:53:21,"Це, мабуть, єдиний додаток, який легкий в користуванні, з маленькою комісією, з зручним інтерфейсом в сфері фінансів. Я задоволена, що можу заробляти гроші користуючись таким класним додатком"
2022-06-03 16:52:53,Чудовий додаток. Раджу.
2022-06-06 19:23:59,Додаток дуже зручний
2022-06-04 14:58:35,"Відмінна криптобіржа для трейдингу. Власний функціонал платформи є стандартним для криптобірж. Основні індикатори, базова аналітика – все це є. Дуже тішить плече до х100. Якщо грамотно співвідносити ризики та прораховувати ходи, можна отримувати значний дохід."
2022-05-30 14:52:23,"Корисний додаток, саме те що потрібно в теперішній час. Однозначно рекомендую!"
2022-05-31 18:24:54,"Для новачків в крипто-сфері,ця програма крута!"
2022-05-31 13:41:58,"Чудова програма і легка у використанні, задоволена!"
2022-05-31 14:32:22,"Мне нравиться приложение, все понятно и доступно. Сейчас это то что нужно."
2022-06-01 09:48:01,"Додаток топовий. Можна зберігати валюту, торгувати. Всі: рекомендую"
2022-06-01 21:48:12,"дуже корисна програма особливо у теперішній час,можна вільно слідкувати за криптовалютою. Всим раджу!!!"
2022-05-26 20:03:40,"Дуже потрібна програма у наш час,задоволена !"
2022-05-27 20:50:07,Чудовий додаток.Саме те що потрібно в наш час.
2022-06-01 07:37:31,"Дуже зручна у користування, рекомендую!"
2022-05-29 15:50:32,"Чудовий додаток,простий у використанні) я задоволена"
2022-05-31 17:04:09,"Найкращий додаток мені допоміг заробити гроші, Рекомендую"
2022-06-01 06:43:47,Дуже хороший додаток!!!
2022-06-01 13:43:41,"Чудовий крипто додаток для початку своїх інвестицій новачку, зробив тут свій перший портфель і все чудово. Подобається інтерфейс та плавні анімації, навіть на моєму старенькому телефоні літає!"
2022-05-30 19:46:54,Хороший додаток
2022-05-30 08:47:52,Все супер
2022-05-31 17:42:32,Все супер
2022-05-22 08:09:12,Зручна і проста у використанні криптовалютна Платформа Кукоін має всі підстави стати популярною!
2022-05-24 16:59:20,"Цікава програма, і прибуткова, головне мати терпіння."
2022-05-26 19:45:39,"Чудова криптобіржа. Має всі шанси ,щоб стати популярною."
2022-05-26 18:14:28,"Досить хороший і практичний додаток, ставлю 5 зірок!!"
2022-05-23 15:32:22,"Чудова криптобіржа, зручна у використанні. Рекомендую!"
2022-05-22 10:50:35,"Зручна у використанні платформа, рекомендую"
2022-05-25 19:10:09,"Задоволена. Серед багатьох додатків цієї сфери, приємно працювати саме з цим. Легко, зрозуміло. Дякую. Рекомендую👌"
2022-05-24 14:46:18,"Очень крутая криптобиржа, постоянно пользуюсь. Всё очень классно и удобно."
2022-05-26 09:59:04,Програма дуже проста та зручна у використанні❗ Рекомендую всім спробувати‼️
2022-05-24 15:02:09,Супер додаток криптовалют.Користуюсь із задлволенням і рекомендую друзям.
2022-05-22 13:32:33,Дуже зручна у використанні програма! Раджу всім👍👍👍
