timestamp,content,score
2018-09-17 05:51:12,very good,1
2017-03-01 13:08:09,"terrible UI, deleted",4
2022-11-14 20:54:19,wow so good,5
2023-03-14 07:30:13,does the job,4
2023-07-17 02:41:33,does the job,2
2023-08-09 23:21:42,perfect to buy and sell easily,5
2021-03-08 15:55:04,excellent,2
2023-08-20 16:50:04,uauh terrible,5
2023-12-18 23:16:44,very good,5
2021-01-26 11:30:25,"i dont hate it, but i dont love it either..",1
2022-09-24 16:58:19,bad,1
2021-03-12 17:51:01,"i dont hate it, but i dont love it either..",1
2021-09-13 18:05:52,neutral,3
2018-10-27 00:20:10,not good not bad.. does the job,4
2020-09-30 04:47:49,very good,2
2021-01-28 16:16:49,bad,5
2021-11-07 10:18:36,good,5
2019-01-18 08:19:54,"i dont hate it, but i dont love it either..",5
2018-12-24 06:36:21,omg fantastic,3
2017-11-29 07:18:50,perfection,5
2021-09-01 01:24:39,excellent,1
2017-10-06 11:42:38,omg fantastic,4
2021-07-13 06:23:45,wow so good,1
2020-02-23 03:05:17,3 out of 5 i guess,2
2022-04-12 21:02:54,perfect to buy and sell easily,3
2023-11-22 03:04:50,excellent,2
2018-01-04 09:07:28,amazing app i recommend,5
2023-06-09 18:10:54,bad,1
2023-10-30 01:41:20,cant believe how bad it is,1
2018-09-30 23:46:14,dont even install,4
2020-06-26 15:38:11,omg fantastic,3
2022-02-04 05:58:35,amazing app i recommend,3
2017-10-01 02:42:03,uauh terrible,2
2020-12-08 22:54:46,good,3
2019-03-09 13:14:30,excellent,4
2017-08-19 21:47:08,amazing app i recommend,1
2022-06-03 12:18:29,never again using,2
2017-05-03 18:19:37,wow so good,5
2017-04-08 21:30:45,"terrible UI, deleted",4
2023-08-18 11:00:09,never again using,4
2018-08-09 11:51:42,very bad,5
2022-10-20 02:44:39,perfect to buy and sell easily,5
2020-10-30 12:10:34,uauh terrible,1
2021-05-02 15:39:08,uauh terrible,1
2021-04-12 16:35:54,bad app,5
2017-10-18 06:09:32,cant believe how bad it is,3
2023-02-07 03:15:27,never again using,5
2021-06-06 08:37:45,dont even install,2
2020-03-13 10:23:12,bad,5
2023-06-07 20:16:46,never again using,5
2021-01-21 05:36:37,bad app,4
2017-06-22 13:22:07,neutral,4
2023-05-03 18:23:12,not good not bad.. does the job,1
2020-10-28 22:53:47,wish it had a easier way to load with money,2
2018-02-15 09:18:01,wow so good,1
2021-02-03 20:03:20,never again using,2
2017-08-14 00:38:33,3 out of 5 i guess,4
2020-11-27 15:38:30,"i dont hate it, but i dont love it either..",1
2017-12-03 16:26:24,bad,3
2020-08-26 02:02:27,never again using,1
2017-12-08 05:57:17,good,1
2022-05-29 18:13:55,"i dont hate it, but i dont love it either..",5
2020-06-17 16:37:39,not good not bad.. does the job,3
2022-09-18 11:29:48,bad,2
2023-12-22 07:44:45,amazing app i recommend,2
2022-02-21 00:08:55,dont even install,4
2019-07-14 23:56:47,perfect to buy and sell easily,2
2018-05-15 18:02:24,never again using,5
2020-04-04 03:13:51,wish it had a easier way to load with money,3
2020-01-20 08:17:44,perfect to buy and sell easily,4
2021-11-05 22:57:17,very good,2
2019-02-08 22:51:27,neutral,4
2022-08-27 13:24:47,very good,4
2020-05-14 02:06:33,dont even install,2
2021-06-15 17:53:34,"i dont hate it, but i dont love it either..",3
2021-05-26 10:27:04,bad,5
2021-08-17 19:26:22,wow so good,1
2023-04-11 16:04:07,does the job,5
2019-12-21 21:29:29,3 out of 5 i guess,5
2017-06-16 06:44:22,good,1
2021-11-20 06:03:36,very bad,5
2023-09-17 00:17:49,bad,3
2021-07-20 22:45:19,"terrible UI, deleted",5
2021-04-02 09:31:04,very good,1
2019-10-02 16:57:27,never again using,1
2017-04-24 10:13:12,GREAT APP,2
2017-11-26 07:12:32,cant believe how bad it is,5
2017-06-06 05:23:51,omg fantastic,2
2018-12-15 04:33:24,uauh terrible,5
2019-07-22 02:14:50,excellent,5
2020-12-04 15:39:20,bad app,3
2019-09-03 17:20:58,3 out of 5 i guess,2
2022-04-24 11:43:19,perfection,2
