timestamp,content,score
2019-12-26 12:54:57,uauh terrible,4
2023-09-15 10:36:22,perfection,5
2022-10-12 19:28:33,"i dont hate it, but i dont love it either..",5
2018-04-08 14:00:02,excellent,3
2019-08-08 07:01:35,good,2
2017-07-29 14:31:26,dont even install,1
2017-11-19 00:37:26,not good not bad.. does the job,5
2019-08-28 09:39:54,not good not bad.. does the job,4
2021-09-21 09:11:05,bad,4
2019-05-14 04:49:44,does the job,2
2020-06-05 13:10:16,neutral,2
2019-04-12 16:28:48,very bad,3
2017-02-13 03:55:53,wish it had a easier way to load with money,4
2020-09-08 10:39:28,wow so good,3
2023-03-23 15:42:23,excellent,3
2018-12-22 02:37:00,not good not bad.. does the job,3
2019-07-19 18:56:53,"i dont hate it, but i dont love it either..",3
2023-07-27 20:21:05,does the job,4
2018-08-25 18:12:58,"i dont hate it, but i dont love it either..",4
2017-11-16 09:56:59,perfection,4
2017-02-12 09:41:13,very good,1
2020-09-23 12:07:39,omg fantastic,5
2018-08-09 16:25:18,neutral,4
2018-03-25 17:11:49,cant believe how bad it is,1
2017-04-05 20:27:22,"i dont hate it, but i dont love it either..",1
2019-01-21 10:41:59,neutral,4
2017-02-04 18:14:40,3 out of 5 i guess,4
2023-05-07 16:21:43,never again using,1
2018-01-19 03:38:32,does the job,1
2022-04-27 23:54:24,not good not bad.. does the job,5
2021-02-03 16:57:06,bad app,3
2021-11-13 22:51:41,never again using,5
2020-12-17 00:37:49,good,5
2017-09-18 22:07:17,bad,4
2018-06-08 07:02:58,omg fantastic,1
2020-12-29 19:00:31,perfect to buy and sell easily,2
2021-10-12 08:19:13,never again using,3
2023-09-05 17:24:39,"terrible UI, deleted",3
2020-06-13 03:23:11,does the job,4
2018-01-07 15:04:56,not good not bad.. does the job,3
2017-11-12 08:01:42,"i dont hate it, but i dont love it either..",2
2019-11-01 11:47:41,perfect to buy and sell easily,4
2023-01-21 06:48:06,omg fantastic,4
2023-06-13 18:07:48,not good not bad.. does the job,2
2021-02-01 00:21:52,very bad,5
2020-09-10 06:18:59,omg fantastic,2
2022-05-13 17:48:16,GREAT APP,3
2023-08-24 02:59:14,never again using,3
2019-10-16 23:02:27,wish it had a easier way to load with money,2
2021-09-29 10:38:46,wish it had a easier way to load with money,1
2022-09-17 19:18:02,cant believe how bad it is,5
2018-01-27 15:24:35,uauh terrible,1
2023-02-07 03:39:49,bad app,2
2022-01-21 21:21:24,very good,2
2021-01-31 01:33:40,wish it had a easier way to load with money,4
2017-11-01 01:05:17,dont even install,5
2017-02-14 03:32:11,uauh terrible,4
2023-07-12 14:15:15,excellent,5
2019-08-04 05:26:06,"i dont hate it, but i dont love it either..",4
2023-09-19 12:46:46,GREAT APP,3
2022-08-11 17:54:58,excellent,2
2017-11-05 17:58:02,omg fantastic,4
2018-06-06 21:38:06,good,4
2019-08-27 20:33:45,neutral,4
2021-01-12 17:26:38,3 out of 5 i guess,2
2019-02-04 16:52:54,omg fantastic,2
2020-07-22 05:05:03,perfection,3
2023-01-04 14:49:13,amazing app i recommend,3
2018-12-04 00:27:47,"i dont hate it, but i dont love it either..",4
2017-12-27 05:56:47,very good,5
2021-09-12 12:20:38,very good,5
2018-05-03 13:38:09,cant believe how bad it is,4
2018-05-09 02:10:10,wow so good,4
2023-06-02 00:38:16,perfect to buy and sell easily,3
2021-06-28 06:03:18,good,1
2018-03-07 17:27:06,excellent,1
2018-10-23 10:39:38,not good not bad.. does the job,5
2023-04-30 07:36:16,perfection,1
2019-12-02 16:29:32,"i dont hate it, but i dont love it either..",1
2017-02-19 16:42:04,excellent,5
2021-11-02 15:31:55,"terrible UI, deleted",5
2017-12-05 17:54:50,"terrible UI, deleted",1
2017-04-19 03:36:55,never again using,3
2021-04-02 04:31:57,omg fantastic,2
2017-07-13 12:16:29,amazing app i recommend,4
2019-04-26 08:44:50,wow so good,4
2017-11-04 18:18:15,perfection,3
2020-12-13 18:08:53,omg fantastic,2
2023-09-13 20:43:59,amazing app i recommend,4
2023-12-03 23:47:59,3 out of 5 i guess,4
2021-11-07 17:48:47,bad app,3
2023-04-15 01:19:14,not good not bad.. does the job,3
2020-06-01 15:10:28,3 out of 5 i guess,1
2022-09-16 22:12:47,perfect to buy and sell easily,2
