timestamp,content,score
2017-04-01 01:59:45,cant believe how bad it is,5
2021-04-17 03:29:15,dont even install,5
2017-07-02 07:41:58,"i dont hate it, but i dont love it either..",5
2019-02-24 13:46:00,neutral,3
2021-03-23 23:43:03,uauh terrible,3
2023-01-01 09:41:27,3 out of 5 i guess,1
2019-12-14 05:06:41,omg fantastic,2
2020-01-20 03:21:14,dont even install,4
2017-12-01 14:32:07,excellent,5
2023-05-27 15:07:19,wow so good,5
2022-07-30 08:46:41,amazing app i recommend,2
2022-02-17 01:11:36,bad,1
2021-08-12 13:21:45,uauh terrible,1
2019-03-23 06:34:44,uauh terrible,3
2020-07-13 03:09:43,neutral,3
2021-05-28 00:18:15,GREAT APP,4
2018-08-11 16:13:57,"terrible UI, deleted",1
2020-06-15 05:28:57,perfect to buy and sell easily,4
2023-01-22 05:43:46,perfection,1
2018-01-21 20:48:45,very good,5
2021-12-26 09:35:02,dont even install,5
2019-11-18 06:17:44,very bad,1
2019-03-03 16:26:40,very bad,4
2019-01-10 01:30:24,wish it had a easier way to load with money,3
2023-05-22 00:03:23,does the job,5
2017-10-23 13:51:32,omg fantastic,4
2018-03-26 11:36:28,perfection,5
2021-03-18 02:35:54,never again using,3
2021-07-25 20:14:43,not good not bad.. does the job,3
2018-04-04 17:20:44,excellent,2
2022-04-29 03:31:38,3 out of 5 i guess,3
2023-04-13 00:53:24,"i dont hate it, but i dont love it either..",2
2020-01-13 16:55:54,dont even install,2
2020-07-27 20:46:32,cant believe how bad it is,1
2020-02-04 20:19:37,"terrible UI, deleted",4
2020-03-30 08:44:40,wow so good,1
2017-09-05 08:29:46,"i dont hate it, but i dont love it either..",3
2020-04-26 01:16:48,perfect to buy and sell easily,1
2022-11-19 01:51:05,neutral,5
2019-11-24 01:30:15,uauh terrible,4
2023-02-21 02:10:48,GREAT APP,5
2018-05-22 04:13:37,cant believe how bad it is,2
2022-02-19 16:18:04,perfect to buy and sell easily,4
2022-05-24 09:54:03,wish it had a easier way to load with money,1
2022-04-29 20:56:52,"i dont hate it, but i dont love it either..",5
2022-07-26 07:01:01,bad app,1
2018-07-28 17:30:55,very bad,3
2023-05-25 22:24:28,3 out of 5 i guess,1
2021-03-16 02:32:25,excellent,4
2017-02-02 07:22:56,omg fantastic,2
2018-07-16 17:17:06,"terrible UI, deleted",4
2017-08-28 01:28:44,very bad,1
2021-04-13 15:41:42,"i dont hate it, but i dont love it either..",3
2023-08-09 21:20:25,never again using,1
2018-12-25 04:37:46,omg fantastic,1
2022-06-23 17:51:26,very good,4
2023-09-11 23:06:54,perfection,2
2018-02-24 20:59:03,wow so good,4
2022-06-21 18:07:56,never again using,5
2023-12-10 07:03:50,never again using,4
2022-10-24 02:28:30,uauh terrible,5
2023-08-07 18:23:48,3 out of 5 i guess,4
2023-08-29 22:16:45,cant believe how bad it is,3
2023-09-21 14:39:45,neutral,3
2020-02-01 08:27:49,omg fantastic,1
2019-08-01 16:04:40,very good,1
2023-06-04 14:55:40,very bad,3
2017-01-20 18:38:44,amazing app i recommend,5
2017-05-07 20:44:22,does the job,4
2021-04-25 15:28:31,very bad,3
2022-09-04 03:38:54,not good not bad.. does the job,3
2019-06-11 03:14:14,not good not bad.. does the job,2
2023-07-03 23:46:47,bad app,2
2017-09-27 07:37:34,amazing app i recommend,3
2020-10-24 08:44:30,perfection,1
2020-08-26 17:13:13,omg fantastic,3
2022-12-27 16:05:19,bad app,1
2019-07-04 19:00:10,bad,4
2022-11-23 02:05:31,neutral,1
2017-07-08 18:02:36,uauh terrible,4
2021-07-04 23:25:15,GREAT APP,1
2019-04-19 17:07:54,not good not bad.. does the job,2
2022-09-28 19:06:09,not good not bad.. does the job,3
2018-04-22 04:57:24,GREAT APP,4
2023-04-14 15:42:18,GREAT APP,3
2020-11-22 08:23:25,amazing app i recommend,4
2023-04-09 16:37:54,"terrible UI, deleted",1
2018-01-23 03:29:13,perfect to buy and sell easily,2
2023-06-13 06:01:46,wish it had a easier way to load with money,3
2017-02-27 02:26:53,perfection,3
2020-08-06 03:32:24,bad,4
2019-06-25 22:48:56,wish it had a easier way to load with money,3
2022-10-16 03:48:39,omg fantastic,3
2018-12-24 19:13:02,bad,3
2023-07-11 15:32:50,perfection,4
2018-05-10 00:40:38,"i dont hate it, but i dont love it either..",5
2017-07-03 08:32:57,never again using,3
2018-04-11 23:31:34,bad app,4
2021-01-10 16:00:44,omg fantastic,5
2020-02-09 12:02:30,bad app,1
2018-02-23 17:51:20,excellent,2
2017-10-25 10:49:09,cant believe how bad it is,3
2021-10-07 04:42:53,perfection,3
2018-04-05 06:28:44,does the job,3
2018-06-19 23:51:11,GREAT APP,4
2022-12-28 02:30:23,3 out of 5 i guess,4
2021-05-31 13:02:05,amazing app i recommend,4
2019-11-12 13:20:57,amazing app i recommend,1
2019-12-27 16:47:37,amazing app i recommend,3
2023-10-27 20:44:22,excellent,3
2022-02-17 13:41:15,bad app,3
2017-10-05 10:49:33,"i dont hate it, but i dont love it either..",5
2019-02-24 15:14:52,bad,5
2022-04-25 01:43:30,cant believe how bad it is,1
2017-02-14 12:03:35,uauh terrible,2
2021-05-09 18:07:32,wish it had a easier way to load with money,2
2021-11-02 05:22:39,perfect to buy and sell easily,2
2023-11-21 17:07:43,3 out of 5 i guess,1
2020-12-23 12:58:53,cant believe how bad it is,4
2019-03-28 05:39:29,bad,4
2021-09-21 00:37:49,"terrible UI, deleted",4
2019-08-28 15:09:20,amazing app i recommend,4
2019-01-02 10:18:31,omg fantastic,1
2019-02-20 19:23:18,3 out of 5 i guess,5
2019-11-06 07:22:52,dont even install,4
